ID,Author,Title,Year
DUMFPO-2,Michael Dummett,Frege: Philosophy of Language,1973
RECMF-4,Franc?ois Re?canati,Mental Files,2012
CHAOSA,David J. Chalmers,On Sense and Intension,2002
FREBSU,Gottlob Frege,Uber Sinn Und Bedeutung,1892
FREOSA-3,Gottlob Frege,On Sense and Reference,2010
FRETTA,Gottlob Frege,The Thought: A Logical Inquiry,1956
DUMTIO,Michael Dummett,The Interpretation of Frege?s Philosophy,1980
FREOSA-2,Gottlob Frege,Sense and Reference,1948
MCDDRS,John Mcdowell,De Re Senses,1984
MCDOTS,John McDowell,On the Sense and Reference of a Proper Name,1977
RAATOR-2,Panu Raatikainen,Theories of Reference: What Was the Question?,2020
FREOSA,Gottlob Frege,On Sinn and Bedeutung,1997
KRIFTO,Saul A. Kripke,Frege's Theory of Sense and Reference: Some Exegetical Notes,2008
BURTTR,Tyler Burge,"Truth, Thought, Reason: Essays on Frege",2005
HECDDH,Richard Heck,Do Demonstratives Have Senses?,2002
CHAFAF-3,David J. Chalmers,"Frontloading and Fregean Sense: Reply to Neta, Schroeter and Stanley",2014
RICTSO-2,Richard Heck,The Sense of Communication,1995
GRAMF-3,Aidan Gray,Minimal Fregeanism,2022
GOOSRA-4,Jeremy Goodman and Harvey Lederman,"Sense, Reference and Substitution",2020
KLEFAT-4,Kevin C. Klement,Frege and the Logic of Sense and Reference,2001
BEAFMS-3,Michael Beaney,Frege: Making Sense,1996
BURSAF,Tyler Burge,Sinning Against Frege,1979
SCHSOF,Susanna Schellenberg,Sameness of Fregean Sense,2012
GRARAT-15,Aidan Gray,Relational Approaches to Frege's Puzzle,2017
ALMFCA-2,Mahrad Almotahari and Aidan Gray,Frege Cases and Bad Psychological Laws,2021
HECTCO-3,Richard Heck and Robert May,The Composition of Thoughts,2010
IMOSCA,Imogen Dickie and Gurpreet Rattan,"Sense, Communication, and Rational Engagement",2010
CHUARF,Alonzo Church,A Revised Formulation of the Logic of Sense and Denotation. Alternative (1),1993
WIGTSA,David Wiggins,The Sense and Reference of Predicates: A Running Repair to Frege's Doctrine and a Plea for the Copula,1984
CHUOOA,Alonzo Church,Outline of a Revised Formulation of the Logic of Sense and Denotation (Part Ii),1974
SCHTMP,Stephen Schiffer,The Mode-of-Presentation Problem,1990
MUSSAT,Reinhard Muskens,Sense and the Computation of Reference,2004
GRAIS-7,Aidan Gray,Indistinguishable Senses,2018
BVECD,Arvid B\a{a}ve,Concept Designation,2019
HECFCT-2,Richard Heck and Robert May,Frege and Semantics,2005
CHUOOA-2,Alonzo Church,Outline of a Revised Formulation of the Logic of Sense and Denotation (Part I),1973
