ID,Author,Title,Year
BENTEO-46,Matthew A. Benton,The Epistemology of Interpersonal Relations,2024
ROBLAT-11,Tom Roberts and Joel Krueger,Loneliness and the Emotional Experience of Absence,2020
BLUFAA-6,Lawrence A. Blum,"Friendship, Altruism and Morality",1980
VANTTA-10,Neil Van Leeuwen,The Trinity and the Light Switch: Two Faces of Belief,forthcoming
DOVTCS-2,Daniela Dover,The Conversational Self,2022
PAUBIO,Sarah K. Paul and Jennifer M. Morton,Believing in Others,2018
RIOOTE-3,Catherine Rioux,On the Epistemic Costs of Friendship: Against the Encroachment View,2023
ALFFAT,Mark Alfano,Friendship and the Structure of Trust,2016
KAWFAE,Jason Kawall,Friendship and Epistemic Norms,2013
COCFAT,Dean Cocking and Jeanette Kennett,Friendship and the Self,1998
HAWPAP,Katherine Hawley,Partiality and Prejudice in Trusting,2014
MASEPM-2,Cathy Mason,Epistemic Partialism,2023
ARPWEP,Nomy Arpaly and Anna Brinkerhoff,Why Epistemic Partiality is Overrated,2018
MASTED-2,Cathy Mason,The Epistemic Demands of Friendship: Friendship as Inherently Knowledge-Involving,2020
FLOEPV,A. K. Flowerree,Epistemic Partiality (1st edition),forthcoming
WHELFA,Bennett W. Helm,"Love, Friendship, and the Self: Intimacy, Identification, and the Social Nature of Persons",2010
HELPA,Bennett W. Helm,Plural Agents,2008
ICHTEO-3,Jonathan Ichikawa,The Ethics of Belief (From a Philosophical Perspective),manuscript
KOLAGF,Daniel Koltonski,A Good Friend Will Help You Move a Body: Friendship and the Problem of Moral Disagreement,2016
COCFAM-4,Dean Cocking and Jeanette Kennett,Friendship and Moral Danger,2000
MCKFWB,Natasha McKeever,Friends with Benefits: Is Sex Compatible with Friendship?,2022
GHETRO-2,Anca Gheaus,The Role of Solitude in the Politics of Sociability,2022
ELDFRA,Alexis M. Elder,"Friendship, Robots, and Social Media: False Friends and Second Selves",2017
FRIFAM,Marilyn Friedman,Feminism and Modern Friendship: Dislocating the Community,1989
DECFWT,Helen De Cruz,Friendship with the Ancients,forthcoming
HELF,Bennett W. Helm,Friendship,2008
ELDWBP,Alexis Elder,Why Bad People Can't Be Good Friends,2013
CROUFU,Michel Croce and Matthew Jope,Understanding Friendship,forthcoming
DESRCA-5,Hugh Desmond,Reclaiming Care and Privacy in the Age of Social Media,2022
FERFMS,Luara Ferracioli,Family Migration Schemes and Liberal Neutrality: A Dilemma,2016
ISSOHB,Jessica Isserow,On Having Bad Persons as Friends,2018
MILTSO-68,Michael Milona and Lauren Weindling,The Story of Romantic Love and Polyamory,forthcoming
HITAOS,Zena Hitz,Aristotle on Self-Knowledge and Friendship,2011
LIUNFF,Xiaofei Liu,"No Fats, Femmes, or Asians",2015
MCFRCA,Michael T. McFall,"Real Character-Friends: Aristotelian Friendship, Living Together, and Technology",2012
GUELFA,Lisa Guenther,Le Flair Animal: Levinas and the Possibility of Animal Friendship,2007
MUNTRO-4,Nicholas John Munn,The Reality of Friendship Within Immersive Virtual Worlds,2012
MASWBA,Cathy Mason,What?s Bad About Friendship with Bad People?,2021
LEWTMO-11,James H. P. Lewis,The Musicality of Speech,2022
OKEIEF,Tim O'Keefe,Is Epicurean Friendship Altruistic?,2001
HEPRFP,Cansu Hep\c{c}a\u{g}layan,Reasons for Political Friendship,2023
