ID,Author,Title,Year
QUEFCE,Matthieu Queloz,Function-Based Conceptual Engineering and the Authority Problem,2022
UNNASA,Elmar Unnsteinsson,Authentic Speech and Insincerity,2023
NEUOS,Eleonore Neufeld and Elise Woodard,On Subtweeting,forthcoming
UNNHTE-3,Elmar Unnsteinsson,How to Express Implicit Attitudes,2024
GASTIN,Grzegorz Gaszczyk,The Informativeness Norm of Assertion,forthcoming
MARHSE-2,Teresa Marques,"How Slurs Enact Norms, and How to Retract Them",2024
FRHVRT,"Felix Fr\""{u}hauf and Hadil Karawani and Todor Koev and Natasha Korotkova and Doris Penka and Daniel Skibra","Vanilla Rules: The ""No Ice Cream"" Construction",2023
SCHDTL-8,Henry Ian Schiller,Directing Thought,forthcoming
Coote2024-HABTTA,Joshua Habgood{-}Coote,Thinking Together: Advising as Collaborative Deliberation,2024
TOTADO-5,Oliver Toth,A Defense of Reconstructivism,2022
WARPAO-3,Brandon Warmke,Performative Accounts of Forgiveness,2023
KASRTR-5,Martin Kas\aa and Felix Larsson,Re: The Rhetic,2023
FRASKG-2,Will Fraker,Social Kind Generics and the Dichotomizing Perspective (1st edition),2023
GROPAP-3,Alan G. Gross,Persuasion and Peer Review in Science: Habermas's Ideal Speech Situation Applied,1990
HARKS-8,Dirk Hartmann,Konstruktive Sprechakttheorie,1993
MIKJWO,Mari Mikkola,Review of Just Words: On Speech and Hidden Harm,2021
