ID,Author,Title,Year
SUITGG,Bernard Suits and Thomas Hurka,"The Grasshopper: Games, Life and Utopia",1978
NGUVCH,Christopher Nguyen,Value Capture,2024
NGUGAA,C. Thi Nguyen,Games: Agency as Art,2020
NGUGAT-2,C. Thi Nguyen,Games and the Art of Agency,2019
NGUHTG,C. Thi Nguyen,How Twitter Gamifies Communication,2021
BRAA-5,Gwen Bradford,Achievement,2015
ALIANS,Rami Ali,A New Solution to the Gamer?s Dilemma,2015
NGUTAO-8,C. Thi Nguyen,The Arts of Action,2020
NGUPCP,C. Thi Nguyen,Philosophy of Games,2017
SUITEO,Bernard Suits,The Elements of Sport,2007
LUCTGD,Morgan Luck,The Gamer?s Dilemma: An Analysis of the Arguments for the Moral Distinction Between Virtual Murder and Virtual Paedophilia,2009
SUITTG,Bernard Suits,"Tricky Triad: Games, Play, and Sport",1988
REICRG,Indrek Reiland,"Constitutive Rules: Games, Language, and Assertion",2018
BARVGV,Christopher Bartel,"Video Games, Violence, and the Ethics of Fantasy: Killing Time",2020
ALITVG,Rami Ali,The Video Gamer?s Dilemmas,2022
NGUCAC,C. Thi Nguyen,Competition as Cooperation,2017
HURGAT,Thomas Hurka,Games and the Good,2006
WILIFA-5,Nathan Wildman and Richard Woodward,"Interactivity, Fictionality, and Incompleteness",2018
Schmitt2023-BARWCA-6,Nathaniel Baron{-}Schmitt,Who Cares About Winning?,2023
DAGTEO,Fred D'Agostino,The Ethos of Games,1981
TAVTAO,Grant Tavinor,The Art of Videogames,2009
SUIWIA,Bernard Suits,What is a Game?,1967
SICTEO-2,Miguel Sicart,The Ethics of Computer Games,2011
ROBVGA,Jon Robson and Aaron Meskin,Video Games as Self-Involving Interactive Fictions,2012
BARRTG-3,Christopher Bartel,Resolving the Gamer?s Dilemma,2012
SICTEO,Miguel Sicart,The Ethics of Computer Games,2009
PATPEA-2,Stephanie Patridge,"Pornography, Ethics, and Video Games",2013
MESVAS,Jon Robson and Aaron Meskin,Video Games as Self-Involving Interactive Fictions,2016
HUIHLA,Johan Huizinga,Homo Ludens: A Study of the Play-Element in Cult,1949
PATTIS,Stephanie Patridge,The Incorrigible Social Meaning of Video Game Imagery,2010
SUIWOP,Bernard Suits,Words on Play,1977
SCHDTM-2,Marcus Schulzke,Defending the Morality of Violent Video Games,2010
BESTAI,David Best,The Aesthetic in Sport,1974
DIXCFS,Nicholas Dixon,"Canadian Figure Skaters, French Judges, and Realism in Sport",2003
RUSMRI,J. S. Russell,Moral Realism in Sport,2004
HEMCIL,Michael Hemmingsen,Code is Law: Subversion and Collective Knowledge in the Ethos of Video Game Speedrunning,2020
MATIIW,McCormick Matt,Is It Wrong to Play Violent Video Games?,2001
YORBSO,Christopher C. Yorke,"Bernard Suits on Capacities: Games, Perfectionism, and Utopia",2018
HURGAT-4,Thomas Hurka and John Tasioulas,Games and the Good,2006
STESMA-9,Nils{-}Hennes Stear,"Sport, Make-Believe, and Volatile Attitudes",2017
KRECRA,Scott Kretchmar,"Competition, Redemption, and Hope",2012
LEHCCP,Craig K. Lehman,Can Cheaters Play the Game?,1981
RIDIG,Michael Ridge,Individuating Games,2020
KOLTGE,Avery Kolers,"The Grasshopper?s Error: Or, on How Life is a Game",2015
REISGA-2,Indrek Reiland,Squid Games and the Lusory Attitude,2022
NGUTOO-2,C. Thi Nguyen,The Opacity of Play: A Reply to Commentators,2021
BARFWA,Christopher Bartel,Free Will and Moral Responsibility in Video Games,2015
COGABO,Jon Cogburn and Mark Silcox,Against Brain-in-a-Vatism: On the Value of Virtual Reality,2014
SMUAVG,Aaron Smuts,Are Video Games Art?,2005
FRIAKV,Francisco Javier Lopez Frias,A Kantian View of Suits? Utopia: ?A Kingdom of Autotelically-Motivated Game Players?,2017
YORESW,Christopher C. Yorke,Endless Summer: What Kinds of Games Will Suits? Utopians Play?,2017
YOUVVG,Garry Young,Violent Video Games and Morality: A Meta-Ethical Approach,2015
MORMAI-3,William J. Morgan,"Moral Antirealism, Internalism, and Sport",2004
HOLVDF,Jason Holt,Virtual Domains for Sports and Games,2016
FERGAT-2,Luca Ferrero,Games and the Fluidity of Layered Agency,2021
HICICW,Michael Hickson,Illusory Checkmates: Why Chess is Not a Game,2022
GOERGE,Trystan S. Goetze,Roleplaying Game?Based Engineering Ethics Education: Lessons From the Art of Agency,2024
VOSUII-2,Deborah P. Vossen,Utopia is Intelligible and Game-Playing is What Makes Utopia Intelligible,2016
FEEAPC,Randolph Feezell,A Pluralist Conception of Play,2010
VRASAW,Andreas Vrahimis,Schlick and Wittgenstein on Games and Ethics,2023
BCKTPW,"Allan B\""{a}ck",The Paper World of Bernard Suits,2008
TAVVAI,Grant Tavinor,Videogames and Interactive Fiction,2005
DAVNNQ,Emmalon Davis,Novelty,2022
SCHFAA-6,Angela J. Schneider,"Fruits, Apples, and Category Mistakes: On Sport, Games, and Play",2001
KREGF,R. Scott Kretchmar,Game Flaws,2005
COGPTV-3,Jon Cogburn and Mark Silcox,Philosophy Through Video Games,2008
SUIILA,Bernard Suits,Is Life a Game We Are Playing?,1967
KANWGA,Andrew Kania,Why Gamers Are Not Performers,2018
BROPAP-12,W. Miller Brown,Practices and Prudence,1990
DUNVWA,Jeff Dunn,Virtual Worlds and Moral Evaluation,2012
NGUTFA,C. Thi Nguyen,The Forms and Fluidity of Game Play,2019
SMUWII,Aaron Smuts,What is Interactivity?,2009
WADLTW,David I. Waddington,Locating the Wrongness in Ultra-Violent Video Games,2007
PATVGA,Stephanie Patridge,Video Games and Imaginative Identification,2017
CAIMPA,Roger Caillois,"Man, Play, and Games",2001
LOPTOO-2,Dominic McIver Lopes,The Ontology of Interactive Art,2001
SCHBAP-2,Stephen E. Schmid,Beyond Autotelic Play,2011
NGUTAO-7,C. Thi Nguyen,The Aesthetics of Rock Climbing,2017
VOSAGA-3,Deborah P. Vossen,A Grasshopperian Analysis of the Strategic Foul,2014
WONVGA,Monique Wonderly,Video Games and Ethics,2017
HEMFTG,Michael Hemmingsen,Framing the Gamer's Dilemma,2024
COGPTV,Jon Cogburn,Philosophy Through Video Games,2009
HUGITB,John Hughson and David Inglis,Inside the Beautiful Game: Towards a Merleau-Pontian Phenomenology of Soccer Play,2002
VRAANS,Andreas Vrahimis,Aesthetics Naturalised: Schlick on the Evolution of Beauty and Art,2021
KOLLCO,Avery Kolers,"Ludic Constructivism: Or, Individual Life and the Fate of Humankind",2018
CIORAO,Bogdan Ciomaga,Rules and Obligations,2013
