ID,Author,Title,Year
SOBACA,Elliott Sober and Richard C. Lewontin,"Artifact, Cause and Genic Selection",1982
SUKNIE,Anton Sukhoverkhov and Nathalie Gontier,Non-Genetic Inheritance: Evolution Above the Organismal Level,2021
GYNSAD,Christopher Gyngell and Thomas Douglas,Selecting Against Disability: The Liberal Eugenic Challenge and the Argument From Cognitive Diversity,2018
LLOWTG,Elisabeth A. Lloyd,Why the Gene Will Not Return,2005
WILRAR-16,John Wilkins and Pierrick Bourrat,Replication and Reproduction,2018
LLOSSO,Elisabeth A. Lloyd and Gould Stephen J.,Species Selection on Variability,1993
LLOTGC,Elisabeth A. Lloyd and Richard C. Lewontin and and Marcus W. Feldman,The Generational Cycle of State Spaces and Adequate Genetical Representation,2008
GONEEA-4,Nathalie Gontier,Evolutionary Epistemology and the Origin and Evolution of Language: Taking Symbiogenesis Seriously,2006
ESTTOO-2,John E. Stewart,The Origins of Life: The Managed-Metabolism Hypothesis,2018
RADEOI-3,Arunas Radzvilavicius and Neil Blackstone,Evolution of Individuality Revisited,2018
LLOSPA-3,Elisabeth A. Lloyd,"Science, Politics, and Evolution",2008
LEACEP,Christopher Lean and W. Ford Doolittle and Joseph Bielawski,Community-Level Evolutionary Processes: Linking Community Genetics with Replicator-Interactor Theory,2022
RADBTS,Arunas Radzvilavicius,Beyond the ?Selfish Mitochondrion? Theory of Uniparental Inheritance,manuscript
BERNSA-7,Donato Bergandi,"Natural Selection Among Replicators, Interactors and Transactors",2013
WILLOS-3,Robert A. Wilson,Levels of Selection,2007
Anzaldo1997-ARATGA-2,Armando Aranda{-}Anzaldo,The Gene as the Unit of Selection: A Case of Evolutive Delusion,1997
PERGRA,Tuomas K. Pernu,Genetic Relatedness and its Causal Role in the Evolution of Insect Societies,2019
ISTGTP-2,Michael Anthony Istvan,Gould Talking Past Dawkins on the Unit of Selection Issue,2013
GONHLW,Nathalie Gontier,Het Laatste Woord is Niet Gezegd: De Moderne Synthese Voorbij,2006
LLORDG,Elisabeth A. Lloyd,Rx: Distinguish Group Selection From Group Adaptation,1994
BARMOB-2,Gillian Barker,"Models of Biological Change: Implications of Three Cases of ""Lamrckian"" Change",1993
NANTRO,Bence Nanay,The Return of the Replicator: What is Philosophically Significant in a General Account of Replication and Selection?,2002
MICAAO-4,Starks Michael,"Another Attack on Evolution, Rationality and Civilization. A Review of Nowak and Highfield ?Supercooperators? (2012)",2016
STAAJE,Michael Richard Starks,"Altru\'{i}smo, Jesus e o Fim Do Mundo -- Como a Funda\c{c}~{a}o Templeton Comprou Uma C\'{a}tedra de Harvard e Atacou Evolu\c{c}~{a}o, Racionalidade e Civiliza\c{c}~{a}o. Uma Revis\~{a}o de E.O. Wilson ' a Conquista Social da Terra ' (the Social Conquest of Earth) (2012) e Nowak e Highfield ' Supercooperators ' (2012) (Revis\~{a}o Revisada 2019)",2019
STAROA-5,Michael Starks,Review of Are We Hardwired by Clark and Grunstein (2000),2017
Cabrera2020-GONTAT-5,Ivan Gonzalez{-}Cabrera,The Ape That Understood the Universe: How the Mind and Culture Evolve by Steve Stewart-Williams,2020
