ID,Author,Title,Year
BARGQA,John Barwise and Robin Cooper,Generalized Quantifiers and Natural Language,1981
MONTPT-4,Richard Montague,The Proper Treatment of Quantification in Ordinary English,1973
PETQIL,Stanley Peters and Dag Westerst\a{a}hl,Quantifiers in Language and Logic,2006
INCURA-2,Luca Incurvati and Giorgio Sbardolini,Update Rules and Semantic Universals,2023
MOSOAG-2,Andrzej Mostowski,On a Generalization of Quantifiers,1957
LINFOP-2,"Per Lindstr\""{o}m",First Order Predicate Logic with Generalized Quantifiers,1966
EVAPQA,Gareth Evans,"Pronouns, Quantifiers, and Relative Clauses (I)",1977
HENSRO-2,L. Henkin,Some Remarks on Infinitely Long Formulas,1961
SZAQ,Anna Szabolcsi,Quantification,2010
REUAEI,Kevin Reuter and Eleonore Neufeld and Guillermo Del Pinal,Asymmetry Effects in Generic and Quantified Generalizations,2023
EVAQAR,Gareth Evans,Quantifiers and Relative Clauses I,1977
SZYQAC-2,Jakub Szymanik,Quantifiers and Cognition: Logical and Computational Perspectives,2016
DALREA,Mary Dalrymple and Makoto Kanazawa and Yookyung Kim and Sam McHombo and Stanley Peters,Reciprocal Expressions and the Concept of Reciprocity,1998
MOLNQ,Friederike Moltmann,Nominalizing Quantifiers,2003
BAROBQ,Jon Barwise,On Branching Quantifiers in English,1979
HACOTG-2,Martin Hackl,On the Grammar and Processing of Proportional Quantifiers: Most Versus More Than Half,2009
ThrelkeldForthcoming-STELAS-4,Shane Steinert{-}Threlkeld and Jakub Szymanik,Learnability and Semantic Universals,forthcoming
VANQAQ-2,Johan van Benthem,Questions About Quantifiers,1984
PIETMO,Paul Pietroski and Jeffrey Lidz and Tim Hunter and Justin Halberda,"The Meaning of 'Most': Semantics, Numerosity and Psychology",2009
WESQIF,Dag Westerst\a{a}hl,Quantifiers in Formal and Natural Languages,1983
ENDFPQ,Herbert B. Enderton,Finite Partially-Ordered Quantifiers,1970
LEWTQ,David K. Lewis,Tensed Quantifiers,2008
BALGNS,Wolfgang Balzer and Joseph D. Sneed,Generalized Net Structures of Empirical Theories. I,1977
MONLNP,Richard Montague,"Logical Necessity, Physical Necessity, Ethics, and Quantifiers",1960
TOLTDO,E. C. Tolman,The Determiners of Behavior at a Choice Point,1938
HINQVQ-2,Jaakko Hintikka,Quantifiers Vs. Quantification Theory,1973
SZYCOS,Jakub Szymanik and Marcin Zajenkowski,Comprehension of Simple Quantifiers: Empirical Evaluation of a Computational Model,2010
KRIALS,Manfred Krifka,At Least Some Determiners Aren't Determiners,1999
HEIRAP-4,I. Heim and H. Lasnik and R. May,Reciprocity and Plurality,1991
EVAPQA-2,Gareth Evans,"Pronouns, Quantifiers, and Relative Clauses (Ii)",1985
HINQVQ,Jaakko Hintikka,Quantifiers Vs. Quantificational Theory,1974
EVAPQA-3,Gareth Evans,"Pronouns, Quantifiers, and Relative Clauses (Ii): Appendix",1977
SHEWOB,Gila Sher,Ways of Branching Quantifers,1990
FRIMOA,Peter Fritz,Modal Ontology and Generalized Quantifiers,2013
KEMAAQ,Ruth M. Kempson and Annabel Cormack,Ambiguity and Quantification,1980
VONIAW,Kai von Fintel,If and When If -Clauses Can Restrict Quantifiers,manuscript
MATQAT,Lisa Matthewson,Quantification and the Nature of Crosslinguistic Variation,2001
SZAQIP,Anna Szabolcsi,Quantifiers in Pair-List Readings,1997
SCOLWD,Dana Scott,Logic with Denumerably Long Formulas and Finite Strings of Quantifiers,1965
GEURWQ,Bart Geurts,Reasoning with Quantifiers,2003
SZYQIT,Jakub Szymanik,Quantifiers in Time and Space. Computational Complexity of Generalized Quantifiers in Natural Language,2009
STAQAC,Jason Stanley and Timothy Williamson,Quantifiers and Context Dependence,1995
TROIIL,V. Troiani and J. Peelle and R. Clark and M. Grossman,Is It Logical to Count on Quantifiers? Dissociable Neural Networks Underlying Numerical and Logical Quantifiers,2009
KEEBTF,Edward L. Keenan,Beyond the Frege Boundary,1992
KEETSO-2,Edward L. Keenan,The Semantics of Determiners,1996
MCMNBF,C. T. Mcmillan and R. Clark and P. Moore and C. Devita and M. Grossman,Neural Basis for Generalized Quantifiers Comprehension,2005
FAGMGS,Ronald Fagin,Monadic Generalized Spectra,1975
KARFQE,Carol Karp,Finite Quantifier Equivalence,1965
GOLRTD-4,Jonah Goldwater,"Ryle, the Double Counting Problem, and the Logical Form of Category Mistakes",2018
BENPQ,Johan Benthem,Polyadic Quantifiers,1989
SZYCCO,Jakub Szymanik,Computational Complexity of Polyadic Lifts of Generalized Quantifiers in Natural Language,2010
