ID,Author,Title,Year
PARTSA-18,Barbara Partee,The Syntax and Semantics of Quotation,1973
KATISV,Jerrold J. Katz,Interpretative Semantics Vs. Generative Semantics,1966
SENOTP,Maciej Send\l{}ak,On the Pragmatic Approach to Counterpossibles,2019
NEFFSA,Ryan M. Nefdt,Formal Semantics and Applied Mathematics: An Inferential Account,2020
PIEMSI,Paul M. Pietroski,Minimal Semantic Instructions,2011
DELTSO-10,Guillermo Del Pinal,The Structure of Semantic Competence: Compositionality as an Innate Constraint of the Faculty of Language,2015
SGATFA,Petr Sgall,"Topic, Focus and Generative Semantics",1973
NEFTFO,Ryan Mark Nefdt,"The Foundations of Linguistics : Mathematics, Models, and Structures",2016
JONGSS,A. J. I. Jones,Generative Semantics: Some Test Cases,1976
COLTPO-20,John Collins,The Perils of Content,2009
IKOCNA,Cem \c{S}i\c{s}kolar,Common Nouns and Rigidity,2014
JACPFS-2,Brendan Jackson and Tanya Matthews,Proceedings From Salt X,2000
JAMRTS-2,Samuel Jambrovi\'c,Reference to Singular Kinds in Germanic and Romance,2023
JAMSRN-2,Samuel Jambrovi\'c,Singular Referential Names as Nonrigid Designators and Bound Variables,2022
EHSTOL,Sepehr Ehsani,The Old Linguistic Problem of 'Reference' in a Modern Reading of Plato's Sophist,manuscript
HARTLA-8,Randy Allen Harris,The Life and Death of Generative Semantics,1990
KELWTW-3,Tanya Kelley,World to Word: Nomenclature Systems of Color and Species,2017
BORBRF,Robert Boroch,Formalna Analiza Konceptualna ? Reprezentacja Wiedzy ? Przek\l{}ad.,2013
CAPROH-3,Alessandro Capone,Review of Higginbotham Ed. Speaking of Events,2001
FRALKD,Interpretative Semantics Meets Frankenstein,"Lauri Karttunen/Definite Descriptions with Crossing Corefe-Rence. A Study of the Bach-Peters Paradox 157 S.-Y. Kuroda/Two Remarks on Pronominalization 183 Earl R. Maccormac/Ostensive Instances in Language Learning 199 Leonharu Lipka/Grammatical Categories, Lexical Items And",1971
