ID,Author,Title,Year
MEATPO-3,George Herbert Mead,The Philosophy of the Present,1932
MEATPO-22,George Herbert Mead and John Monroe Brewster and Albert Millard Dunham and David L. Miller and Charles W. Morris,The Philosophy of the Act,1938
JOAGMA,Hans Joas,G.H. Mead: A Contemporary Re-Examination of His Thought,1985
MEASW,George Herbert Mead,Selected Writings,1981
MEATSS,George H. Mead,The Social Self,1913
PEAPEO-2,Trevor Pearce,Pragmatism's Evolution: Organism and Environment in American Philosophy,2020
MILGHM-2,David L. Miller,"George Herbert Mead: Self, Language, and the World",1980
BAGIIA,Guido Baggio,Imagery in Action. G. H. Mead?s Contribution to Sensorimotor Enactivism,2021
MEAABA,George H. Mead,A Behavioristic Account of the Significant Symbol,1922
MEATGO-3,George Herbert Mead,The Genesis of the Self and Social Control,1925
MEAMOT-5,George Herbert Mead and Merritt Hadden Moore,Movements of Thought in the Nineteenth Century,1936
MEATMO,George H. Mead,The Mechanism of Social Consciousness,1912
PEAOSL,James Pearson,Objectivity Socialized,2022
MEAOSP,George Herbert Mead,On Social Psychology,1964
SCHFPA,Israel Scheffler,"Four Pragmatists: A Critical Introduction to Peirce, James, Mead, and Dewey",1974
GILGMT,Alex Gillespie,G.H. Mead: Theorist of the Social Act,2005
HULPOP,Kathleen A. Hull and Richard Kenneth Atkins,Peirce on Perception and Reasoning: From Icons to Logic,2017
LARTPO-20,Harold A. Larrabee and George Herbert Mead and Charles W. Morris and John M. Brewster and Albert M. Dunham and David L. Miller,The Philosophy of the Act,1939
HUERGH,Daniel R. Huebner,Reintroducing George Herbert Mead,2022
MEAWSO,George H. Mead,What Social Objects Must Psychology Presuppose?,1910
ABOTCS-2,Mitchell Aboulafia,The Cosmopolitan Self: George Herbert Mead and Continental Philosophy,2001
DERTLO-2,Jean{-}Philippe Deranty,The Loss of Nature in Axel Honneth's Social Philosophy. Rereading Mead with Merleau-Ponty,2005
NATGHM,Thomas Natsoulas,George Herbert Mead' s Conception of Consciousness,1985
MEAGMA,George Herbert Mead,G.H. Mead: A Reader,2011
MEATSP,George Herbert Mead,The Social Psychology of George Herbert Mead,1956
DEWOM,Cornelis De Waal,On Mead,2002
HUEBMT,Daniel R. Huebner,Becoming Mead: The Social Process of Academic Knowledge,2014
ODITSS,Steve Odin,The Social Self in Japanese Philosophy and American Pragmatism: A Comparative Study of Watsuji Tetsur\=o and George Herbert Mead,1992
DEWGHM,John Dewey,George Herbert Mead,1931
MEACRI,G. E. Mead and C. J. Turnbull,Cardiopulmonary Resuscitation in the Elderly: Patients' and Relatives' Views,1995
MEATNO-3,George H. Mead,The Nature of Aesthetic Experience,1926
DOANOG,Frank M. Doan,Notations on G. H. Mead's Principle of Sociality with Special Reference to Transformation,1956
JOAPID,Hans Joas,"Praktische Intersubjektivit\""{a}t: D. Entwicklung D. Werkes von George Herbert Mead",1980
JOATTO-2,Hans Joas and Daniel R. Huebner,The Timeliness of George Herbert Mead,2016
MEASMA-4,George H. Mead,Scientific Method and the Moral Sciences,1923
MEASTA,George H. Mead,Suggestions Toward a Theory of the Philosophical Disciplines,1900
MEANAI-3,George H. Mead,National-Mindedness and International-Mindedness,1929
NATGHM-2,Maurice Natanson,George H. Mead's Metaphysic of Time,1953
MEANRA,George H. Mead,Natural Rights and the Theory of the Political Institution,1915
MEATPO-12,George Herbert Mead,"The Philosophies of Royce, James, and Dewey in Their American Setting",1930
STOMIO,Jake E. Stone,Mead's Interpretation of Relativity Theory,2013
MARPSI,Jack Martin,Perspectival Selves in Interaction with Others: Re-Reading G.H. Mead's Social Psychology,2005
MEAJRA-3,George H. Mead,Josiah Royce: A Personal Impression,1917
MEATPB-3,George H. Mead,The Philosophical Basis of Ethics,1908
MORPMA,Charles W. Morris,"Peirce, Mead, and Pragmatism",1938
ATHRIG,Lonnie Athens,Radical Interactionism: Going Beyond Mead,2007
DASGHM,Filipe Carreira da Silva,G. H. Mead: A System in a State of Flux,2007
BURGHM-2,F. Thomas Burke and Krzysztof Skowronski,George Herbert Mead in the Twenty-First Century,2013
ANDPBF,Grace Mead Andrus,Professor Bawden's Functional Theory: A Rejoinder,1904
ANDPBI,Grace Mead Andrus,Professor Bawden's Interpretation of the Physical and the Psychical,1904
CTGHMU,Jean{-}Fran\c{c}ois C\^{o}t\'e,George Herbert Mead and Psychoanalysis,2023
TILTAR-2,Mary Katherine Tillman,Temporality and Role-Taking in Gh Mead,forthcoming
HALCAO-2,Joshua M. Hall,Core Aspects of Dance: Condillac and Mead on Gesture,2017
FAURP,James E. Faulconer and R. Williams,Reconsidering Psychology,1990
PERAPA-2,David K. Perry,American Pragmatism and Communication Research,2001
NATTSD,Maurice Alexander Natanson,The Social Dynamics of George H. Mead,1973
LEEMDO-2,Harold N. Lee,Mead?s Doctrine of the Past,1963
BURGHM,Richard Burke,G. H. Mead and the Problem of Metaphysics,1962
SCHMAT,Michael L. Schwalbe,Mead Among the Cognitivists: Roles as Performance Imagery,1987
MEATPO-13,George H. Mead,The Philosophy of John Dewey,1935
JORPPA-2,Ludmilla Jordanova,"Portraits, People and Things: Richard Mead and Medical Identity",2003
SCHFPA-11,Sandra B. Rosenthal,"Four Pragmatists: A Critical Introduction to Peirce, James, Mead, and Dewey. Israel Scheffler",1977
JUNFDT,Matthias Jung,From Dilthey to Mead and Heidegger: Systematic and Historical Relations,1995
KRIMAH-2,Alexei Krioukov,Mead and Husserl on the Self and Identification of the Subject,2017
THOMW-2,Michael L. Thomas,"9. Mead, Whitehead, and the Sociality of Nature",2016
DEWAPW,Cornelis de Waal,A Pragmatist World View: George Herbert Mead's Philosophy of the Act,2008
BAGLMB,Guido Baggio,La Mente Bio-Sociale: Filosofia e Psicologia in G.H. Mead,2015
MILGHM,David L. Miller,"G. H. Mead's Conception of ""Present""",1943
PARRGH,Andrea Parravicini,Reintroducing George Herbert Mead by Daniel R. Huebner (Review),2023
DELCTA,Grace A. de Laguna,"Communication, the Act, and the Object with Reference to Mead",1946
PFUTSS,Paul E. Pfuetze,The Social Self,1954
ABOWGH,Mitchell Aboulafia,Was George Herbert Mead a Feminist?,1993
LEVMFA,Robert I. Levy,"Mead, Freeman, and Samoa: The Problem of Seeing Things as They Are",1984
LEWVRA,David Lewis and Raymond McLain and Andrew Weigert,"Vital Realism and Sociology: A Metatheoretical Grounding in Mead, Ortega, and Schutz",1993
MEAIOS,Geo H. Mead,Image or Sensation,1904
BOURTC-4,Patrick L. Bourgeois and Sandra B. Rosenthal,"Role Taking, Corporeal Intersubjectivity, and Self: Mead and Merleau-Ponty",1990
TONANO,Alfred Tonness,A Notation on the Problem of the Past--With Especial Reference to George Herbert Mead,1932
GLOVAM,Hans{-}Johann Glock,"Vygotsky and Mead on the Self, Meaning and Internalisation",1986
TIBPAM,Paul Tibbetts,Peirce and Mead on Perceptual Immediacy and Human Action,1975
SEWTHB,Keith C. Sewell,"The ""Herbert Butterfield Problem"" and its Resolution",2003
DOAROG,Frank M. Doan,Remarks on G. H. Mead's Conception of Simultaneity,1958
WERCAM-3,S. K. Wertz,Collingwood and Mead's Theory of History,2022
MADTCO-6,Roman Madzia,The Concept of Rule-Following in the Philosophy of George Herbert Mead,2013
KILGHM,Erkki Kilpinen,George H. Mead as an Empirically Responsible Philosopher: The ?Philosophy of the Act? Reconsidered,2013
HJOTSA,Christian Hjortkj\a{e}r and S\o{}ren Willert,The Self as a Center of Ethical Gravity: A Constructive Dialogue Between S\o{}ren Kierkegaard and George Herbert Mead,2013
ETZTFO-2,Christian Etzrodt,The Foundation of an Interpretative Sociology: A Critical Review of the Attempts of George H. Mead and Alfred Schutz,2008
WERGHM,S. K. Wertz,G. H. Mead: Socially Structured Aesthetic Experiences,2022
HERPFU,Aleksandra Hernandez,"Pragmatist Feminist Utopias: Gilman, Mead, and the Problem of Choice",2022
ABOMSS,Mitchell Aboulafia,"Mead, Sartre: Self, Object, and Reflection",1986
