ID,Author,Title,Year
FREHOS-2,Fabian Freyenhagen,Honneth on Social Pathologies: A Critique,2015
KEUPAT,Tae{-}Yeoun Keum,Plato and the Mythic Tradition in Political Thought,2020
KRUSII,John Krummel and Suzi Adams and Jeremy Smith and Natalie Doyle and Paul Blokker,Social Imaginaries in Debate,2015
SHUAAA-4,Martin Shuster,"Autonomy After Auschwitz: Adorno, German Idealism, and Modernity",2014
REDCIL-2,Paul Redding,Continental Idealism: Leibniz to Nietzsche,2009
REDTLO-5,Paul Redding,The Logic of Affect,1999
SMITD,Barry Smith,Textual Deference,1991
SMIGPL,Barry Smith,German Philosophy: Language and Style,1991
Fogiel2011-THOTDO-18,Isabelle Thomas{-}Fogiel and Richard A. Lynch,The Death of Philosophy: Reference and Self-Reference in Contemporary Thought,2011
GARPAE-8,Arran Gare,"Philosophical Anthropology, Ethics and Political Philosophy in an Age of Impending Catastrophe",2009
ORTTPO-5,Francisco Miguel Ortiz Delgado,The Philosophy of Trans-Historic-History Followed by President L\'{o}pez Obrador (1st edition),2023
BABWIB-2,Babette Babich,"Words in Blood, Like Flowers: Philosophy and Poetry, Music and Eros in Holderlin, Nietzsche, and Heidegger",2006
WOLDFU-2,Gereon Wolters,"Der ""Fuehrer"" Und Seine Denker. Zur Philosophie des ""Dritten Reichs""",1999
ANCKDO,Bianca Ancillotti,Kant?s Doctrine of Definitions and the Semantic Background of the \emph{Transcendental Analytic},2023
JUNDFD,Christian Jung,Die Funktion des Nichts in Meister Eckharts Metaphysik,2014
SAUAA,Martina Sauer,"Abstrakt - Affektiv - Multimodal. Zur Verarbeitung von Bewegtbildern Im Anschluss an Cassirer, Langer Und Krois",2016
DAR-17,Housamedden Darwish,??????? ????????? ?????????? ?????? ???????? ???? ??????? ????? 21? ?????? ????? ?????? 2017? ? 108-111,2017
BERBFU,Alessandro Bertinetto,"Bild. Fichte Und der ""Iconic Turn""",2012
JUNMEM,Christian Jung,"Meister Eckharts Mystik Im Spannungsfeld von Rhetorik, Philosophie Und Spiritualit\""{a}t",2017
ROSOII-4,Marek Rosiak,Odniesienie Intencjonalne I Jego Przedmiot W Perspektywie Transcendentalnego Idealizmu Husserla,2016
JUNMEP-3,Christian Jung,Meister Eckharts Philosophische Mystik,2010
BAEFD,Amy Baehr,Feministische Diskurse,2009
RUBMAM-3,Richard Marc Rubin,Metaphysics as Morals: The Controversy Between John Dewey and George Santayana,2000
KALMPS,Lauri Kallio,"Maailmanhenki Pohjolassa. Snellman, Hegel Ja Hegelil\""{a}iset",2021
SLOPS,Peter Sloterdijk,Plurale Spa?Rologie,2004
HERZRD,Herbert Herring,"Zur Rezeption Deutscher Philosophie Im Zeitgen\""{o}ssischen Indischen Denken",1979
RUYMA,Th Ruyssen,Moralistes Allemands,1902
BERZPD-3,Andrea Bertino and Ekaterina Poljakova and Andreas Rupschus and Benjamin Alberts,Zur Philosophie der Orientierung,2016
FIAIMC,A. Fiamma and A. Hilt,Il Mondo Come Spazio Ludico Della Politica,2016
AVECCG,Gianmaria Avellino,Conversazione Con Giuseppe Cantillo in Ricordo di Giuseppe Cacciatore (1st edition),2023
ZANIBE,Michael Zander,Ist Behinderung Eine Soziale Konstruktion?: Zur Kritik Sozialkonstruktivistischer Auffassungen in den (Deutschsprachigen) Disability Studies,2022
DEWHET,Boris DeWiel,Heidegger?s Erfahrung: The Feeling of Existence,
WOOGP,William R. Woodward,Gestalt Psychology,2013
SHA-62,Borys Shalaginov,\CYRK\cyrl\cyra\cyrs\cyri\cyrk\cyri \CYRII \CYRR\cyro\cyrm\cyra\cyrn\cyrt\cyri\cyrk\cyri: \CYRS\cyrp\cyrr\cyro\cyrb\cyra \CYRS\cyra\cyrm\cyro\cyrr\cyre\cyrc\cyre\cyrn\cyrz\cyrii\cyryi,2018
GARWM-3,Dustin Garlitz,"Weber, Max",2018
GARAT-3,Dustin Garlitz,"Adorno, Theodor",2005
GARATW,Dustin Garlitz,"Adorno, Theodor",2005
GARMAC-5,Dustin Garlitz,Marcuse and Critical Education,2016
SMITEO-71,Barbara Herrnstein Smith,The Emergence of Relativism: German Thought From the Enlightenment to National Socialism,2022
CAREDD-6,Siegel Carl,Eschichte der Deutschen Naturphilosophie,1913
ROBDFO-3,David Robinson,"Down From Olympus: Archaeology and Philhellenism in Germany, 1750-1970 by Suzanne L. Marchand",1997
LYSTBT,Kasper Lysemose,"The Being, the Origin and the Becoming of Man: A Presentation of Philosophical Anthropogenealogy and Some Ensuing Methodological Considerations",2012
HALROJ-2,Matthew C. Halteman,Review of Judith Wolfe's Heidegger and Theology,2015
STEJHZ-2,Joan Steigerwald,"John H. Zammito. The Gestation of German Biology: Philosophy and Physiology From Stahl to Schelling. Chicago: University of Chicago Press, 2017. Pp. 523. \$45.00",2019
ENGJCF,Eva{-}Maria Engelen,"J. Ch. F. H\""{o}lderlin, Theoretische Schriften",1999
