ID,Author,Title,Year
AUTGB,Paul Richard Blum,Giordano Bruno,2021
DELGBE-3,Guido Del Giudice,Giordano Bruno e ?L?Anticristo? di Nietzsche,2024
DELUPL,Guido Del Giudice,Un Pitagorico Linceo Fra Bruno e Galileo: Nicola Antonio Stigliola.,2023
DELFBE,Guido Del Giudice,Filippo Bruno e Fra Giordano. L'abito Non Fa Il Monaco.,2023
BANIML,Marina P. Banchetti,"Il Minimo, L?Unita?, e L?Universo Infinito Nella Cosmologia Vitalistica di Giordano Bruno",2018
GIUGBA-2,Guido del Giudice,Giordano Bruno and the Enigma of Archetypes,2014
BUTTAI-2,Edward P. Butler,Transformation and Individuation in Giordano Bruno's Monadology,2015
GIUGBA-4,Guido del Giudice,"Giordano Bruno and the ""Cupid's Bond""",2015
GIUGBO,Guido del Giudice,"Giordano Bruno, or ""the Pleasure of Dispute"".",2013
GIUGBA,Guido del Giudice,Giordano Bruno and the Rosicrucians.,2013
GIULVS,Guido Del Giudice,La Vera Storia Dell'arresto di Giordano Bruno,2018
GIUBEL-2,Guido Del Giudice,Bruno e la Stanza Della Memoria,2021
GIUGBE,Guido del Giudice,Giordano Bruno e I Rosacroce,2013
GIUGBA-3,Guido del Giudice,Giordano Bruno: A Fine Bibliophile,2014
DELGBG,Guido Del Giudice,Giordano Bruno Giovane Ad Andria. Luci Sugli Anni di Formazione Del Filosofo.,2020
DELADO-2,Guido Del Giudice,"Atteone: Da Ovidio a Giordano Bruno. ""Il Gran Cacciator Divenne Caccia""",2019
GIUGBE-6,Guido Del Giudice,Giordano Bruno e Os Rosacruzes,2016
GIUGBE-2,Guido del Giudice,Giordano Bruno e l'Enigma Degli Archetipi,2014
GIUIWT,Guido del Giudice,?I Will Tell the Truth?. Interviewing Giordano Bruno,2013
GIULBE,Guido Del Giudice,"Lutero, Bruno e Pomponio Algieri",2017
GIUGBE-3,Guido del Giudice,Giordano Bruno e Il Vincolo di Cupido,2015
DELQDT-2,Guido del Giudice,"""Titano Della Tua Preziosa Nola""",2017
DELGBN,Guido Del Giudice,"Giordano Bruno Nella ""Libraria"" di Saint Victor",2019
GIUIFI,Guido Del Giudice,Il Fascino Ingannevole Della Dotta Citazione,2018
DELGGE-3,Guido Del Giudice,Guglielmo Grataroli e Giordano Bruno,2019
GIUURT,Guido Del Giudice,Una Rara Traduzione Dello Spaccio de la Bestia Trionfante. Il Ciel Reform\'e Dell'abb\'e de Vougny.,2017
GIUSUG,Guido del Giudice,Schopenhauer Und Giordano Bruno,2016
GIUQDL,Guido del Giudice,"""Io Dir\`o la Verit\`a"". Intervista a Giordano Bruno",2013
PINEHQ,Daniel Pino,El Hombre Que Habita En Los Suburbios. La Antropolog\'{i}a Spinoziana Como Respuesta Post-Renacentista Al Humanismo.,2017
