ID,Author,Title,Year
EVNMOA,Simon Evnine,"Making Objects and Events: A Hylomorphic Theory of Artifacts, Actions, and Organisms",2016
KATGDL,Joel Katzav,Grace de Laguna?s Analytic and Speculative Philosophy,2022
BLIVAT,Ricki Leigh Bliss,Viciousness and the Structure of Reality,2013
MILDCI,Kristie Miller,Defending Contingentism in Metaphysics,2009
EPSAVG,Brian Epstein,Anchoring Versus Grounding: Reply to Schaffer,2019
LIPPVA,Martin A. Lipman,Perspectival Variance and Worldly Fragmentation,2016
NOLCAO,Daniel Nolan,Categories and Ontological Dependence,2011
CHAALS-4,Marc Champagne,A Less Simplistic Metaphysics: Peirce?s Layered Theory of Meaning as a Layered Theory of Being,2015
PELDP,Michael Pelczar,Defending Phenomenalism,2019
POSTIP,Ted Poston,The Intrinsic Probability of Grand Explanatory Theories,2020
BLITRH,Ricki Bliss and James Miller,The Routledge Handbook of Metametaphysics,2020
PITDWS,John Pittard,"Deceptive Worlds, Skepticism, and Axiarchism",2024
KLEAEO-4,Stan Klein,An Essay on the Ontological Foundations and Psychological Realization of Forgetting,2019
GARFKT-3,Arran Gare,From Kant to Schelling to Process Metaphysics: On the Way to Ecological Civilization,2011
BERDAE-3,"Lars Bergstr\""{o}m",Death and Eternal Recurrence,2013
FITSTA-2,Branden Fitelson and Edward N. Zalta,Steps Toward a Computational Metaphysics,2007
HAKTFA-2,Jani Hakkarainen,The Fundamentality and Non-Fundamentality of Ontological Categories,2022
MCDNAO,Kris McDaniel,Normative Accounts of Fundamentality,2017
SEGLAS,Aaron Segal,Lost at Sea: A New Route to Metaphysical Skepticism,2020
BARGE-6,Stephen Barker,Global Expressivism,2020
JONTAO-21,Nicholaos Jones,The Architecture of Fazang?s Six Characteristics,2019
PARRFA-2,T. Parent,Rule Following and Metaontology,2015
KIROFR,Andrei P. Kirilyuk,Objective Fundamental Reality Structure by the Unreduced Complexity Development,2018
KRIPAT-4,Uriah Kriegel,"Philosophy as Total Axiomatics: Serious Metaphysics, Scrutability Bases, and Aesthetic Evaluation",2016
GIMTMO-2,Bal\'{a}zs Gimes,The Materialism of Roy Wood Sellars,2021
ARVTPS,Marcus Arvan,The Peer-to-Peer Simulation Hypothesis and a New Theory of Free Will,2015
GUIAUO,Ghislain Guigon,A Universe of Explanations,2008
MOSCMA-2,Paul K. Moser and J. D. Trout,Contemporary Materialism: A Reader,1995
LATCWG-2,Bruno Latour,"Can We Get Our Materialism Back, Please?",2007
ZALTRW,Edward N. Zalta,Two (Related) World Views,1995
ROCAOA,Tom Rockmore and Beth J. Singer,Antifoundationalism Old and New,1992
BRIASO-10,Phillip Bricker,A Sketch of Reality,2020
CONDYM,Gabriele Contessa,Does Your Metaphysics Need Structure?,2013
DEVHAS-2,Willem A. deVries,Hegel and Sellars on the Unity of Things,2019
LOCRAR,Robert Lockie,Relativism and Reflexivity,2003
SANEMD-6,Juan Jose Sanguineti,El M\'{e}todo de la Metaf\'{i}sica: La Propuesta de Leonardo Polo,2015
BROMAR-3,Lajos L. Brons,Meaning and Reality: A Cross-Traditional Encounter,2013
SCHTPO-127,Eric Schwitzgebel,The Problem of Known Illusion and the Resemblance of Experience to Reality,2014
ELGCAC-5,Catherine Z. Elgin,Construction and Cognition,2009
ARVTSH,Marcus Arvan,The P2P Simulation Hypothesis and Meta-Problem of Everything,manuscript
SANEMC-2,Juan Jose Sanguineti,El Mundo Como Objeto de Acci\'{o}n y Teor\'{i}a,2016
MELOTN,Alessandra Melas and Pietro Salis,On the Nature of Coincidental Events,2022
SMIETA-6,Andrey Smirnov,Emergent Time and Anthropic Principle (in Russian),manuscript
FERRYF,Francisco Fern\'{a}ndez Labastida,Religi\'{o}n y Filosof\'{i}a En la Teor\'{i}a de Las Concepciones de Mundo de Wilhelm Dilthey,2007
CASMAF,Elena Casetta and Valeria Giardino and Andrea Borghini and Patrizia Pedrini and Francesco Calemi and Daniele Santoro and Giuliano Torrengo and Claudio Calosi and Pierluigi Graziani and Achille C. Varzi,Mettere a Fuoco Il Mondo. Conversazioni Sulla Filosofia di Achille Varzi (Special Issue of Isonomia ? Epistemologica),2014
JONTMO-8,Peter G. Jones,The Metaphysics of Consciousness,manuscript
PENRAR-6,Vasil Penchev,Representation and Reality by Language: How to Make a Home Quantum Computer?,2020
PHIQMD-2,Gagnon Philippe,"""la M\'{e}taphysique de Raymond Ruyer Dans Son Rapport \`A la Th\'{e}ologie Naturelle"" [the Metaphysics of Raymond Ruyer in Relation to Natural Theology]",2016
EDWTDO,Terence Rajivan Edward,The Dualism of Conceptual Scheme and Undifferentiated Reality,2012
VARDFC,Achille C. Varzi,"Del Fuoco Che Non Brucia: Risposte, Riflessioni, Ringraziamenti",2014
BOGMDV,Diogo Bog\'{e}a,"Metaf\'{i}sica da Vontade, Metaf\'{i}sica Do Imposs\'{i}vel: A Dimens\~{a}o Pulsional Como Terceiro Exclu\'{i}do",2016
CROKGP-2,Gabriella Crocco and Eva{-}Maria Engelen,"Kurt G\""{o}del Philosopher-Scientist",2016
WENOWO,Christian Helmut Wenzel,On Wittgenstein on Certainty,2011
JONTCE,Peter Jones,The Continuum East and West,2014
GARCAC-8,Robert K. Garcia,Can a Case for Naturalism Be Naturalized?,2015
SMIAPA-17,Andrey Smirnov,Anthropic Principle as a Consequence of the Time Emergence,manuscript
TERPWA,Vladislav Terekhovich,Possible Worlds and Possibilities of Substances,manuscript
SANLUY,Juan Jos\'e Sanguineti,La Unidad y Multiplicidad Del Universo,1979
COSSAT-7,Jason M. Costanzo,Subjectivity and the Encounter with Being,2015
VELDRA-2,Max Velmans,"Dualism, Reductionism, and Reflexive Monism",2007
ASANL,Tomomi Asakura,Nishida No Iu 'Ronri' Wo Saik\=o Suru (\emph{Reconsidering Nishida?s so-Called 'Logic'}),2021
HOOWIM,Sidney Hook,What is Materialism?,1934
KATINA,Joel Katzav,"Identity, Nature, and Ground",2002
GARBEC,Arran Gare,"Beyond European Civilization: Marxism, Process Philosophy, and the Environment",1993
GHNP,"Julia F. G\""{o}hner and Kristina Engelhard and Markus Schrenk",Preface to Meta2Physics: New Perspectives on Analytic \& Naturalised Metaphysics of Science,2018
PELR-7,Michael Pelczar,Replies,2016
MIRRIN-2,Christopher V. Mirus,Relation is Not a Category: A Sketch of Relation as a Transcendental,2019
GILUV,Bennett Gilbert,Unimpeded Volition,2021
RICINM,C. A. Richardson,Iii.--The New Materialism,1921
JONFMT,Peter G. Jones,From Metaphysics to Mysticism,2009
DENLRV,Francesco De Nigris,La Raz\'{o}n Vital de J. Ortega y Gasset y la Anal\'{i}tica Existencial de M. Heidegger / J. Ortega y Gasset's Vital Reason and M. Heidegger's Existential Analytic,2012
PAPAM-6,George S. Pappas,Adversary Metaphysics,1983
WATSNS,Anne Schulherr Waters,"Syllabi: Native Studies 436-001: Environmental Practice and Ethics in Native America, Spring 2005, University of New Mexico",2005
COSIAI,Jason Costanzo,Idea and Intuition: On the Perceptibility of the Platonic Ideas in Arthur Schopenhauer,2009
TRIHOT-7,Ioannis D. Trisokkas,Hegel on the Particular in the Science of Logic,2011
WEIJOY,Andrew J. Weigert,Jos\'e Ortega y Gasset on Understanding Human Life as Ultimate Reality and Meaning,1995
GOUTFO,Thomas A. Goudge,The Future of Materialism,1950
SCHTWO-47,Eric Schwitzgebel,The Weirdness of the World,2024
FISPEM,Denis Fisette,Ph\'{e}nom\'{e}nologie Et M\'{e}taphysique : Remarques \`A Propos d'Un D\'{e}bat R\'{e}cent,1986
LEG_AT-3,Catherine Legg,Peirce and the Threat of Nominalism,2013
PRATNM,James Bissett Pratt,The New Materialism,1922
HAMTAT-9,Colin Hamlin,Towards a Theory of Universes: Structure Theory and the Mathematical Universe Hypothesis,2017
NUNSA,Antonio Maria Nunziante,?Singolarit\`a? e ?Infinito? Appunti Per Una Discussione Tra Leibniz e Hegel,2005
ARGARD,Dante Argeri,Alle Radici Del Razio-Vitalismo di Ortega (Una Rilettura Dell'ensayo de Est\'{e}tica a Manera de Pr\'{o}logo) / on the Root of Ortega's Ratiovitalism (a Rereading of Ensayo de Est\'{e}tica a Manera de Pr\'{o}logo),1993
RANTSO-2,Vance Randolph,The Substance of the Riddle of the Universe,1926
KROMAT-2,Ulrich de Balbian,(Meta-Philosophy) All-Inclusive Theory,2018
DAVAMO-9,W. Martin Davies,A Mind's Own Place: The Thought of Sir William Mitchell,2001
TUSDOO,Giovanbattista Tusa,De-Limitations. Of Other Earths,2020
DURFOP-2,Jude Arnout Durieux,Fundamentals of Philosophy - an Introduction,manuscript
DUR-4,Jude Arnout Durieux,???? ? ??,manuscript
KLAWAA,Tim Klaassen,Wittgenstein as a Kantian Philosopher,manuscript
TAYOTR-2,Louis Taylor,On the Reconciliation Between Infinity and Zero - Another 'Theory of Everything' Based on Nothing? - July 2024 Update (19th edition),manuscript
EASWIM,Peter Eastman,"What is Metaphysics ? The One and Only Meaningful Definition, and Why Traditional Academic Philosophy is Unlikely Ever to Embrace It",2017
KIJATE,Kenneth Kijun Lee and Chase Kihwan Lee,A Theory Explains Deep Learning,manuscript
SIERRW,Alexander Sieber,Reclaiming Religion: Why Empire Cannot Be Sustained,2015
ROGUP,Vladimir Rogozhin,Un75 $\leftrightarrow$ Philosophical Basics of Un Reform $\leftrightarrow$ Security Council Reform $\leftrightarrow$ Un Funding System (2),manuscript
BAR-18,Rodney Bartlett,"4, 2, 1 Forces - 1 Unity",2011
GRIPWF,Rowan Grigg,Physics Without Formulae,
GRITVB,Rowan Grigg,The Very Big Company,manuscript
KIRPC,Marvin Eli Kirsh,Physical Contiguism,
POOALT,Indrasen Poola,Automating Leibniz?s Theory of Concepts,2017
PHIQMD,Gagnon Philippe,"""la M\'{e}taphysique de Raymond Ruyer Dans Son Rapport \`A la Th\'{e}ologie Naturelle"" [the Metaphysics of Raymond Ruyer in Relation to Natural Theology]",2016
DINAJA,Alfredo Dinis and \'{A}lvaro Balsas and Ricardo Barroso,A Jesuit Against Galileo?: The Strange Case of Giovanni Battista Riccioli Cosmology,2017
STASA-5,Mariusz Stanowski,Struktury Abstrakcyjne [Abstract Structures],2005
JOSTUU,Kedar Joshi,The Uqv (Ultimate Questioner's Vanity) Theory,unknown
PANM-2,Rajiv Pande,Mr.,manuscript
FLOSHI,"Gottlieb Florsch\""{u}tz",Swedenborg?s Hidden Influence on Kant,2014
WILROC-4,Jessica M. Wilson,"Review of \emph{the Mind in Nature}, by C. B. Martin",2010
NAWPAC-2,Tamer Nawar,Powers and Capacities in Philosophy: The New Aristotelianism. By Ruth Groff and John Greco,2014
BERBE,Scott Berman,Beyond Experience,1994
ANTBRA,Anthony J. Cascardi,A Pragmatist Philosophy of Life in Ortega y Gasset,1995
LEGROF,Catherine Legg,"Paul Forster, ""Peirce and the Threat of Nominalism""",2013
PARMAA-2,Joshua Parens,Metaphysics as an Aristotelian Science,2007
