ID,Author,Title,Year
KERGON,G. B. Kerferd,Gorgias on Nature or That Which is Not,1955
ARIWIG,Sergio Ariza,Wisdom in Gorgias? \emph{Encomium of Helen},2022
BERTAF-20,Juan Pablo Berm\'{u}dez,Truth and Falsehood for Non-Representationalists: Gorgias on the Normativity of Language,2017
DOYSAG,James Doyle,Socrates and Gorgias,2010
FUTSAA-2,D. B. Futter,Shame as a Tool for Persuasion in Plato's Gorgias,2009
NEWUZG,Hans Joachim Newiger,"Untersuchungen Zu Gorgias' Schrift \""{U}ber Das Nichtseiende",1973
MOUGOT,Alexander P. D. Mourelatos,Gorgias on the Function of Language,1987
DERGEL,Jacqueline de Romilly,Gorgias Et le Pouvoir de la Po\'{e}sie,1973
IOLBEA,Roberta Ioli,Between Eleatics and Atomists: Gorgias? Argument Against Motion,2021
RODUTG,Evan Rodriguez,Untying the Gorgianic ?Not?: Argumentative Structure in on Not-Being,2019
BARGDP,Rachel Barney,Gorgias' Defense: Plato and His Opponents on Rhetoric and the Good,2010
PRAOTT,Jonathan Pratt,On the Threshold of Rhetoric,2015
COLLRA,Catherine Collobert,La Rh\'{e}torique au C\o{e}ur de L?Examen R\'{e}futatif Socratique : Le Jeu des \'{E}motions Dans le Gorgias,2013
BETG,Richard Bett,Gorgias? \ensuremath{\Pi}\ensuremath{\epsilon}\ensuremath{\rho}? ??? ?? ?\ensuremath{\nu}\ensuremath{\tau}?\ensuremath{\varsigma} and its Relation to Skepticism,2020
BRMMGE,Mathilde Br\'{e}mond,"M\'{e}lissos, Gorgias Et Platon Dans la Premi\`{e}re Hypoth\`{e}se du Parm\'{e}nide",2019
COUTRO-4,James A. Coulter,The Relation of the Apology of Socrates to Gorgias' Defense of Palamedes and Plato's Critique of Gorgianic Rhetoric,1964
GIGGBD,Olof Gigon,"Gorgias '\""{U}ber Das Nichtsein'",1936
Engler2024-REUHAC,Maicon Reus{-}Engler,Helen?s Argumentative Coherence and the Didactic Element of Gorgias? Rhetoric,2024
BARGOS-2,R. J. Barnes,Gorgias on Speech and the Soul,2022
ROBOG,John M. Robinson,On Gorgias,1973
LEEDPD-3,Lars Leeten,Die Praxis der Wahren Rede Nach Gorgias. Zur Rekonstruktion des Sophistischen Ethos,2014
LEEAIG,Lars Leeten,Al\={e}theia in Gorgias of Leontini. An Excerpt From the History of Truth,2022
DIIGAP,Erminia Di Iulio,Gorgias and Plato?s \emph{Sophist},2023
ZILNAI,Ugo Zilioli,Nihilist Arguments in Gorgias and N\={a}g\={a}rjuna,2023
NESDSD,W. Nestle,"Die Schrift des Gorgias ""\""{U}ber Die Natur Oder \""{U}ber Das Nichtseiende""",1922
PORTSO-3,James I. Porter,The Seductions of Gorgias,1993
MORSAG-2,Kathryn A. Morgan,Socrates and Gorgias at Delphi and Olympia: \emph{Phaedrus} 235D6?236B4,1994
BRCGCP,"Walter Br\""{o}cker",Gorgias Contra Parmenides,1958
FUSSRO,Alessandra Fussi,Socrates? Refutation of Gorgias,2002
NERKAU,Zbigniew Nerczuk,Koncepcja Apate U Gorgiasza Z Leontinoi (Gorgias' Doctrine of Deception),2012
ROSTGP-3,Livio Rossetti,Trilemmas: Gorgias? Ptmo Between Zeno and Melissus,2017
HORTIO-5,Phillip Sidney Horky,"The Imprint of the Soul: Psychosomatic Affection in Plato, Gorgias, and the ?Orphic? Gold Tablets.",2006
NEREAK,Zbigniew Nerczuk,Epistemologia a Koncepcja Sztuki W Pochwale Heleny I Obronie Palamedesa Gorgiasza Z Leontinoi (Epistemology and the Conception of Techne in Gorgias' Helen and Palamedes),1999
NERPHG,Zbigniew Nerczuk,"""Pochwa\l{}a Heleny"" Gorgiasza Z Leontinoi (Gorgias' ""Helen"")",2012
NERGZL,Zbigniew Nerczuk,"Gorgiasz Z Leontinoi, ""Obrona Palamedesa"" (Gorgias' ""Palamedes"")",2013
NERMGW,Zbigniew Nerczuk,"Mowa Gorgiasza W Plato\'{n}skim Dialogu ?Gorgiasz? (456a1-457C3) (Gorgias' Speech in Plato's Dialogue ""Gorgias"" (456a1-457C3))",2014
NERTGO-3,Zbigniew Nerczuk,"Traktat Gorgiasza ""o Niebycie"" W Parafrazie Sekstusa Empiryka (Gorgias' Work ""on Non-Being"" in the Paraphrase of Sextus Empiricus)",2004
NERTON,Zbigniew Nerczuk,"Traktat ""o Niebycie"" Gorgiasza Z Leontinoi (Gorgias' Treatise ""on Non-Being"")",1997
BOULSD-39,L\'{e}na Bourgeois,Les Strat\'{e}gies de Persuasion Dans L? \'{E}loge D?H\'{e}l\`{e}ne de Gorgias,2017
BECGYE,C\'{e}sar Arturo Vel\'{a}zquez Becerril,Gorgias y El Logos Como Pharmakon,2023
CAPEDP,Andrea Capra,"Eveno di Paro Fra Protagora, Gorgia e Platone",2018
LEMDSA,Nicolas Le Merrer,Du Sophiste au Plaideur : L?Appropriation Platonicienne de la Rh\'{e}torique Dans le Gorgias,2023
SCHIAI-6,Edward Schiappa and Stacey Hoffman,"Intertextual Argument in Gorgias's ""on What is Not"": A Formalization of Sextus, ""Adv Math"" 7.77-80",1994
ROSGAA-7,Thomas G. Rosenmeyer,"Gorgias, Aeschylus, and Apate",1955
MIGGQS,Maurizio Migliori,Gorgia Quale Sofista di Riferimento di Platone,1999
NATAGE,Carlo Natali,"Aristotele, Gorgia e Lo Sviluppo Della Retorica",1999
HUNTGA-2,Virginia Hunter,"Thucydides, Gorgias, and Mass Psychology",1986
MANGAT-11,Wolfgang{-}Rainer Mann,Gorgias and the Weakness of Logos,2021
DIIWIG,Erminia Di Iulio,"What is Gorgias? ?Not Being?? A Brief Journey Through the Treatise, the Apology of Palamedes and the Encomium of Helen",2021
MAKAGW,Stephen Makin,Amusing Gorgias: Why Does the Encomium of Helen End as It Does?,2013
WESOGP,Marian Weso\l{}y,On Gorgias? Particular Demonstration,2013
VOLGRO-2,Marina Volf,Gorgias' Revising of Ancient Epistemology: On Non-Being by Gorgias and its Paraphrases,2021
DRATCO-10,Ryan Drake,The Compulsion of Bodies: Infection and Possession in Gorgias' Helen,2021
