ID,Author,Title,Year
DOSGDA,Francois Dosse,Gilles Deleuze and F\'{e}lix Guattari: Intersecting Lives,2010
GENFGA,Gary Genosko,Fe?Lix Guattari: An Aberrant Introduction,2002
FERBAT-2,Ann Ferguson,"Blood at the Root: Motherhood, Sexuality and Male Dominance",1989
GENFG,Gary Genosko,F\'{e}lix Guattari,2003
GUATGR,Gary Genosko,The Guattari Reader,1996
GOUAMF-2,Pelagia Goulimari,A Minoritarian Feminism? Things to Do with Deleuze and Guattari,1999
NAIRTR,Thomas Nail,"Returning to Revolution: Deleuze, Guattari and Zapatismo",2012
LORFLO,Tamsin Lorraine,Feminist Lines of Flight From the Majoritarian Subject,2008
LYUNPA,\CYRT{}aras Lyuty and Mykhailo Minakov and Vakhtang Kebuladze and Vadym Menzhulin,Nietzsche?s Philosophy as a Creation of Concepts (Xvi Kyiv-Mohyla Seminar on the History of Philosophy),2018
GLAGDA,Deborah Glassman,Gilles Deleuze and F\'{e}lix Guattari: Intersecting Lives,2010
JAMFQF,Robin James,"From ""No Future"" to ""Delete Yourself """,2013
STELMS,Jack Stetter,La Modulation Spinoziste: Pour Se Purifier de la Philosophie,2017
Bornstein2007-BOTFCT,Thorsten Botz{-}Bornstein,"From Community to Time?Space Development: Comparing N. S. Trubetzkoy, Nishida Kitar\=o, and Watsuji Tetsur\=o",2007
MOZIEC,Liane Moz\`{e}re,In Early Childhood: What's Language About?,2007
PRIFGE,Bernard Prince and Emmanuel Videcoq,F\'{e}lix Guattari Et les Agencements Post-M\'{e}dia,2005
GENUT,Gary Genosko,Undisciplined Theory,1998
PROPPI,John Protevi,Political Physiology in High School: Columbine and After,2014
UENGAJ,Toshiya Ueno,Guattari and Japan,2012
HANFGM,Matthew G. Hannah,Foucault?s ?German Moment?: Genealogy of a Disjuncture,2012
MURRIP,Timothy S. Murphy and Abdul{-}Karim Mustapha,Resistance in Practice: The Philosophy of Antonio Negri,2005
SAHEBT,Debika Saha,Early Buddhist Thought and Post-Modernism,2008
ALLL-2,\'{E}ric Alliez and Anne Querrien,L'effet-Guattari,2008
NAIAPE,Thomas Nail,"A Post-Neoliberal Ecopolitics? Deleuze, Guattari, and Zapatismo",2010
BUCGDA,Ian Buchanan,Globalizing Deleuze and Guattari,2001
BLAEIF,Chris Blakley,Ethics in Foucault and Deleuze/Guattari,2005
GLAGDA-2,Deborah Glassman,Gilles Deleuze and F\'{e}lix Guattari: Intersecting Lives,2011
GUASS,F\'{e}lix Guattari and Sylv\`{e}re Lotringer,Soft Subversions,1996
MARANS-9,Costantini Marco,"Alcune Note Su ""L'anti-Edipo""",2017
BONMEO,Mark Andrew Bonta,"Mapping Enredos of Complex Spaces. A Regional Geography of Olancho, Honduras",2001
BEIDFG,Chris Beighton,"Dosse, F., Gilles Deleuze, F\'{e}lix Guattari - Biographie Crois\'{e}e",2012
