ID,Author,Title,Year
SIMMSA-6,Massimiliano Simons,"Michel Serres and French Philosophy of Science: Materiality, Ecology and Quasi-Objects",2022
KUSHHE,Martin Kusch,Hacking?s Historical Epistemology: A Critique of Styles of Reasoning,2010
FEEWGI,Uljana Feest and Thomas Sturm,What (Good) is Historical Epistemology? Editors' Introduction,2011
DASHE,Lorraine Daston,Historical Epistemology,1994
SCHHAT-53,Eva Schmidt,Hume and the Unity of Reasons,2025
SIMSLM,Massimiliano Simons,Self-Organizing Life: Michel Serres and the Problem of Meaning,2023
MTHOTG,Pierre{-}Olivier M\'{e}thot,On the Genealogy of Concepts and Experimental Practices: Rethinking Georges Canguilhem?s Historical Epistemology,2012
CARHEO,Martin Carrier,Historical Epistemology: On the Diversity and Change of Epistemic Values in Science,2012
TILIHE,Mary Tiles,Is Historical Epistemology Part of the 'Modernist Settlement'?,2011
SIMCOM-4,Massimiliano Simons,?Changing? One's Mind: Historical Epistemology as Normative Psychology,2023
LEEFSM,Robert van Leeuwen,From s-Matrix Theory to Strings: Scattering Data and the Commitment to Non-Arbitrariness,2024
STUHEO-2,Thomas Sturm,"Historical Epistemology or History of Epistemology? The Case of the Relation Between Perception and Judgment: Dedicated to G\""{u}nther Patzig on His 85Th Birthday",2011
ASSPPH,Arthur Alfaix Assis,Plural Pasts: Historiography Between Events and Structures,2023
SIMHAE-4,Massimiliano Simons,History as \emph{Engagement}: The Historical Epistemology of Raymond Aron,2022
Fordsmand2023-SCOADM,Helene Scott{-}Fordsmand and Karin Tybjerg,Approaching Diagnostic Messiness Through Spiderweb Strategies: Connecting Epistemic Practices in the Clinic and the Laboratory,2023
MAMPLC,Mona Mamulea,Proiectul Lui C. R\u{a}dulescu-Motru de Fundamentare a Psihologiei Ca ?tiin?\ua a Naturii,2023
CULTHS,Carolyn Culbertson,The Hermeneutic Situation of Thought as a Hermeneutic Principle,2022
WALFOL-2,Scott A. Walter,Figures of Light in the Early History of Relativity,2018
TEILDU,Anna Teicher,L?Amicizia di Una Vita. Eugenio Garin (1909-2004) e Jacob Leib Teicher,2019
WALPIG-2,Scott A. Walter,"Poincar\'e-Week in G\""{o}ttingen, in Light of the Hilbert-Poincar\'e Correspondence of 1908?1909",2018
SIMEII,Massimiliano Simons and Hannes Van Engeland,Een Inleiding in de Franse Historische Epistemologie,2021
SCHGUN,Gregor Schiemann,Geschichte Und Natur Zwischen Differenz Und Konvergenz,1997
KMIPIH,Jerzy Kmita,Problems in Historical Epistemology,1988
TILAIT-2,Mary Tiles,An Introduction to Historical Epistemology: The Authority of Knowledge,1993
SCHNEG,Gregor Schiemann,Entfernte Einheit. Geschichte Und Natur in Ernst Troeltschs Geschichtsphilosophie,2000
HEIACA-2,Johan Heilbron,Auguste Comte and Historical Epistemology: A Reply to Dick Pels,1996
FINEES-2,Maurice Finocchiaro,Epistemologia e Storia Della Scienza: Le Svolte Teoriche da Duhem a Bachelardpietro Redondi,1980
ALASBT,Mario Alai and Marco Buzzoni and Gino Tarozzi,Science Between Truth and Ethical Responsibility: Evandro Agazzi in the Contemporary Scientific and Philosophical Debate,2015
KOPHEA,Thomas R. Kopfensteiner,Historical Epistemology and Moral Progress,1992
HACTEO-5,Ian Hacking,The Emergence of Sexuality: Historical Epistemology and the Formation of Concepts,2003
SCIHOR,Luca Sciortino,History of Rationalities: Ways of Thinking From Vico to Hacking and Beyond,2023
HAMHEA,Aimi Hamraie,Historical Epistemology as Disability Studies Methodology: From the Models Framework to Foucault?s Archaeology of Cure,2015
TILAIT-6,Mary Tiles and Jim Tiles,An Introduction to Historical Epistemology,1994
KUSRRM,Martin Kusch,"Reflexivity, Relativism, Microhistory: Three Desiderata for Historical Epistemologies",2011
ASSHOI,Arthur Alfaix Assis,History of Ideas and its Surroundings,2021
ASSDOO,Arthur Alfaix Assis,"Droysen, Outline of the Theory of History - Introduction",2022
BADLDL-4,Amir Mehdi Badi?,L'illusion de l'Extensibilite Infinie de la Verite,1953
MERAMB-2,Andr\'e Mercier,Amir Mehdi Badi: L'illusion de l'Extensibilit\'e Infinie de la V\'{e}rit\'e,1962
