ID,Author,Title,Year
ANTAIT-2,Unknown,An Introduction to Historical and Comparative Linguistics,1974
BROLDA-2,Lajos L. Brons,Language Death and Diversity: Philosophical and Linguistic Implications,2014
MARMOT-13,Jes\'{u}s Gerardo Mart\'{i}nez del Castillo,Modes of Thinking and Language Change: The Loss of Inflexions in Old English,2015
HITTCC,Christopher Hitchcock,The Common Cause Principle in Historical Linguistics,1998
SUBSIA,Vanja Suboti\'c,Semantic Internalism and Externalism in Paleolinguistics: Mind Your Language About Proto-Indo-European Mind and Language!,2024
CABCPH,Frank Cabrera,"Cladistic Parsimony, Historical Linguistics and Cultural Phylogenetics",2017
OHATOH,Robert J. O'Hara,Trees of History in Systematics and Philology,1996
MALTCA-10,Fintan Mallory,The Case Against Linguistic Palaeontology,2020
KARTOB,Onur Karamercan,Topology of Balasaguni's Kutadgu Bilig. Thinking the Between,2021
BROAAI,Michael M. Broido,Abhipr\={a}ya and Implication in Tibetan Linguistics,1984
KIPPA,Paul Kiparsky,P ? Aninian Linguistics,unknown
HAANEL,Ignace Haaz,Nietzsche Et la M\'{e}taphore Cognitive,2006
VEDPIP,Th\'{e}r\`{e}se Vedet,"Parry in Paris: Structuralism, Historical Linguistics, and the Oral Theory",2005
GELCIO-2,Elly Gelderen,Chomsky's Influence on Historical Linguistics: From Universal Grammar to Third Factors,2021
BLAFLS,Andreas Blank,For Lexical Semantic Change,1999
LEVTEO-22,Robert Leventhal,"The Emergence of Philological Discourse in the German States, 1770-1810",1986
TVGLSA,T. V. Gamkrelidze and V. V. Ivanov,Language Systems and Principles of Reconstruction in Linguistics,1987
BARVIA-2,Corien Bary and Markus Egg,Variety in Ancient Greek Aspect Interpretation,2012
HITEAP,Christopher Hitchcock,Exactness and Pseudoexactness in Historical Linguistics,1999
Strevens1981-HOLCL,L. A. Holford{-}Strevens,Christian Latin,1981
SEDASA,James Sedlacek,The Verbal Aspect Integral to the Perfect and Pluperfect Tense-Forms in the Pauline Corpus: A Semantic and Pragmatic Analysis,2022
MICLAO-2,Truman Michelson,Linguistic Archaisms of the R\={a}m\={a}ya\d{n}alinguistic Archaisms of the Ramayana,1904
