ID,Author,Title,Year
THACR,Paul Thagard,Conceptual Revolutions,1992
SCHTVI-5,Samuel Schindler,Theoretical Virtues in Science: Uncovering Reality Through Theory,2018
POISAM-2,Henri Poincare?,Science and Method,1952
LAUSAH-3,Larry Laudan and R. Laudan,Science and Hypothesis: Historical Essays on Scientific Methodology,1981
BYSHAC-2,Piotr Bystranowski and Vilius Dranseika and Tomasz \.{Z}uradzki,Half a Century of Bioethics and Philosophy of Medicine: A Topic-Modeling Study,2022
TURMPH-2,Derek D. Turner,Making Prehistory: Historical Science and the Scientific Realism Debate,2007
MALWIT-5,Christophe Malaterre and Jean{-}Fran\c{c}ois Chartier and Davide Pulizzotto,"What is This Thing Called Philosophy of Science? A Computational Topic-Modeling Perspective, 1934?2015",2019
LICMSD,Eli I. Lichtenstein,(Mis)Understanding Scientific Disagreement: Success Versus Pursuit-Worthiness in Theory Choice,2021
HATTSA-3,Gary Hatfield,The Senses and the Fleshless Eye: The Meditations as Cognitive Exercises,1986
SCHMTO-4,Jutta Schickore,More Thoughts on Hps: Another 20 Years Later,2011
ERIHRA,P. Erickson and J. L. Klein and L. Daston and R. Lemov and T. Sturm and M. D. Gordin,How Reason Almost Lost its Mind: The Strange Career of Cold War Rationality,2013
MIZTHO,Moti Mizrahi,The History of Science as a Graveyard of Theories: A Philosophers? Myth?,2016
DASHOS,Lorraine Daston and Elizabeth Lunbeck,Histories of Scientific Observation,2011
STUTES-5,Michael T. Stuart and Yiftach Fehige and James Robert Brown,Thought Experiments: State of the Art,2017
ANSEME,Peter R. Anstey and Alberto Vanzo,Early Modern Experimental Philosophy,2016
LYEPOG,Charles Lyell and G. L. Herrier Davies,Principles of Geology,1994
CUNDTB,Andrew Cunningham and Perry Williams,De-Centring the ?Big Picture?: \emph{The Origins of Modern Science} and the Modern Origins of Science,1993
SHANPH,Steven Shapin,"Never Pure: Historical Studies of Science as If It Was Produced by People with Bodies, Situated in Time, Space, Culture, and Society, and Struggling for Credibility and Authority",2010
LEWTUO-4,Michael Lewin,"The Universe of Science. The Architectonic Ideas of Science, Sciences and Their Parts in Kant",2020
WILTIW-2,Catherine Wilson,The Invisible World: Early Modern Philosophy and the Invention of the Microscope,1995
ANSTOO,Peter Anstey and Alberto Vanzo,The Origins of Early Modern Experimental Philosophy,2012
FERFCD,Michael T. Ferejohn,"Formal Causes: Definition, Explanation, and Primacy in Socratic and Aristotelian Thought",2013
PARNOT-8,Seungbae Park,New Objections to the Problem of Unconceived Alternatives,2019
KOCSAS-3,Jeff Kochan,Science as Social Existence: Heidegger and the Sociology of Scientific Knowledge,2017
LICRLO,Eli I. Lichtenstein,Revaluing Laws of Nature in Secularized Science,2022
PADOIS,Flavia Padovani and Alan Richardson and Jonathan Y. Tsou,Objectivity in Science: New Perspectives From Science and Technology Studies,2015
SHATHO-7,Steven Shapin,The House of Experiment in Seventeenth-Century England,1988
BURTMF,Edwin Arthur Burtt,The Metaphysical Foundations of Modern Science,1954
MATIHO,Michael R. Matthews,"International Handbook of Research in History, Philosophy and Science Teaching",2014
JANCSE,Michel Janssen,Coi Stories: Explanation and Evidence in the History of Science,2002
MORTCA-3,Michael Morreau,Theory Choice and Social Choice: Kuhn Vindicated,2015
MCCSHE,William F. McComas,Seeking Historical Examples to Illustrate Key Aspects of the Nature of Science,2008
BOLNHC,Agnes Bolinska and Joseph D. Martin,"Negotiating History: Contingency, Canonicity, and Case Studies",2020
LAUTDO,Larry Laudan,Two Dogmas of Methodology,1976
BORWJA,Francesca Bordogna,"William James at the Boundaries: Philosophy, Science, and the Geography of Knowledge",2008
PITTDO,Joseph C. Pitt,The Dilemma of Case Studies: Toward a Heraclitian Philosophy of Science,2001
WHEHOS,William Whewell,History of Scientific Ideas,2023
FIRFWS,Stuart Firestein,Failure: Why Science is so Successful,2015
HUTWHT-2,Keith Hutchison,What Happened to Occult Qualities in the Scientific Revolution?,1982
RAJBP-2,Kapil Raj,Beyond Postcolonialism ? and Postpositivism: Circulation and the Global History of Science,2013
PARTUP-3,Seungbae Park,The Uniformity Principle Vs. The Disuniformity Principle,2017
FINTST-2,Diarmid A. Finnegan,The Spatial Turn: Geographical Approaches in the History of Science,2008
STEPSS-2,Susan G. Sterrett,Physically Similar Systems: A History of the Concept,2017
ZHARSA-4,Tong Zhang,Reinterpreting Science as a Vocation,2022
NORSTD,Alfred Nordmann and Hans Radder and Gregor Schiemann,Science Transformed?: Debating Claims of an Epochal Break,2011
HATPAU,Gary Hatfield,Perception as Unconscious Inference,2002
EDWDAF,Derek Edwards and Malcolm Ashmore and Jonathan Potter,"Death and Furniture: The Rhetoric, Politics and Theology of Bottom Line Arguments Against Relativism",1995
DEWPIA-2,Fons Dewulf and Massimiliano Simons,Positivism in Action: The Case of Louis Rougier,2021
