ID,Author,Title,Year
QUEMPT,Matthieu Queloz,Making Past Thinkers Speak to Us Through Pragmatic Genealogies,2023
QUEDPH,Matthieu Queloz,Does Philosophy Have a Vindicatory History? Bernard Williams on the History of Philosophy,2017
PASKTO-5,Jordan Pascoe,Kant's Theory of Labour,2022
MOOTEO-21,A. W. Moore,The Evolution of Modern Metaphysics: Making Sense of Things,2011
CHURHO,Ian M. Church and Robert J. Hartman,The Routledge Handbook of the Philosophy and Psychology of Luck,2019
VANDHP-4,Marcel van Ackeren and Matthieu Queloz,Doing History Philosophically and Philosophy Historically,forthcoming
ANTTBT,Maria Rosa Antognazza,The Benefit to Philosophy of the Study of its History,2015
BEITGH,Frederick C. Beiser,The German Historicist Tradition,2011
MEHTCA-5,Asma Mehan and Krzysztof Nawratek,"The City as the (Anti)Structure: Urban Space, Violence and Fearscapes (1st edition)",2023
MOVCIL,Hamed Movahedi,Continuity in Leibniz and Deleuze: A Reading of Difference and Repetition and the Fold,2024
ATKPOI,Richard Kenneth Atkins,"Peirce on Inference: Validity, Strength, and the Community of Inquirers (1st edition)",2023
DEJTCM,Willem R. de Jong and Arianna Betti,The Classical Model of Science: A Millennia-Old Model of Scientific Rationality,2010
JENTPL-2,Carolyn Dicey Jennings,The Philosophical Landscape on Attention,2020
REITEO-6,Gregory M. Reichberg and Henrik Syse and Endre Begby,The Ethics of War: Classical and Contemporary Readings,2006
Yami2015-BENDPR,Hanoch Ben{-}Yami,Descartes' Philosophical Revolution: A Reassessment,2015
KATAWP,Joel Katzav and Dorothy Rogers and Krist Vaesen,"American Women Philosophers: Institutions, Background and Thought",2023
STUTRC,Michael T. Stuart and Yiftach Fehige and James Robert Brown,The Routledge Companion to Thought Experiments,2017
REAAAU,Stephen Read,Aristotle and \L{}ukasiewicz on Existential Import,2015
FASMST,Manuel Fasko,Mary Shepherd's 'Threefold Variety of Intellect' and its Role in Improving Education,2021
STERLA-2,Uwe Steinhoff,"Rights, Liability, and the Moral Equality of Combatants",2012
WOLMAH-2,Charles T. Wolfe,Materialism: A Historico-Philosophical Introduction,1st ed. 2016
LEDHCA,Mich\`{e}le Le D\o{e}uff,"Hipparchia's Choice: An Essay Concerning Women, Philosophy, Etc",1990
STRNSO-2,Andrea Strazzoni,Neglected Sources on Cartesianism: The Academic \emph{Dictata} of Johannes de Raey,2023
MAKFWT,Dejan Makovec and Stewart Shapiro,Friedrich Waismann: The Open Texture of Analytic Philosophy,2019
SOYTDB-2,Sanem Soyarslan,The Distinction Between Reason and Intuitive Knowledge in Spinoza's Ethics,2013
KUZPHT,Adrian Kuzminski,Pyrrhonism: How the Ancient Greeks Reinvented Buddhism,2008
SPAAHO-3,Tom Sparrow and Adam Hutchinson,A History of Habit: From Aristotle to Bourdieu,2013
FEHOTO,Yiftach Fehige and Michael T. Stuart,On the Origins of the Philosophy of Thought Experiments: The Forerun,2014
TNNTBG-2,Morten T\o{}nnessen and Riin Magnus and Carlo Brentari,The Biosemiotic Glossary Project: Umwelt,2016
WALTTI-2,Robert H. Wallace,The Tension in Critical Compatibilism,2021
DUNITH,Jeremy Dunham and Iain Hamilton Grant and Sean Watson,Idealism: The History of a Philosophy,2010
RANNAH-4,John Herman Randall,Nature and Historical Experience: Essays in Naturalism and in the Theory of History,1958
BENME-3,Erica Benner,Machiavelli's Ethics,2009
SALJOS,Victor Salas,John of St. Thomas (Poinsot) on the Science of Sacred Theology (1st edition),2024
CORA-11,Phil Corkum,Ancient,2020
HAHCIM,Susan Songsuk Hahn,Contradiction in Motion: Hegel's Organic Concept of Life and Value,2007
ANDSFT-3,Claus A. Andersen,Scientia Formalitatum. The Emergence of a New Discipline in the Renaissance,2024
SYTAIT,Justin Sytsma and Joseph Ulatowski and Chad Gonnerman,All in the Family: The History and Philosophy of Experimental Philosophy,2023
HATTHO,Gary Hatfield,The History of Philosophy as Philosophy,2005
DUNITH-3,Jeremy Dunham and Iain Hamilton Grant and Sean Watson,Idealism: The History of a Philosophy,2010
PAUHTO,Elliot Samuel Paul,Historical Treatments of Creativity in the Western Tradition,forthcoming
GOREMA-2,Pietro Gori,Ernst Mach and Friedrich Nietzsche. On the Prejudices of Scientists,2021
NTHHOS,Winfried Noth,Handbook of Semiotics,1990
RAWJLB,Mary C. Rawlinson,Just Life: Bioethics and the Future of Sexual Difference,2016
MITOHT,Phillip Mitsis,The Oxford Handbook to Epicurus and Epicureanism,2020
STABLO,Alejo Stark,Brecht?s Life of Galileo: Staging Theory of the Encounter of Practices,2024
FERLFD-26,Hector Ferreiro,La Funci\'{o}n Del Arte En la Teor\'{i}a Del Conocimiento de Hegel,2024
BERSDG-4,Sandrine Berg\`{e}s,Sophie de Grouchy on the Cost of Domination in the Letters on Sympathy and Two Anonymous Articles in le Republicain,2015
DEBDAH,Remy Debes,Dignity: A History,2017
GARNIE-4,Arran Gare,Nihilism Inc.: Environmental Destruction and the Metaphysics of Sustainability,1996
MIRIAN,Miranda Luis de,Is a New Life Possible? Deleuze and the Lines,2013
ROSDOA,Steven M. Rosen,"Dimensions of Apeiron: A Topological Phenomenology of Space, Time, and Individuation",2004
BARJDO,Barbara Bartocci and Stephen Read,John Dumbleton on Insolubles: An Edition of an Epitome of His Solution to Insolubles,2022
TUAWAT,Nancy Tuana,Woman and the History of Philosophy,1992
