ID,Author,Title,Year
BAIYNB,Andrew M. Bailey,You Needn't Be Simple,2014
COLUID,Nicholas Colgrove,Unintended Intrauterine Death and Preterm Delivery: What Does Philosophy Have to Offer?,2023
HAUEEA,Christopher Hauser,"Evolution, Emergence, and the Divine Creation of Human Souls",forthcoming
LUMCLU,David Lumsden and Joseph Ulatowski,Casting Light Upon the Great Endarkenment,2019
ODOOEA,Patrick O'Donnell,"Ontology, Experience, and Social Death: On Frank Wilderson's Afropessimism",2020
BAIYCB,Andrew M. Bailey,You Could Be Immaterial (or Not),forthcoming
BAIMAH,Andrew M. Bailey,Monotheism and Human Nature,2021
HELICA-3,Lisa Heldke,It?s Chomping All the Way Down: Toward an Ontology of the Human Individual,2018
TUROTH,James T. Turner,On the Horns of a Dilemma: Bodily Resurrection or Disembodied Paradise?,2014
TRNHBI,Radek Trnka,Human Beings in Quantum Anthropology: A Paradox of the Discontinuous Experience of Quantum Spacetime,manuscript
SHUEBO,Anna Shutaleva and Nikita Martyushev and Zhanna Nikonova and Irina Savchenko and Sophya Abramova and Vladlena Lubimova and Anastasia Novgorodtseva,Environmental Behavior of Youth and Sustainable Development,2022
LONTBO,Douglas C. Long,The Bodies of Persons,1974
ABRBSA,Thomas Abrams,"Braidotti, Spinoza and Disability Studies After the Human",2017
ROSTWA-5,Matt Rosen,Those Who Aren't Counted,2020
OBRIMM,Lucy O'Brien,"I, Myself, Move",forthcoming
LONWLI,Douglas C. Long,Why Life is Necessary for Mind: The Significance of Animate Behavior,2010
AMAATA,Pedro Amaral,About the Author,manuscript
ROHAZA,Guy Rohrbaugh,"Anscombe, Zygotes, and Coming-to-Be",2013
YOUEAT-5,Raymond Aaron Younis,"Education at the Crossroads? (On the Tragedy of ""Humanism"")",2018
HAYDOT-2,N. Katherine Hayles,"Designs on the Body: Norbert Wiener, Cybernetics, and the Play of Metaphor",1990
LEULPO,King{-}Ho Leung,"Living Paradoxes: On Agamben, Taylor, and Human Subjectivity",2019
FELSAS-2,Ferdinand Fellmann,"Schopenhauer Aktuell: Sexualit\""{a}t, Individualit\""{a}t Und Freiheit",2012
MALLCD-13,Antonio Malo,La Coscienza Dell'atto Come Metodo Per Superare Il Soggettivismo e l'Oggettivismo in Antropologia,2001
VOSRAB,W. Vossenkuhl,Recent Anthropology Books,1975
FULISO-4,Steve Fuller,In Search of Sociological Foundations for the Project of Humanity,2009
ROTAAS,Nathan Rotenstreich,Anthropology and Sensibility,1972
STEOPP,Werner Stegmaier,Orientierung: Philosophische Perspektiven,2005
AQUHC,Thomas Aquinas,Human Constitution,1997
GABHBI,N. Gabriel and L. B. Kaspersen,?Human Beings in the Round?: Towards a General Theory of the Human Sciences,2014
MASTHU-3,P. Masani,The Human Use of Human Beings: Cybernetics and Society. Norbert Wiener,1989
ACD,A. Ales Bello [,Al Cuore Dell'umano,2007
JANA-3,Stanis\l{}aw Janeczek,Antropologia,2010
BROTIO-28,Jacob Bronowski and American Museum of Natural History,The Identity of Man: By J. Bronowski,1965
PIAAA,Zdzis\l{}awa Pia?tek,Aspekty Antropocentryzmu,1988
