ID,Author,Title,Year
BROSBD-2,Berit Brogaard,Sex by Deception,2022
LIAPAN-2,S. Matthew Liao and Adam Etinson,Political and Naturalistic Conceptions of Human Rights: A False Polemic?,2012
DEBDAH,Remy Debes,Dignity: A History,2017
KLEKCL,Pauline Kleingeld,Kant's Cosmopolitan Law: World Citizenship for a Global Order,1998
GHECHR,Anca Gheaus,Children's Human Rights,forthcoming
WILUEO,Damian Williams,Us Erosion of the Right to Asylum,forthcoming
LAMALT,Andy Lamey,A Liberal Theory of Asylum,2012
KANCHR,Deepa Kansra,Can Human Rights Law Protect Against Humiliation?,2023
DEBCCA-2,Boudewijn de Bruin,Climate Change and Business Ethics,forthcoming
RETITA-2,Cristi\'{a}n Rettig,Is There a Human Right to Subsistence Goods?,2021
PERAHR-3,Michael J. Perry,Are Human Rights Universal? The Relativist Challenge and Related Matters,1997
CRUPFO-2,Rowan Cruft and S. Matthew Liao and Massimo Renzo,Philosophical Foundations of Human Rights,2015
QUEELA,Jahel Queralt and Bas van der Vossen,Economic Liberties and Human Rights,2019
LISTIN,Matthew Lister,There is No Human Right to Democracy. But May We Promote It Anyway?,2012
ANDDAU-2,Joel Anderson and Jos Philips,"Disability and Universal Human Rights: Legal, Ethical, and Conceptual Implications of the Convention on the Rights of Persons with Disabilities.",2012
BRACR-2,Eric Brandstedt and Anna{-}Karin Bergman,Climate Rights : Feasible or Not?,2013
PIEPPC-3,Marek Piechowiak,Poj\k{e}cie Praw Cz\l{}owieka [the Notion of Human Rights],1997
GAVTNP,Theo Gavrielides,The New Politics of Community Cohesion: Making Use of Human Rights Policy and Legislation,2010
GAVHRV,Theo Gavrielides,Human Rights Vs. Political Reality: The Case of Europe?s Harmonising Criminal Justice Systems,2005
KANWHR-2,Deepa Kansra,When Human Rights and Psychology Meet,2021
KANITL-2,Deepa Kansra,Is Law Spiritual?,2013
FORHRU,Giulio Fornaroli and Cristi\'{a}n Rettig,Human Rights Under Emergency,2023
PIEGIR,Marek Piechowiak,Godno\'{s}'c I R\'{o}wno\'{s}'c Jako Podstawy Sprawiedliwo\'{s}ci. Z Perspektywy Mi\k{e}dzynarodowej Ochrony Praw Cz\l{}owieka,1992
PIEWGZ,Marek Piechowiak,Wyra\.{z}enie ?Godno\'{s}'c? ? Poj\k{e}cie Godno\'{s}ci ? Godno\'{s}'c. O Niekt\'{o}rych Teoretycznych Aspektach Uj\k{e}cia Godno\'{s}ci W Konstytucji Rp [the Term ?Dignity? ? the Concept of Dignity ? Dignity: On Some Theoretical Aspects of Recognizing Dignity in the Constitution of the Republic of Poland],2022
KANNRT,Deepa Kansra,"Neuro Rights, the New Human Rights",2021
KANFHR,Deepa Kansra,Fine-Tuning Human Rights for Spiritual Well-Being,2022
KANTCA-4,Deepa Kansra and Rabindra Pathak,"Text, Context, and Human Rights-Based Interpretations by Domestic Courts",2021
KANATH,Deepa Kansra,"Advancing the Human Right to Science Under the International Covenant on Economic, Social and Cultural Rights",2020
PIESOW,Marek Piechowiak,Specyfika Ograniczenia Wolno\'{s}ci I Praw Konstytucyjnych W Stanach Nadzwyczajnych [Extraordinary Measures and Restrictions of Constitutional Freedoms and Rights],2021
KANTHO-3,Deepa Kansra,The Harmonization of Domestic and International Human Rights Standards on Criminalization of Rape,2021
PIEPPC-2,Marek Piechowiak,Powszechno\'{s}'c Praw Cz\l{}owieka. Zagadnienia Filozoficznoprawne [Universality of Human Rights in the Light of Their Ontic Foundations],1996
KANMPA-2,Deepa Kansra,Monitoring Peace and Security Mandates for Human Rights,2022
KANDTH-2,Deepa Kansra,Disputing the Human Rights Discourse on Property: The Case of Development and Vulnerability in India,2011
PIEAPK,Marek Piechowiak,Aksjologiczne Podstawy Karty Praw Podstawowych Unii Europejskiej [Axiological Foundations of the Charter of Fundamental Rights of the European Union],2003
