ID,Author,Title,Year
MORTWI,Mary S. Morgan,The World in the Model: How Economists Work and Think,2012
LINAWS,Eden Lin,Against Welfare Subjectivism,2017
KUOEMA,Jaakko Kuorikoski and Aki Lehtinen and Caterina Marchionni,Economic Modelling as Robustness Analysis,2010
ODEBBR,Jay Odenbaugh and Anna Alexandrova,Buyer Beware: Robustness Analyses in Economics and Biology,2011
CLAPAP-6,Christopher Clarke,Preferences and Positivist Methodology in Economics,2016
NORPDD,Robert Northcott and Anna Alexandrova,Prisoner's Dilemma Doesn't Explain Much,2015
LISMMO-2,Chiara Lisciandra and Johannes Korbmacher,"Multiple Models, One Explanation",2021
ALEPIE,Anna Alexandrova and Robert Northcott,Progress in Economics: Lessons From the Spectrum Auctions,2009
NOGITS,Robert Noggle,"Integrity, the Self, and Desire-Based Accounts of the Good",1999
ANAFOR-2,Paul Anand,Foundations of Rational Choice Under Risk,1993
ALEIJA,Anna Alexandrova and Robert Northcott,It?s Just a Feeling: Why Economic Models Do Not Explain,2013
BOLATM,Ivan Boldyrev and Alexey Ushakov,Adjusting the Model to Adjust the World: Constructive Mechanisms in Postwar General Equilibrium Theory,2016
SUGHFA,Robert Sugden,How Fictional Accounts Can Explain,2013
WEATEO-9,Brian Weatherson,The End of Decision Theory,manuscript
SHAASA-12,Fengmin Shao and Yue Gu and Zhenxiang Zhang and Hui Zhang and Yuming Wang,Assisted Suicide and Euthanasia: A Comparative Analysis of Dutch and East Asian Cases,2022
REIIAT-6,Julian Reiss,Idealization and the Aims of Economics: Three Cheers for Instrumentalism,2012
HINFMA,Frank Hindriks,False Models as Explanatory Engines,2008
Yanoff2013-GRNGRA,"Till Gr\""{u}ne{-}Yanoff",Genuineness Resolved: A Reply to Reiss' Purported Paradox,2013
DWATSV,D. Wade Hands,The Structuralist View of Economic Theories: A Review Essay: The Case of General Equilibrium in Particular,1985
MKIOAP,"Uskali M\""{a}ki","On a Paradox of Truth, or How Not to Obscure the Issue of Whether Explanatory Models Can Be True",2013
REITEP-6,Julian Reiss,The Explanation Paradox Redux,2013
BETPOP,Gregor Betz,Prediction or Prophecy?: The Boundaries of Economic Foreknowledge and Their Socio-Political Consequences,2006
DAODEP,Marc{-}Kevin Daoust and Victor Babin,Deux Enjeux Philosophiques Entourant la Structure des Recommandations Issues du Secteur Public,2023
HAUPP,Daniel M. Hausman,Paradox Postponed,2013
HANRCA-3,D. Wade Hands,"Realism, Commonsensibles, and Economics:The Case of Contemporary Revealed Preference Theory",2012
DAOTPI,Marc{-}Kevin Daoust and Victor Babin,Two Philosophical Issues Surrounding the Structure of Public-Policy Recommendations,2023
SVEDBC,Ekaterina Svetlova,De-Idealization by Commentary: The Case of Financial Valuation Models,2013
NIITA,Ilkka Niiniluoto,10 Truthlikeness and Economic Theories,2002
KUOEAR,Jaakko Kuorikoski and Aki Lehtinen and Caterina Marchionni,Economics as Robustness Analysis,2007
HAHRCC,Frank Hahn,Rerum Cognoscere Causas,1996
FREPRA-6,Danny Frederick,"Popper, Rationality and the Possibility of Social Science",2013
DAVWUI,David Miller,What Use is Empirical Confirmation?,1996
HOGPHQ,Brendan Hogan,Pragmatic Hegemony: Questions and Convergence,2015
RISTEP,Olle Risberg,The Entanglement Problem and Idealization in Moral Philosophy,2018
SCHTVO-33,Scott Scheall,The Vacuity of Ludwig von Mises?s Apriorism,manuscript
CRETUC,Sergio Volodia Marcello Cremaschi and Marcelo Dascal,The Unitarian Connection and Ricardo's Scientific Style,2002
CREHE-2,Sergio Volodia Marcello Cremaschi,Homo Economicus,2006
AYDEVI,"Emrah Aydinonat and Emin K\""{o}ksal",Explanatory Value in Context: The Curious Case of Hotelling?s Location Model,2019
CRERD-2,Sergio Volodia Marcello Cremaschi and Pier Luigi Porta,"Ricardo, David",2006
SERLRC-3,Davide Serpico and Luca Costa and Davide Rasino,La Riproduzione Come Fine Ultimo Degli Organismi Viventi: Genealogia di Un Paradigma Economico,2014
