ID,Author,Title,Year
DORTBF-2,Cian Dorr,To Be F is to Be G,2016
TAHOD,Tuomas E. Tahko and E. J. Lowe,Ontological Dependence,2020
SCHTCO-214,Marya Schechtman,The Constitution of Selves,1996
KRIIAN,Saul A. Kripke,Identity and Necessity,1971
CORGEA,Fabrice Correia and Alexander Skiles,"Grounding, Essence, and Identity",2017
WIGSAS-2,David Wiggins,Sameness and Substance,1980
DEGHIA-2,David DeGrazia,Human Identity and Bioethics,2005
WIGSAS-4,David Wiggins,Sameness and Substance Renewed,2001
EVNMOA,Simon Evnine,"Making Objects and Events: A Hylomorphic Theory of Artifacts, Actions, and Organisms",2016
SCHSAP-9,Marya Schechtman,"Staying Alive: Personal Identity, Practical Concerns, and the Unity of a Life",2014
WILIAD-9,Timothy Williamson,Identity and Discrimination,1990
CHAIIA-14,Ruth Chang,"Incommensurability, Incomparability, and Practical Reason",1997
HIRTCO,Eli Hirsch,The Concept of Identity,1982
LOWMKO-2,Edward Jonathan Lowe,"More Kinds of Being: A Further Study of Individuation, Identity, and the Logic of Sortal Terms",2009
WIGIAS,David Wiggins,Identity and Spatio-Temporal Continuity,1967
NOOPI,Harold W. Noonan,Personal Identity,1989
THITEM,Udo Thiel,The Early Modern Subject: Self-Consciousness and Personal Identity From Descartes to Hume,2011
LOWKOB,Edward Jonathan Lowe,"Kinds of Being: A Study of Individuation, Identity, and the Logic of Sortal Terms",1989
HEIIAD,Martin Heidegger,Identity and Difference,1969
LADIAD,James Ladyman and \O{}ystein Linnebo and Richard Pettigrew,Identity and Discernibility in Philosophy and Logic,2012
CORRD-2,Fabrice Correia,Real Definitions,2017
QUIIOA,W. V. Quine,"Identity, Ostension, and Hypostasis",1950
GALOOI,Andre? Gallois,"Occasions of Identity: A Study in the Metaphysics of Persistence, Change, and Sameness",1998
GRIRI-2,Nicholas Griffin,Relative Identity,1977
PARIIM,Terence Parsons,Indeterminate Identity: Metaphysics and Semantics,2000
COROTL,Fabrice Correia,On the Logic of Factual Equivalence,2016
DORGOI,Mauro Dorato and Matteo Morganti,Grades of Individuality. A Pluralistic View of Identity in Quantum Mechanics and in the Sciences,2013
SHUEIA,Erica Shumener,Explaining Identity and Distinctness,2020
PARTUO,Derek Parfit,The Unimportance of Identity,1997
BAXSAA,Donald L. M. Baxter,"Self-Differing, Aspects, and Leibniz's Law",2018
