ID,Author,Title,Year
VEIPBA,Walter Veit,Procreative Beneficence and Genetic Enhancement,2018
FRATWS,Arthur W. Frank,"The Wounded Storyteller: Body, Illness, and Ethics",1995
BOOOTD,Christopher Boorse,On the Distinction Between Disease and Illness,1975
KIDEII-3,Ian James Kidd and Havi Carel,Epistemic Injustice in Healthcare: A Philosophical Analysis,2014
KIDHPE,Ian James Kidd and Havi Carel,"Healthcare Practice, Epistemic Injustice, and Naturalism",2018
EMAFAO-3,Ezekiel J. Emanuel and Johan L. Dellgren and Matthew S. McCoy and Govind Persad,Fair Allocation of Glp-1 and Dual Glp-1-Gip Receptor Agonists,forthcoming
KIDEII-2,Ian James Kidd and Havi Carel,Epistemic Injustice in Medicine and Healthcare,2017
MATBCO-3,John Matthewson and Paul Edmund Griffiths,Biological Criteria of Disease: Four Ways of Going Wrong,2017
CARIAT-18,Havi Carel and Richard Pettigrew and Ian James Kidd,Illness as Transformative Experience,2017
LEWPAC-5,Jonathan Lewis and S\o{}ren Holm,"Patient Autonomy, Clinical Decision Making, and the Phenomenological Reduction",2022
KIDPEI,Ian James Kidd and Havi Carel,Pathocentric Epistemic Injustice and Conceptions of Health,2019
KLERPF,Arthur Kleinman,Rethinking Psychiatry: From Cultural Category to Personal Experience,1988
BIRCDU,Jonathan Birch and Kathleen A. Creel and Abhinav K. Jha and Anya Plutynski,Clinical Decisions Using Ai Must Consider Patient Values,2022
KIDPIA,Ian James Kidd,"Pathophobia, Illness, and Vices",2019
KIDEEA,Ian James Kidd,"Exemplars, Ethics, and Illness Narratives",2017
KIPFPA,Roland Kipke,Fulfilled Present and Rhythm of Life,2023
LAPCSC-2,Lucie Laplane,Cancer Stem Cells: Philosophy and Therapies,2016
KIDSAT-5,Ian James Kidd and Havi Carel,Suffering and Transformative Experience,2019
SHOPPI,Jonathan Sholl,Putting Phenomenology in its Place: Some Limits of a Phenomenology of Medicine,2015
SVETPO-10,Fredrik Svenaeus,"The Phenomenology of Falling Ill: An Explication, Critique and Improvement of Sartre?s Theory of Embodiment and Alienation",2009
BARHAW-4,Simon Barker and Charlie Crerar and Trystan S. Goetze,Harms and Wrongs in Epistemic Practice,2018
MCCNSA-4,Doug McConnell,Narrative Self-Constitution and Recovery From Addiction,2016
SEIIAD-2,Anna{-}Henrikje Seidlein and Sabine Salloch,Illness and Disease: An Empirical-Ethical Viewpoint,2019
WELMHN,Talia Welsh,Many Healths: Nietzsche and Phenomenologies of Illness,2016
VARNDA-2,Somogy Varga and David Miguel Gray,"Naturalism, Disease, and Levels of Functional Description",2022
MCCNSA-2,Doug McConnell,Narrative Self-Constitution and Vulnerability to Co-Authoring,2016
CARTPO-177,Havi Carel and Ian James Kidd,The Predicament of Patients,2021
TOOTTO,S. Kay Toombs,The Temporality of Illness: Four Levels of Experience,1990
BORRAS-2,Lisa Bortolotti,Rationality and Sanity: The Role of Rationality Judgments in Understanding Psychiatric Disorders,2012
SMITAO-12,Barry Smith and Werner Ceusters and Louis J. Goldberg and Richard Ohrbach,Towards an Ontology of Pain,2011
JAMPOI,Kidd Ian James,"Phenomenology of Illness, Philosophy, and Life",2017
Prat2019-RODAPV-2,Andrea Rodr\'{i}guez{-}Prat and Xavier Escribano,A Philosophical View on the Experience of Dignity and Autonomy Through the Phenomenology of Illness,2019
MEGMIH,Christopher Megone,"Mental Illness, Human Function, and Values",2000
VARHDA-3,Somogy Varga and Andrew J. Latham and Jacob Stegenga,"Health, Disease, and the Medicalization of Low Sexual Desire: A Vignette-Based Experimental Study",forthcoming
KRASIF-2,Steven R. Kraaijeveld,"Seven Insights From Albert Camus?s Plague About Epidemics, Public Health and Morality",forthcoming
KRACGM,Steven R. Kraaijeveld,Continuous Glucose Monitoring as a Matter of Justice,2020
TABCAC-5,Kathryn Tabb,Centrifugal and Centripetal Thinking About the Biopsychosocial Model in Psychiatry,2021
BEHNAC-2,Kathy Behrendt,Narrative Aversion: Challenges for the Illness Narrative Advocate,2017
Diamante2022-CARKTB-2,Sidney Carls{-}Diamante,Know Thyself: Bipolar Disorder and Self-Concept,2022
LEVAGE,David Levy and Ben Gadd and Ian Kerridge and Paul A. Komesaroff,A Gentle Ethical Defence of Homeopathy,2015
LEVTRO-26,Durham Levi,The Role of Hospice and Palliative Medicine in the \emph{Ars Moriendi},forthcoming
ABMTWW,Tineke A. Abma and Barth Oeseburg and Guy Am Widdershoven and Minke Goldsteen and Marian A. Verkerk,Two Women with Multiple Sclerosis and Their Caregivers: Conflicting Normative Expectations,2005
GROWYD,Daniel Groll,What You Don't Know Can Help You: The Ethics of Placebo Treatment,2011
ACKWDS,Terrence F. Ackerman,Why Doctors Should Intervene,1982
WILMOB,Dick Willems,Managing One's Body Using Self-Management Techniques: Practicing Autonomy,2000
SMOIWA,Joanna Smolenski,Involuntary Withdrawal: A Bridge Too Far?,2023
WALDNI,Mary Jean Walker and Wendy A. Rogers,"Diagnosis, Narrative Identity, and Asymptomatic Disease",2017
AGIFTE,George J. Agich and Maria Siemionow,Facing the Ethical Questions in Facial Transplantation,2004
ZACCBA-2,Zackary Berger,Communication Behaviors and Patient Autonomy in Hospital Care: A Qualitative Study.,2017
BROPOM,Howard Brody,Philosophy of Medicine and Other Humanities: Toward a Wholistic View,1985
MARTAI-6,Marga Reimer,Treatment Adherence in the Absence of Insight: A Puzzle and a Proposed Solution,2010
ULRLHS,Ulrich Eibach,"Life History, Sin, and Disease",2006
KIDSAT-4,Ian James Kidd and Havi Carel,Suffering as Transformative Experience,2019
DURWCP,Levi Durham,When Can Physicians Fire Patients with Opioid Use Disorder for Nonmedical Use of Prescription Medications?,2024
RANPCE,Fiona Randall,Palliative Care Ethics: A Good Companion,1996
