ID,Author,Title,Year
MICMTT-2,Kourken Michaelian,Mental Time Travel: Episodic Memory and Our Knowledge of the Personal Past,2016
GOLTMI,Peter Goldie,"The Mess Inside: Narrative, Emotion, and the Mind",2012
PERMAM-4,Denis Perrin and Kourken Michaelian,Memory as Mental Time Travel,2017
ADDMTT,Donna Rose Addis,Mental Time Travel? A Neurocognitive Model of Event Simulation,2020
Hassan2021-LANWSO-2,Peter Langland{-}Hassan,What Sort of Imagining Might Remembering Be?,2021
MICCMR-2,Kourken Michaelian,"Confabulating, Misremembering, Relearning: The Simulation Theory of Memory and Unsuccessful Remembering",2016
Hassan2015-LANIA,Peter Langland{-}Hassan,Imaginative Attitudes,2015
ROBDDN,Sarah Robins,"Defending Discontinuism, Naturally",2020
Hassan2022-LANRIA-3,Peter Langland{-}Hassan,"Remembering, Imagining, and Memory Traces: Toward a Continuist Causal Theory",2022
MICCAU,Kourken Michaelian,Confabulating as Unreliable Imagining: In Defence of the Simulationist Account of Unsuccessful Remembering,2020
MICMTT,Kourken Michaelian,Against Discontinuism: Mental Time Travel and Our Knowledge of Past and Future Events,2016
MYETER,Joshua Myers,The Epistemic Role of Vividness,forthcoming
OPERO,James Openshaw,Remembering Objects,2022
BROICE-2,Berit Brogaard and Dimitria E. Gatzia,Is Color Experience Cognitively Penetrable?,2017
BERTRH-3,Sven Bernecker and Kourken Michaelian,The Routledge Handbook of Philosophy of Memory,2017
AMYIV,Kind Amy,Imaginative Vividness,2017
CATTEA-2,Yuri Cath,Transformative Experiences and the Equivocation Objection,2022
KINTFO-5,Amy Kind,The Feeling of Familiarity,2022
MICSTF,Kourken Michaelian and Stanley B. Klein and Karl K. Szpunar,Seeing the Future: Theoretical Perspectives on Future-Oriented Mental Time Travel,2016
BAIWMB,Olivia Bailey,"What Must Be Lost: On Retrospection, Authenticity, and Some Neglected Costs of Transformation",2023
Hassan2022-LANRAI-6,Peter Langland{-}Hassan,Remembering and Imagining: The Attitudinal Continuity,2022
JOHTDO-31,B. Mahr Johannes,The Dimensions of Episodic Simulation,2020
MILMTT-4,Andrew J. Latham and Kristie Miller and Rasmus Pedersen,Mental Time Travel in Animals: The ?When? of Mental Time Travel,forthcoming
ROSWMA-3,Melanie Rosen and Michael Barkasi,What Makes a Mental State Feel Like a Memory: Feelings of Pastness and Presence,2021
HOWN,S. A. Howard,Nostalgia,2012
GOLRIA-3,Seth Goldwasser,Remembering is an Imaginative Project,2024
TENTJP,Lu Teng,The Justificatory Power of Memory Experience,2024
MUNRTP-2,Daniel Munro,Remembering the Past and Imagining the Actual,2020
MICTPT-3,Kourken Michaelian and Stanley B. Klein and Karl K. Szpunar,"The Past, the Present, and the Future of Future-Oriented Mental Time Travel: Editors' Introduction",2016
LIABF,Shen{-}yi Liao,Bittersweet Food,2021
PERIOI-3,Denis Perrin and Michael Barkasi,Immersing Oneself Into One?s Past: Subjective Presence Can Be Part of the Experience of Episodic Remembering,2024
SANEMA-5,Andr\'e Sant?Anna and Kourken Michaelian and Denis Perrin,Editorial: Memory as Mental Time Travel,2020
SCHDCE-6,C\'{e}sar Schirmer dos Santos and Andr\'e Sant'Anna and Kourken Michaelian and James Openshaw and Denis Perrin,Debates Contempor\^{a}neos Em Filosofia da Mem\'{o}ria: Uma Breve Introdu\c{c}~{a}o,forthcoming
URMMAI,J. O. Urmson,Memory and Imagination,1971
ZACTSN,Gabriel Zaccaro,Tempo Subjetivo Na Filosofia da Mem\'{o}ria: Autonoese e Viagem No Tempo Mental,2023
BROASA-8,Lajos Brons,"Aphantasia, Sdam, and Episodic Memory",2019
HARIAE-8,Kevin Harrelson,Intention and Empathy,2020
KOSMIA-2,Stephen M. Kosslyn and Samuel T. Moulton,Mental Imagery and Implicit Memory,2009
WILISA-9,Nick Wiltsher and Bence Nanay,"Imagination, Selves and Knowledge of Self: Pessoa?s Dreams in the Book of Disquiet",2021
ARCAMA-4,Margherita Arcangeli and J\'{e}r\^{o}me Dokic,Affective Memory: A Little Help From Our Imagination,2018
DEBMIA,Dorothea Debus,"Memory, Imagination and Narrative",2013
CASIAR,Edward S. Casey,Imagining and Remembering,1977
OTGWIY,Henry Otgaar and Mark L. Howe and Andrew Clark and Jianqin Wang and Harald Merckelbach,What If You Went to the Police and Accused Your Uncle of Abuse? Misunderstandings Concerning the Benefits of Memory Distortion: A Commentary on Fern\'{a}ndez,2015
DORHOT-3,Fabian Dorsch,Hume on the Imagination,2015
KINIET,Amy Kind,Introduction: Exploring the Limits of Imagination,2022
FONFDM,Glaupy Fontana Ribas,Filosofia da Mem\'{o}ria: Problemas e Debates Acerca da Mem\'{o}ria Epis\'{o}dica,2020
GRESMA-5,Dominic Gregory,Sensory Memories and Recollective Images,2018
KINMIA-3,Amy Kind,"Memory, Imagination, and Skill",2022
RIBTCD,Glaupy Fontana Ribas,Teoria Causal da Mem\'{o}ria: Uma Introdu\c{c}~{a}o Em Filosofia da Mem\'{o}ria,2021
OWEFEI,Owen Holland and Hugo Gravato Marques,Functional Embodied Imagination and Episodic Memory,2010
MICADM,Kourken Michaelian,Against Discontinuism: Mental Time Travel and Our Knowledge of Past and Future Events,2016
FURMUO,E. J. Furlong,Mr. Urmson on Memory and Imagination,1970
