ID,Author,Title,Year
MEIAFE,Lukas J. Meier and Alice Hein and Klaus Diepold and Alena Buyx,Algorithms for Ethical Decision-Making in the Clinic: A Proof of Concept,2022
CASCAT-8,Guido Cassinadri,Chatgpt and the Technology-Education Tension: Applying Contextual Virtue Epistemology to a Cognitive Artifact,2024
UMBDAF-2,Steven Umbrello and Roman Yampolskiy,Designing Ai for Explainability and Verifiability: A Value Sensitive Design Approach to Avoid Artificial Stupidity in Autonomous Vehicles,2022
BURAAO-11,Christopher Burr and Nello Cristianini and James Ladyman,An Analysis of the Interaction Between Intelligent Software Agents and Human Users,2018
PEZTPT-4,Andr\'{e}s P\'{a}ez,The Pragmatic Turn in Explainable Artificial Intelligence,2019
CRETAL-3,Kathleen Creel and Deborah Hellman,"The Algorithmic Leviathan: Arbitrariness, Fairness, and Opportunity in Algorithmic Decision-Making Systems",2022
UMBBAC,Steven Umbrello,Beneficial Artificial Intelligence Coordination by Means of a Value Sensitive Design Approach,2019
ROBMAA-7,Tom Roberts and Joel Krueger,Musical Agency and Collaboration in the Digital Age,2022
ONEEIW,Elizabeth O'Neill and Michal Klincewicz and Michiel Kemmer,Ethical Issues with Artificial Ethics Assistants,2023
BAULTO-2,"Seth D. Baum and Stuart Armstrong and Timoteus Ekenstedt and Olle H\""{a}ggstr\""{o}m and Robin Hanson and Karin Kuhlemann and Matthijs M. Maas and James D. Miller and Markus Salmela and Anders Sandberg and Kaj Sotala and Phil Torres and Alexey Turchin and Roman V. Yampolskiy",Long-Term Trajectories of Human Civilization,2019
JOERFA,Krueger Joel and Tom Roberts,Real Feeling and Fictional Time in Human-Ai Interactions,2024
StronachForthcoming-LEEJPP,Chad Lee{-}Stronach,Just Probabilities,forthcoming
MILDLA-10,"Rapha\""{e}l Milli\`{e}re",Deep Learning and Synthetic Media,2022
SCHANT-10,Christian Schmauder and Jurgis Karpus and Maximilian Moll and Bahador Bahrami and Ophelia Deroy,Algorithmic Nudging: The Need for an Interdisciplinary Oversight,2023
DALDAS,William D?Alessandro,Deontology and Safe Artificial Intelligence,forthcoming
ARAADA,Ognjen Arandjelovi\'c,"Ai \& Democracy, and the Importance of Asking the Right Questions",2021
CHATRO-56,Berman Chan,The Rise of Artificial Intelligence and the Crisis of Moral Passivity,2020
HEIAFA,Alice Hein and Lukas J. Meier and Alena Buyx and Klaus Diepold,A Fuzzy-Cognitive-Maps Approach to Decision-Making in Medical Ethics,2022
BERUMR,Andrea Berber and Jelena Miji\'c,Understanding Moral Responsibility in Automated Decision-Making: Responsibility Gaps and Strategies to Address Them,2024
SCHQSE,"Eva Schmidt and Maximilian K\""{o}hl and Andreas Sesing{-}Wagenpfeil",Bare Statistical Evidence and the Legitimacy of Software-Based Judicial Decisions,2023
SHAPPP-6,Nathaniel Sharadin,Personalized Patient Preference Predictors Are Neither Technically Feasible nor Ethically Desirable,2024
PEPMMB,Jessica Pepp and Rachel Sterken and Matthew McKeever and Eliot Michaelson,Manipulative Machines (1st edition),2022
BISSSS,Piercosma Bisconti and Andrew McIntyre and Federica Russo,Synthetic Socio-Technical Systems: Poi\^{e}sis as Meaning Making,2024
BLAPTI-5,Jack Black and Jim Cherrington,Posthuman to Inhuman: Mhealth Technologies and the Digital Health Assemblage,2022
MACACG,James Maclaurin and John Danaher and John Zerilli and Colin Gavaghan and Alistair Knott and Joy Liddicoat and Merel Noorman,\emph{A Citizen's Guide to Artificial Intelligence},2021
STUEDN-2,Michael T. Stuart,"The Future Won?T Be Pretty: The Nature and Value of Ugly, Ai-Designed Experiments",2023
CHAACD-7,Marc Champagne and Ryan Tonkens,A Comparative Defense of Self-Initiated Prospective Moral Answerability for Autonomous Robot Harm,2023
HATTFD-2,Joshua Hatherley and Anne Kinderlerer and Jens Christian Bjerring and Lauritz Munch and Lynsey Threlfall,The Fhj Debate: Will Artificial Intelligence Replace Clinical Decision-Making Within Our Lifetimes?,2024
NIEABI,Katharina Nieswandt,"Automation, Basic Income and Merit",2021
CLAPOT-16,Graham Clay and Caleb Ontiveros,"Philosophers Ought to Develop, Theorize About, and Use Philosophically Relevant Ai",2023
GRICB,Jumbly Grindrod,Computational Beliefs,2019
ARIAAT-6,Emanuele Arielli and Lev Manovich,Ai-Aesthetics and the Anthropocentric Myth of Creativity,2022
BRUWTD-3,James Brusseau,What to Do When Privacy is Gone,2019
HUGAAP-2,James Hughes,Algorithms and Posthuman Governance,2017
KNERGA,Markus Kneer and Markus Christen,"Responsibility Gaps and Retributive Dispositions: Evidence From the Us, Japan and Germany",manuscript
YAMOCO,Roman Yampolskiy,On Controllability of Artificial Intelligence,2016
KLIAWS-3,Michal Klincewicz,"Autonomous Weapon Systems, Asymmetrical Warfare, and Myth",2018
BARPET-2,Carlos Barth,\'E Poss\'{i}vel Evitar Vieses Algor\'{i}tmicos? (1st edition),2021
VIISFO,Auli Viidalepp,Sociocommunicative Functions of a Generative Text: The Case of Gpt-3,2022
FORMAA-5,Paul Formosa and Wendy Rogers and Yannick Griep and Sarah Bankins and Deborah Richards,Medical Ai and Human Dignity: Contrasting Perceptions of Human and Artificially Intelligent (Ai) Decision Making in Diagnostic and Medical Resource Allocation Contexts,2022
BRUEOI,James Brusseau,Ethics of Identity in the Time of Big Data,2019
PACDWL,Andrea Pace Giannotta,"Digital World, Lifeworld, and the Phenomenology of Corporeality",2019
EFI-2,Albert Efimov,\CYRT\cyre\cyrh\cyrn\cyro\cyrl\cyro\cyrg\cyri\cyrch\cyre\cyrs\cyrk\cyri\cyre \CYRP\cyrr\cyre\cyrd\cyrp\cyro\cyrs\cyrery\cyrl\cyrk\cyri \CYRN\cyre\cyrr\cyra\cyrz\cyrl\cyri\cyrch\cyri\cyrm\cyro\cyrs\cyrt\cyri \CYRCH\cyre\cyrl\cyro\cyrv\cyre\cyrk\cyra \CYRI \CYRE\cyrg\cyro \CYRK\cyro\cyrm\cyrp\cyrsftsn\cyryu\cyrt\cyre\cyrr\cyrn\cyro\cyrishrt \CYRI\cyrm\cyri\cyrt\cyra\cyrc\cyri\cyri,2019
UMBAW,Steven Umbrello,Ai Winter,2021
BARTHO-26,Evandro Barbosa and Tha\'{i}s Alves Costa,"The Heart of an Ai: Agency, Moral Sense, and Friendship. (1st edition)",2024
