ID,Author,Title,Year
BERIW-3,Francesco Berto and Mark Jago,Impossible Worlds,2019
JAGTI,Mark Jago,The Impossible: An Essay on Hyperintensionality,2014
PRITLO,Graham Priest,The Logic of Paradox,1979
BERWOC,Berto Francesco and David Ripley and Graham Priest and Rohan French,Williamson on Counterpossibles,2018
BERIWA-4,Francesco Berto,Impossible Worlds and the Logic of Imagination,2017
BERIW,Francesco Berto,Impossible Worlds,2013
DANIWA,Daniel Nolan,Impossible Worlds: A Modest Approach,1997
BROROC-3,Berit Brogaard and Joe Salerno,Remarks on Counterpossibles,2013
BERTIF-4,Francesco Berto and Christopher Badura,"Truth in Fiction, Impossible Worlds, and Belief Revision",2019
NOLHM,Daniel Nolan,Hyperintensional Metaphysics,2014
BERH-17,Francesco Berto and Daniel Nolan,Hyperintensionality,2021
BERIW-2,Franz Berto and Mark Jago,Impossible Worlds,2013
BEREAA-2,Francesco Berto,Existence as a Real Property: The Ontology of Meinongianism,2012
BEROI-3,Sara Bernstein,Omission Impossible,2016
YAGWAI,Takashi Yagisawa,"Worlds and Individuals, Possible and Otherwise",2010
PRITTI-2,Graham Priest,Thinking the Impossible,2016
SANTKO-3,Alexander Sandgren and Koji Tanaka,Two Kinds of Logical Impossibility,2020
WILLCD-8,Timothy Luke Williamson and Alexander Sandgren,Law-Abiding Causal Decision Theory,2023
MELSSA-4,Guido Melchior,"Sensitivity, Safety, and Impossible Worlds",2021
NOLIW,Daniel Nolan,Impossible Worlds,2013
BERMMA,Francesco Berto,Modal Meinongianism and Fiction: The Best of Three Worlds,2011
BERIWA,Francesco Berto,Impossible Worlds and Propositions: Against the Parity Thesis,2010
KOCC-5,Alexander W. Kocurek,Counterpossibles,2021
BEROCT,Francesco Berto,On Conceiving the Inconsistent,2014
BJEOC-2,Jens Christian Bjerring,On Counterpossibles,2013
BJEGP,Jens Christian Bjerring and Wolfgang Schwarz,Granularity Problems,2017
HINIPW,Jaakko Hintikka,Impossible Possible Worlds Vindicated,1975
BOHMTB,Einar Duenger Bohn,Must There Be a Top Level?,2009
JAGIW,Mark Jago,Impossible Worlds,2013
HARCML-4,Robert J. Hartman,Constitutive Moral Luck and Strawson's Argument for the Impossibility of Moral Responsibility,2018
YAGBPW,Takashi Yagisawa,Beyond Possible Worlds,1988
FRECC-5,Rohan French and Patrick Girard and David Ripley,Classical Counterpossibles,2022
LAACAS,David Vander Laan,Counterpossibles and Similarity,2004
JAGLIA,Mark Jago,Logical Information and Epistemic Space,2009
BJEIWA,Jens Christian Bjerring,Impossible Worlds and Logical Omniscience: An Impossibility Result,2013
RESWTC,Greg Restall,Ways Things Can't Be,1997
TORSOE,Alessandro Torza,Speaking of Essence,2015
KOCOTS-2,Alexander W. Kocurek,On the Substitution of Identicals in Counterfactual Reasoning,2020
EDWWAO,Edwin D. Mares,Who's Afraid of Impossible Worlds?,1997
TANLIW-2,Koji Tanaka,Logically Impossible Worlds,2018
BHONOA,Harjit Bhogal,Necessities Overboard: A Reply to Lange,forthcoming
KOCLT,Alexander W. Kocurek,Logic Talk,2021
SKIFTS,Lukas Skiba,"Fictionalism, the Safety Result and Counterpossibles",2019
NOLCCA-2,Daniel Nolan,Causal Counterfactuals and Impossible Worlds,2017
BERMMF,Francesco Berto,Modal Meinongianism for Fictional Objects,2008
NOLCAC-2,Daniel Nolan,Conditionals and Curry,2016
WEBAPM,Z. Weber,A Paraconsistent Model of Vagueness,2010
PRILOP,Graham Priest,Logic of Paradox Revisited,1984
JAGAYM,Mark Jago,Against Yagisawa's Modal Realism,2013
ZALACT,Edward N. Zalta,A Classically-Based Theory of Impossible Worlds,1997
VANTOO,David A. Vander Laan,The Ontology of Impossible Worlds,1997
KIORIW,Ira Georgia Kiourti,Real Impossible Worlds : The Bounds of Possibility,2010
ZAGWIT,Linda Zagzebski,What If the Impossible Had Been Actual,1990
HAREQM-2,Jacqueline Harding,Everettian Quantum Mechanics and the Metaphysics of Modality,2021
KRAWAI,Barak Krakauer,What Are Impossible Worlds?,2013
EMEIWA-2,Nina Emery and Christopher S. Hill,Impossible Worlds and Metaphysical Explanation: Comments on Kment?s Modality and Explanatory Reasoning,2017
BJEPIE-2,Jens Christian Bjerring,Problems in Epistemic Space,2012
NOLCCA-4,Daniel Nolan,"Counterpossibles, Consequence and Context",forthcoming
NOLACR-2,Daniel Nolan,A Consistent Reading of Sylvan's Box,2007
ARSTPO-2,Aran Arslan,The Problem of Communication in de Se Thoughts,manuscript
GOOAEL,Jeffrey Goodman,An Extended Lewis-Stalnaker Semantics and the New Problem of Counterpossibles,2004
NOLPAI,Daniel Nolan,Personification and Impossible Fictions,2015
WILTCA-41,Isaac Wilhelm,The Counteridentical Account of Explanatory Identities,2021
SALAMV,Nathan Salm\'{o}n,Alethic Modalities,forthcoming
VARIWC,Achille C. Varzi,Inconsistency Without Contradiction,1997
LISPCC,Christian List,Probabilistically Coherent Credences Despite Opacity,2024
MUGTQC,Joshua Mugg,The Quietest Challenge to the Axiology of God: A Cognitive Approach to Counterpossibles,2016
SALIW,Nathan Salmon,Impossible Worlds,1984
NOLIFP-2,Daniel Nolan,"Impossible Fiction Part Ii: Lessons for Mind, Language and Epistemology",2021
JESI-2,Marie Du\v{z}'i and Bj\o{}rn Jespersen,Introduction,2015
STEYSC,Stephen Steward,Ya Shouldn?Ta Couldn?Ta Wouldn?Ta,2015
JAGCW,Mark Jago,Constructing Worlds,2012
DANIAI,Daniel Nolan,Impossibility and Impossible Worlds,2018
SILWTS-2,Francisca Silva,What the States of Truthmaker Semantics Could (Not) Be,forthcoming
BARCOO-2,Sam Baron,Counterfactuals of Ontological Dependence,2022
MCDPIA-2,Kris McDaniel,Propositions: Individuation and Invirtuation,2015
