ID,Author,Title,Year
LAKCAT,Imre Lakatos and Alan Musgrave,Criticism and the Growth of Knowledge,1970
LAKTMO,Imre Lakatos,The Methodology of Scientific Research Programmes,1978
POPFAT,Imre Lakatos,Falsification and the Methodology of Scientific Research Programmes,1970
Smith1981-NEWTRO-15,W. Newton{-}Smith,The Rationality of Science,1981
ZALAOA,Edward N. Zalta,Abstract Objects: An Introduction to Axiomatic Metaphysics,1983
LAKHOS,Imre Lakatos,History of Science and its Rational Reconstructions,1971
LAKPAR-4,I. Lakatos,Proofs and Refutations (Iv),1963
LAKCAT-2,Imre Lakatos,Criticism and the Methodology of Scientific Research Programmes,1969
LAKFAT-2,Imre Lakatos,Falsificationism and the Methodology of Scientific Research Programs' in I. Lakatos and A. Musgrave,1970
LAKPP,Imre Lakatos,Philosophical Papers,1978
LAKPAR,Imre Lakatos,Proofs and Refutations (I),1963
MUSLVH,Alan Musgrave,Logical Versus Historical Theories of Confirmation,1974
LAKPAR-3,Imre Lakatos,Proofs and Refutations (Iii),1963
LAKPAR-2,Imre Lakatos,Proofs and Refutations (Ii),1963
STOPAA,David Charles Stove,Popper and After: Four Modern Irrationalists,1982
LAKMSA,Imre Lakatos,"Mathematics, Science, and Epistemology",1978
MAXACO,Nicholas Maxwell,A Critique of Popper's Views on Scientific Method,1972
LARLAI-3,Brendan Larvor,Lakatos: An Introduction,1998
GIEPOS,Ronald N. Giere,Philosophy of Science Naturalized,1985
MERAPA-2,David Merritt,A Philosophical Approach to Mond: Assessing the Milgromian Research Program in Cosmology,2020
MAYNEA,Deborah G. Mayo,Novel Evidence and Severe Tests,1991
LEWTPA-5,Michael Lewin,Transcendental Philosophy as a Scientific Research Programme,2021
KUHROM-2,T. Kuhn,"Reflections on My Critics in I. Lakatos \& A. Musgrove, Eds",1970
LAKFAA,Imre Lakatos and Paul Feyerabend and Matteo Motterlini,For and Against Method: Including Lakatos's Lectures on Scientific Method and the Lakatos-Feyerabend Correspondence,1999
LAKARO,Imre Lakatos,A Renaissance of Empiricism in the Recent Philosophy of Mathematics,1976
KOELPO,T. Koetsier,Lakatos' Philosophy of Mathematics: A Historical Approach,1991
KADILA-2,John David Kadvany,Imre Lakatos and the Guises of Reason,2001
WERJDI,Charlotte Werndl,Justifying Definitions in Mathematics--Going Beyond Lakatos,2009
LAKTPO,Imre Lakatos,The Problem of Inductive Logic,1968
LAKFAT,Lakatos Imre,Falsification and the Methodology of Scientific Research Programmes,1970
LAKPIT-2,Imre Lakatos,Problems in the Philosophy of Mathematics,1967
KUHNOL,Thomas S. Kuhn,Notes on Lakatos,1970
MAXPKL-3,Nicholas Maxwell,"Popper, Kuhn, Lakatos, and Aim-Oriented Empiricism",2005
ZAHLOD,Elie Zahar,Logic of Discovery or Psychology of Invention?,1983
CUSMAM,James T. Cushing,Models and Methodologies in Current Theoretical High-Energy Physics,1982
GROTGO,Emily Grosholz and Herbert Breger,The Growth of Mathematical Knowledge,2000
NANIHV,Bence Nanay,Internal History Versus External History,2017
