ID,Author,Title,Year
PAWIDO,Timothy Pawl,In Defense of Conciliar Christology: A Philosophical Essay,2016
MULTEO-12,R. T. Mullins,The End of the Timeless God,2016
HAUAOP,Christopher Hauser,"Aquinas on Persons, Psychological Subjects, and the Coherence of the Incarnation",2022
MORTLO-12,Thomas V. Morris,The Logic of God Incarnate,1986
PAWIDO-3,Timothy Pawl,In Defense of Extended Conciliar Christology: A Philosophical Essay,2019
ADACAH-3,Marilyn McCord Adams,Christ and Horrors: The Coherence of Christology,2006
SIJTNO,Joshua Sijuwade,The Necessity of an Incarnate Prophet,2023
Drummond2010-DEACAE-2,Celia Deane{-}Drummond,Christ and Evolution: Wonder and Wisdom,2010
PAWAST,Timothy Pawl,A Solution to the Fundamental Philosophical Problem of Christology,2014
LEFATG,Brian Leftow,A Timeless God Incarnate,2002
ARCAIM,James Arcadi,An Incarnational Model of the Eucharist,2018
CROTI,Richard Cross,The Incarnation,2008
ANDPIC-2,James Anderson,"Paradox in Christian Theology: An Analysis of its Presence, Character, and Epistemic Status",2007
HAUOBH,Christopher Hauser,On Being Human and Divine: The Coherence of the Incarnation,2020
CROTMO-8,Richard Cross,The Metaphysics of the Incarnation: Thomas Aquinas to Duns Scotus,2005
RICTBC,Jonathan J. Loose and Angus John Louis Menuge and J. P. Moreland,The Blackwell Companion to Substance Dualism,2018
ADACAH-2,Unknown,Christ and Horrors: The Coherence of Christology,2008
BEAANQ-2,Jc Beall and Jared Henderson,A Neglected Qua Solution to the Fundamental Problem of Christology,2019
SIJOTM,Joshua R. Sijuwade,On the Metaphysics of the Incarnation,2024
ANDBQT,Jacob Joseph Andrews and Robert A. Andrews,"Bringing ""the True Meaning of the Lord of Heaven? to Unreached People",2024
SENTCA-3,Thomas D. Senor,The Compositional Account of the Incarnation,2007
BANTNP-5,John Bannan,The New Philosophy of Superdeterminism and Catholicism,manuscript
LEPIAT-2,Robin Le Poidevin,Identity and the Composite Christ: An Incarnational Dilemma: Robin le Poidevin,2009
SWIWJG,Leslie Houlden,Was Jesus God?,2010
NEVAOT,Turner C. Nevitt,Aquinas on the Death of Christ: A New Argument for Corruptionism,2016
KyleForthcoming-WILDFA-8,Christopher Willard{-}Kyle,Divine Forgetting and Perfect Being Theology,forthcoming
RUBIDO-5,Daniel Rubio,In Defense of Qua-Christology,forthcoming
FREHNP-2,Alfred J. Freddoso,"Human Nature, Potency and the Incarnation",1986
PAWCCA-2,Timothy Pawl,"Conciliar Christology and the Consistency of Divine Immutability with a Mutable, Incarnate God",2018
FLISCP,Thomas Flint,Should Concretists Part with Mereological Models of the Incarnation?,2011
PAWETA,Timothy Pawl,Explosive Theology: A Reply to Jc Beall?s ?Christ ? a Contradiction?,2019
HICTMO-5,John Hick and C. F. D. Moule and Christopher Stead,The Myth of God Incarnate,1977
PAWTMI,Timothy Pawl,Thomistic Multiple Incarnations,2014
PAWCCA,Timothy Pawl,Conciliar Christology and the Problem of Incompatible Predications,2015
REAHAT,Michael Rea,Hylomorphism and the Incarnation,2011
PAWFAT,Timothy Pawl and Kevin Timpe,Freedom and the Incarnation,2016
FLIADH-2,Thomas P. Flint,A Death He Freely Accepted,2001
AYATII,Andres Ayala,The Incarnation in Hegel?s Phenomenology of Spirit and Lectures on the Philosophy of Religion,2021
MARTMO-13,Anna Marmodoro and Jonathan Hill,The Metaphysics of the Incarnation,2011
MARCMO-4,Anna Marmodoro,Composition Models of the Incarnation: Unity and Unifying Relations: Anna Marmodoro \& Jonathan Hill,2010
BAYTIM,Tim Bayne,The Inclusion Model of the Incarnation: Problems and Prospects,2001
BABTRP,H. E. Baber,The Real Presence,2013
PAWTIA-2,Timothy Pawl,Temporary Intrinsics and Christological Predication,2008
SIJOTM-2,Joshua Sijuwade,On the Metaphysics of the Incarnation Talk (Logos Institute of Analytic and Exegetical Theology),manuscript
CRICCW,Oliver Crisp,Compositional Christology Without Nestorianism,2011
LEFTGI,Brian Leftow,Tempting God,2014
LOKOTC-2,Andrew Loke,On the Coherence of the Incarnation: The Divine Preconscious Model,2009
HICTMO-3,John Hick,The Metaphor of God Incarnate,1996
MORTMO-24,Thomas V. Morris,The Metaphysics of God Incarnate',1989
MARCMO-2,Anna Marmodoro,Composition Models of the Incarnation: Unity and Unifying Relations,2010
PAWTIA-4,Timothy Pawl,Temporary Intrinsics and Christological Predication,2016
SIJACC,Joshua R. Sijuwade,A (Cross-Count) Compositional Christology,2023
LAWEMA-3,Stephen Law,"Evidence, Miracles, and the Existence of Jesus",2011
CAVNNT,Robert Greg Cavin and Carlos A. Colombetti,"Negative Natural Theology and the Sinlessness, Incarnation, and Resurrection of Jesus",2014
EBEWIT-2,Sean Ebels Duggan,What is the Aim of (Contradictory) Christology?,2023
MERTWM,Trenton Merricks,"The Word Made Flesh: Dualism, Physicalism, and the Incarnation",2007
KASTGO,Walter Kasper,The God of Jesus Christ,1984
WARBTD,Graham Ward,Bodies: The Displaced Body of Jesus Christ,1999
REAORI-3,Michael C. Rea,"Oxford Readings in Philosophical Theology: Volume 1: Trinity, Incarnation, and Atonement",2009
LEPIAT,Robin le Poidevin,Identity and the Composite Christ: An Incarnational Dilemma,2009
PAWTFO-3,Timothy Pawl,The Freedom of Christ and the Problem of Deliberation,2014
PAWCIE,Timothy Pawl and Mark K. Spencer,"Christologically Inspired, Empirically Motivated Hylomorphism",2016
MELCSS,Yitzhak Y. Melamed,"??Christus Secundum Spiritum?: Spinoza, Jesus, and the Infinite Intellect?",2012
VANMSS,Luke Van Horn,Merricks?s Soulless Savior,2010
PAWTMI-2,Timothy Pawl,Thomistic Multiple Incarnations,2016
SMISAT-4,James K. A. Smith,Speech and Theology: Language and the Logic of Incarnation,2002
DAVTI-3,Stephen T. Davis and Daniel Kendall and Gerald O'Collins,The Incarnation,2002
GAVTRO-2,Paul L. Gavrilyuk,The Retrieval of Deification: How a Once-Despised Archaism Became an Ecumenical Desideratum,2009
FEERKC,Ronald J. Feenstra,Reconsidering Kenotic Christology,1989
SWITCO-6,Richard Swinburne,The Coherence of the Chalcedonian Definition of the Incarnation,2011
LEFCAC,Brian Leftow,Composition and Christology,2011
SENDOM,Thomas Senor,Drawing on Many Traditions: An Ecumenical Kenotic Christology,2011
FLIOAI,Thomas P. Flint,Orthodoxy and Incarnation: A Reply to Mullins,2016
PETAAA-6,Ted Peters,Astrobiology and Astrochristology,2016
GORI-4,Michael Gorman,Incarnation,2011
PAWTI,Timothy J. Pawl,The Incarnation,2020
ROGTIA,Katherin A. Rogers,The Incarnation as Action Composite,2013
SCHJAE,Edward Schillebeeckx and Hubert Hoskins,Jesus: An Experiment in Christology,1979
BURLJC,Delbert Burkett and Larry W. Hurtado,Lord Jesus Christ: Devotion to Jesus in Earliest Christianity,2004
SENGSK,Thomas D. Senor,"God, Supernatural Kinds, and the Incarnation",1991
HAUSTA-2,Christopher Hauser,St. Thomas Aquinas's Concept of a Person,2022
RAEKVO,Murray Rae,Kierkegaard's Vision of the Incarnation: By Faith Transformed,1997
WOOGAB-2,Jaeha Woo,God as Both Hierarchical and Egalitarian: A Kierkegaardian Proposal Based on \emph{Philosophical Fragments},2024
JAEMWF,Andrew J. Jaeger and Jeremy Sienkiewicz,Matter Without Form: The Ontological Status of Christ's Dead Body,2018
MURPAC,Michael Murray,Philosophy and Christian Theology,2008
MULFMA-3,R. T. Mullins,Flint?s ?Molinism and the Incarnation? is Still Too Radical -- a Rejoinder to Flint,2017
SCHMAC-6,Jonael Schickler,Metaphysics as Christology. An Odyssey of the Self From Kant and Hegel to Steiner,2007
GORCAC-2,Michael Gorman,Christ as Composite According to Aquinas,2000
POIIMI,Robin Le Poidevin,Incarnation: Metaphysical Issues,2009
Drummond2012-DEACAE,Celia Deane{-}Drummond,Christ and Evolution: A Drama of Wisdom?1,2012
DJAB,Aleksandar Djakovac,"?\ensuremath{\rho}?\ensuremath{\pi}?\ensuremath{\varsigma} ?\ensuremath{\pi}?\ensuremath{\rho}\ensuremath{\xi}\ensuremath{\epsilon}\ensuremath{\omega}\ensuremath{\varsigma} Bei den Kappadokischen V\""{a}tern Und Bei St. Maximus Confessor",2017
WILAPF-4,C. J. F. Williams,A Programme for Christology: C. J. F. Williams,1968
SENIAT-2,Thomas D. Senor,Incarnation and Timelessness,1990
PRIFUA,A. N. Prior,"Faith, Unbelief and Evil: A Fragment of a Dialogue",2012
WILAPF-3,C. J. F. Williams,A Programme for Christology,1968
ARCKOC,James M. Arcadi,Kryptic or Cryptic? The Divine Preconscious Model of the Incarnation as a Concrete-Nature Christology,2016
BCKSOT,"Allan B\""{a}ck",Scotus on the Consistency of the Incarnation and the Trinity,1998
FRELOA,Alfred J. Freddoso,"Logic, Ontology and Ockham?s Christology",1983
CROIOA,Richard Cross,"Incarnation, Omnipresence, and Action at a Distance",2003
COAWDC,Sarah Coakley,What Does Chalcedon Solve and What Does It Not?,2002
DAVTMO-21,Stephen Davis,The Metaphysics of Kenosis,2011
WISDRO,Maarten Wisse,Deconstructing Radical Orthodoxy,2008
METTWO,Paul Louis Metzger,The Word of Christ and the World of Culture,2004
DRUWTT,Peter Drum,Were There Two Consciousnesses in Christ?,2010
GREGMA,Niels Henrik Gregersen,"God, Matter, and Information : Towards a Stoicizing Logos Christology",2010
ROGI-3,Katherin A. Rogers,Incarnation,2010
MARCAA-6,Jacqueline Mari\~{n}a,Christology and Anthropology in Friedrich Schleiermacher,2005
WYKNDI,Stephen J. Wykstra,Not Done in a Corner': How to Be a Sensible Evidentialist About Jesus.?,2002
SENTI,Thomas D. Senor,The Incarnation,2007
FLIRBO,Thomas P. Flint,Risky Business: Open Theism and the Incarnation,2004
HICTLO,John Hick,The Logic of God Incarnate,1989
PAWTFO,Timothy Pawl,The Freedom of Christ and Explanatory Priority,2014
OCOTIT,Gerald O'Collins,The Incarnation: The Critical Issues,2002
HORJTC-2,Walter M. Horton and G. Stanley Hall and Georges Berguer and Eleanor Stimson Brooks and Van Wyck Brooks,Jesus the Christ in the Light of Psychology.Some Aspects of the Life of Jesus From Psychological and Psycho- Analytic Point of View,1924
YANAGA,Keith E. Yandell,A Gross and Palpable Contradiction?: Incarnation and Consistency,1994
ADATMO-6,Marilyn McCord Adams,The Metaphysics of the Incarnation in Some Fourteenth-Century Franciscans,1985
SHEHAA-2,Noel Sheth,Hindu Avat\={a}ra and Christian Incarnation: A Comparison,2002
SIEHOI,Donald T. Siebert,Hume on Idolatry and Incarnation,1984
MOSJAP,Paul K. Moser,Jesus and Philosophy: On the Questions We Ask,2005
YANKAE,Eric Yang,Kenoticism and Essential Divine Properties,forthcoming
GOOPTM,Paul W. Gooch,"Paul, the Mind of Christ, and Philosophy",2008
HILMTM,Jonathan Hill,Modeling the Metaphysics of the Incarnation,2008
EDEJIA,F. F. Edet,Jesus in Africa,2008
KIMTOJ,Spencer W. Kimball,Testimony of Jesus Christ Scholarly Books on the New Testament Profiles of the Prophets,2007
LEPKNA,Robin Le Poidevin,"Kenosis, Necessity and Incarnation",2013
DJAPAN,Aleksandar Djakovac,"Person and Nature, Hypostasis and Substance: Philosophical Basis of the Theology of John Philoponus",2016
SENITA,Thomas D. Senor,"Incarnation, Timelessness, and Leibniz's Law Problems",2001
CUCWTI,Alin C. Cucu,Why the Incarnation is Incompatible with an Atemporal Concept of God,manuscript
CUPJP,Don Cupitt,Jesus \& Philosophy,2011
KRAEQH,Jeffrey S. Krause,Essay Questions?the Historical Jesus,2009
YONDTO,Amos Yong,Disability Theology of the Resurrection: Persisting Questions and Additional Considerations ? a Response to Ryan Mullins,2012
SENTIA,Thomas D. Senor,The Incarnation and the Trinity,1999
SENIAT,Thomas D. Senor,Incarnation and Timeless,1990
DESCWT,W. Desmond,?Caesar with the Soul of Christ?: Nietzsche's Highest Impossibility,1999
BUCOTI-2,Andrei A. Buckareff,"Omniscience, the Incarnation, and Knowledge de Se",2012
SMITDM-4,Drew Smith,The Divided Mind Model Defended,2023
DJATUA,Aleksandar Djakovac,The Usage and the Development of the Term Prohairesis From Aristotle to Maximus the Confessor,2015
DANHOW,Daniel P. Horan,How Original Was Scotus on the Incarnation? Reconsidering the History of the Absolute Predestination of Christ in Light of Robert Grosseteste,2011
LORSAP-2,Andrew Loke,Solving a Paradox Against Concrete-Composite Christology : A Modified Hylomorphic Proposal,2011
