ID,Author,Title,Year
VANAEO,Peter Van Inwagen,An Essay on Free Will,1983
KANTSO-10,Robert Kane,The Significance of Free Will,1996
PERLWF-3,Derk Pereboom,Living Without Free Will,2001
MELFWA,Alfred R. Mele,Free Will and Luck,2006
CLALAO-2,Randolph Clarke,Libertarian Accounts of Free Will,2003
FISFVO-2,John Martin Fischer and Robert Kane and Derk Pereboom and Manuel Vargas,Four Views on Free Will,2007
NADSFF,Eddy Nahmias and Stephen Morris and Thomas Nadelhoffer and Jason Turner,Surveying Freedom: Folk Intuitions About Free Will and Moral Responsibility,2005
LEWAWF,David Lewis,Are We Free to Break the Laws?,1981
TURIII,Jason Turner and Eddy Nahmias and Stephen Morris and Thomas Nadelhoffer,Is Incompatibilism Intuitive?,2007
HOBFWA,R. E. Hobart,Free Will as Involving Determination and Inconceivable Without It,1934
KANTOH,Robert Kane,The Oxford Handbook of Free Will,2001
CARFWA-3,Gregg Caruso,Free Will and Consciousness: A Determinist Account of the Illusion of Free Will,2012
EKSFWA,Laura Waddell Ekstrom,Free Will: A Philosophical Study,1999
MELAOA-6,Alfred R. Mele,"Aspects of Agency: Decisions, Abilities, Explanations, and Free Will",2017
FRAAML,Christopher Evan Franklin,A Minimal Libertarianism: Free Will and the Promise of Reduction,2018
INWTIO,Peter Van Inwagen,The Incompatibility of Free Will and Determinism,1975
CLIMEO,Nevin Climenhaga and Daniel Rubio,Molinism: Explaining Our Freedom Away,2022
KANFWA-8,Robert Kane,Free Will and Values,1985
MICI-23,Kristin M. Mickelson,(In)Compatibilism,2023
MUREAI-2,Dylan Murray and Eddy Nahmias,Explaining Away Incompatibilist Intuitions,2014
SORNCA,Richard Sorabji,"Necessity, Cause, and Blame: Perspectives on Aristotle?s Theory",1980
KANACI,Robert Kane,A Contemporary Introduction to Free Will,2005
PERHEN-2,Derk Pereboom and Gregg D. Caruso,"Hard-Incompatibilist Existentialism: Neuroscience, Punishment, and Meaning in Life",2018
PERDAD,Derk Pereboom,Determinism Al Dente,1995
CLAINT,Randolph Clarke and Justin Capes,Incompatibilist (Nondeterministic) Theories of Free Will,2021
MCKFWA,Michael McKenna and Derk Pereboom,Free Will: A Contemporary Introduction,2014
MELFWA-2,Alfred R. Mele,Free Will and Luck: Reply to Critics,2007
CARJDD,Gregg D. Caruso and Daniel C. Dennett,Just Deserts: Debating Free Will,2021
TODMAA-7,Patrick Todd,Manipulation Arguments and the Freedom to Do Otherwise,2017
MCKAHR,Michael Mckenna,A Hard-Line Reply to Pereboom?s Four-Case Manipulation Argument,2008
PERHI,Derk Pereboom,Hard Incompatibilism,2007
BUCFAA,Lara Buchak,Free Acts and Chance: Why the Rollback Argument Fails,2013
SRIWMA,Chandra Sekhar Sripada,What Makes a Manipulated Agent Unfree?,2011
NADNCI,Thomas Nadelhoffer and David Rose and Wesley Buckwalter and Shaun Nichols,"Natural Compatibilism, Indeterminism, and Intrusive Metaphysics",2020
PERDHI,Derk Pereboom,Defending Hard Incompatibilism,2005
TODDAM,Patrick Todd,Defending (a Modified Version of) the Zygote Argument,2013
ADADJA,Adam Feltz and Edward T. Cokely,Do Judgments About Freedom and Responsibility Depend on Who You Are? Personality Differences in Intuitions About Compatibilism and Incompatibilism,2009
MELMCA,Alfred R. Mele,"Manipulation, Compatibilism, and Moral Responsibility",2008
NAHIAF,Eddy Nahmias,"Intuitions About Free Will, Determinism, and Bypassing",2011
INWWIT,Peter van Inwagen,When is the Will Free?,1989
TODANA,Patrick Todd,A New Approach to Manipulation Arguments,2011
INWHTT-2,Peter van Inwagen,How to Think About the Problem of Free Will,2008
