ID,Author,Title,Year
DALLPA-2,Vrinda Dalmiya,Loving Paradoxes: A Feminist Reclamation of the Goddess Kali,2000
HILITG,Alf Hiltebeitel and Kathleen M. Erndl,Is the Goddess a Feminist?: The Politics of South Asian Goddesses,2000
GHADWA-2,Anita Ghai,Disabled Women: An Excluded Agenda of Indian Feminism,2002
POUTFF-2,Lisa M. Poupart,The Familiar Face of Genocide: Internalized Oppression Among American Indians,2003
INTWLA,Kristen Intemann and Emily S. Lee and Kristin McCartney and Shireen Roshanravan and Alexa Schriempf,What Lies Ahead: Envisioning New Futures for Feminist Philosophy,2010
JAKBPW,Marzenna Jakubczak,"Boginie, Prz\k{a}dki, Wied\'{z}my I Tancerki. Wizerunki Kobiety W Kulturze Indii",2005
CHOWLA,Elora Halim Chowdhury,When Love and Violence Meet: Women's Agency and Transformative Politics in Rubaiyat Hossain's \emph{Meherjaan},2015
Steinbach2019-KIRDTV,Monika Kirloskar{-}Steinbach,Dialoguing the Varkari Tradition,2019
Steinbach2018-KIRNII,Monika Kirloskar{-}Steinbach,Negotiating Identity in Colonial India. The Case of Ramabai Mary Dongre Medhavi,2018
WILWIA,Liz Wilson,Who is Authorized to Speak? Katherine Mayo and the Politics of Imperial Feminism in British India,1997
KAPEFT,Ratna Kapur,Emancipatory Feminist Theory in Postcolonial India: Unmasking the Ruse of Liberal Internationalism,2010
MEHWPA,Deepti Priya Mehrotra,Western Philosophy and Indian Feminism: From Plato's Academy to the Streets of Delhi,1998
KELMRI,Meena A. Kelkar,Man-Woman Relationship in Indian Philosophy,1999
CHEFWA,Martha Alter Chen,"Famine, Widowhood, and Paid Work: Seeking Gender Justice in South Asia",2008
KHACGI,Rashida A. Khanum,Contemporary Gender Issues,2012
FRUCPA,Lina Fruzzetti and Sirpa Tenhunen,"Culture, Power, and Agency: Gender in Indian Ethnography",2006
FERLPM-8,Raquel Ferr\'{a}ndez,La Presencia M\'{i}stica de Lalla: Poeta y Yoguini \'{S}iva\'{i}ta Del Siglo Xiv D.C.,2019
SHAC-9,Ursula Sharma,Caste,1999
GEDAP-2,Irene Gedalof,"Against Purity : Identity, Western Feminisms and Indian Complications",
BHAIAA,Swasti Bhattacharyya,Infertility and Assisted Reproductive Technology in a Pluralistic World: A Development and Application of a Hindu Ethic,2002
SPAITI,Emma Spary,"Inventing the Indigenous, by Alix Cooper",2009
Debray1994-BURIRM-3,Elisabeth Burgos{-}Debray and Ann Wright,"I, Rigoberta Mench\'u: An Indian Woman in Guatemala",1994
DEUCOC,Rada Ivekovi\'c,Coincidence of Comparison,2000
CHAFII,Maitrayee Chaudhuri,Feminism in India,2004
GURBRU,Gurleen Grewal,"Book Review: Uma Narayan. Dislocating Cultures: Identities, Traditions, and Third-World Feminism. New York: Routledge, 1997",2001
BALAKC,Sonia Balaram,Aisha Khan. Callaloo Nation: Metaphors of Race and Religious Identity Among South Asians in Trinidad and Viranjini Munasinghe. Callaloo or Tossed Salad?: East Indians and the Cultural Politics of Identity in Trinidad,2011
