ID,Author,Title,Year
KRIDAF,Uriah Kriegel,Dign\={a}ga's Argument for the Awareness Principle: An Analytic Refinement,2019
HANBAR-2,Oren Hanner,Buddhism as Reductionism: Personal Identity and Ethics in Parfitian Readings of Buddhist Philosophy; From Steven Collins to the Present,2018
YAOTBT,Zhihua Yao,The Buddhist Theory of Self-Cognition,2005
KUZPHT,Adrian Kuzminski,Pyrrhonism: How the Ancient Greeks Reinvented Buddhism,2008
HANMAA-7,Oren Hanner,Moral Agency and the Paradox of Self-Interested Concern for the Future in Vasubandhu?s Abhidharmako\'{s}abh\={a}d{s}ya,2018
STOITM-2,Jonathan Stoltz,Illuminating the Mind: An Introduction to Buddhist Epistemology,2021
JOHEPA-3,Monte Ransome Johnson and Brett Shults,Early Pyrrhonism as a Sect of Buddhism? A Case Study in the Methodology of Comparative Philosophy,2018
PERAIT,Roy W. Perrett,An Introduction to Indian Philosophy,2016
RANIAI,Shyam Ranganathan,Idealism and Indian Philosophy,2021
TANISO-3,Koji Tanaka,In Search of the Semantics of Emptiness,2014
SIRSV,Desh Raj Sirswal,"Swami Vivekananda , Indian Youth and Value Education",2014
ANDAIO-4,Joshua Anderson,An Investigation of Moksha in the Advaita Vedanta of Shankara and Gaudapada,2012
DASR-6,Nilanjan Das,\'{S}r\={i}har\d{s}a,2018
MALTCI,Keating Malcolm,The Cow is to Be Tied Up: Sort-Shifting in Classical Indian Philosophy,2013
POPIFM,Elena Popa,Is Future-Oriented Mental Time Travel Inextricably Linked to the Self?,2017
CHATWA,Arindam Chakrabarti,Troubles with a Second Self: The Problem of Other Minds in 11Th Century Indian and 20Th Century Western Philosophy,2011
SARIEW,Sundar Sarukkai,"Indian Experiences with Science: Considerations for History, Philosophy, and Science Education",2014
DELTBN,Krishna Del Toso,The (Bitter) Nectar of the Knowledge of Reality: Madhyamakah\d{r}dayak\={a}rik\=a 3.129Cd-136 and Tarkajv\={a}l\=a on the Unconditioned Entities (Asa\d{m}sk\d{r}ta),2024
BARATD-9,Adam L. Barborich,A Three Dimensional View of Karma in Early Buddhism,2019
BENPUR-3,Vikas Beniwal,Psychotherapy Using Religious Texts,2022
SIMTWA,Plamen L. Simeonov and Arran Gare and Koichiro Matsuno and Abir U. Igamberdiev and Denis Noble,The Western and Eastern Thought Traditions for Exploring the Nature of Mind and Life,2017
SCIBPA,Colette Sciberras,Buddhist Philosophy and the Ideals of Environmentalism,2010
SWAVBA,Swami Narasimhananda,?Vedanta Brain and Islam Body?: Dr a P J Abdul Kalam,2015
WESSME,Jan Westerhoff,"Self, No Self? Perspectives From Analytical, Phenomenological, and Indian Traditions",2012
JAKTPO,Marzenna Jakubczak,The Purpose of Non-Theistic Devotion in the Classical Indian Tradition of S\={a}d{m}khya?Yoga,2014
DEVROI-2,Balaganapathi Devarakonda,Richness of Indian Symbolism and Changing Perspectives,2009
