ID,Author,Title,Year
SCHPOC-8,Eric Schwitzgebel,Perplexities of Consciousness,2011
COLITE-3,Annalisa Coliva and Michele Palmira,Immunity to Error Through Misidentification: Some Trends,forthcoming
BALAAT,Katalin Balog,Acquaintance and the Mind-Body Problem,2012
LEEKWI,Andrew Y. Lee,Knowing What It's Like,2023
SMIIAC-2,Declan Smithies and Daniel Stoljar,Introspection and Consciousness,2012
WEICRA-7,Jonathan Weisberg,"Conditionalization, Reflection, and Self-Knowledge",2007
RORIAT,Richard Rorty,Incorrigibility as the Mark of the Mental,1970
SMIAST-2,Declan Smithies,A Simple Theory of Introspection,2012
BALAP,Katalin Balog,Phenomenal Concepts,2006
ARMIIK-3,D. M. Armstrong,Is Introspective Knowledge Incorrigible?,1963
PAUDAA-2,Elliot Samuel Paul,Descartes?s Anti-Transparency and the Need for Radical Doubt,2018
KHADOS-3,Ali Hossein Khani,Davidson on Self-Knowledge: A Transcendental Explanation,2021
SMIBAS,Declan Smithies,Belief and Self-Knowledge: Lessons From Moore's Paradox,2016
MACPPA-19,Diego E. Machuca,"Pyrrhonism Past and Present: Inquiry, Disagreement, Self-Knowledge, and Rationality",2022
PEAEMA-2,Antonia Peacocke,Embedded Mental Action in Self-Attribution of Belief,2017
COLETM-3,Annalisa Coliva,Error Through Misidentification,2006
JACITA,Frank Jackson,Is There a Good Argument Against the Incorrigibility Thesis?,1973
KNEPAE-3,Markus Kneer,Perspective and Epistemic State Ascriptions,2018
COSWCR,Christian Coseru,Whose Consciousness? Reflexivity and the Problem of Self-Knowledge,2020
Hassan2015-LANIM-3,Peter Langland{-}Hassan,Introspective Misidentification,2015
SCHIOT,Laura Schroeter,Illusion of Transparency,2007
PARSFT-3,T. Parent,Self-Reflection for the Opaque Mind: An Essay in Neo-Sellarsian Philosophy,2017
DUNWIL,Matt Duncan,What It's Like to Have a Cognitive Home,2018
SMIOTU,Declan Smithies,On the Unreliability of Introspection,2013
HOSSAC,Keith Hossack,Self-Knowledge and Consciousness,2002
REIAPR,Hans Reichenbach,Are Phenomenal Reports Absolutely Certain?,1952
KEEBFA,Sophie Keeling,Believing for a Reason is (at Least) Nearly Self-Intimating,2022
SCHSAI-9,John Schwenkler,Self-Knowledge and its Limits,2018
GREDAS,Patrick Greenough,Discrimination and Self-Knowledge,2012
WINHTC-2,Benjamin Winokur,How to Commit to Commissive Self-Knowledge,2024
ECHGAR,Santiago Echeverri,Guarantee and Reflexivity,2020
STOKOP,Daniel Stoljar,Knowledge of Perception,2012
JENMAM,Rasmus Thybo Jensen,Merleau-Ponty and Mcdowell on the Transparency of the Mind,2013
SILIAI,Nicholas Silins,Introspection and Inference,2013
