ID,Author,Title,Year
BUTACT-2,Tim Button and Robert Trueman,Against Cumulative Type Theory,2022
BARILA,Jon Barwise,Infinitary Logic and Admissible Sets,1969
KRIWMU,Bengt Kristensson Uggla,What Makes Us Human? Exploring the Significance of Ricoeur's Ethical Configuration of Personhood Between Naturalism and Phenomenology in Health Care,2022
SEGAME,Krister Segerberg,A Model Existence Theorem in Infinitary Propositional Modal Logic,1994
GLASAI,Michael Glanzberg,Supervenience and Infinitary Logic,2001
BELIL,John L. Bell,Infinitary Logic,2008
MANWBT,David Manley,When Best Theories Go Bad,2009
BARAOS,Jon Barwise,Applications of Strict \ensuremath{\Pi}11 Predicates to Infinitary Logic,1969
KEIBIL,H. Jerome Keisler and Julia F. Knight,Barwise: Infinitary Logic and Admissible Sets,2004
SHESSA,Saharon Shelah and Jouko Vaananen,Stationary Sets and Infinitary Logic,2000
MANTCT,Richard Mansfield,The Completeness Theorem for Infinitary Logic,1972
SANBVS,Juan M. Santiago Su\'{a}rez and Matteo Viale,Boolean Valued Semantics for Infinitary Logics,2024
RADIPN,Slavian Radev,Infinitary Propositional Normal Modal Logic,1987
LYNILA,James Lynch,Infinitary Logics and Very Sparse Random Graphs,1997
PIEHTA,Robert Piercey,How to Appropriate a Text,2021
BRZSUR,Jerzy A. Brzozowski and Ivone Maria Mendes Silva and Janessa Pagnussat,Sou Uma Rede de Narrativas: Aproxima\c{c}~{o}es Entre Paul Ricoeur e Alice Munro,2022
DEWCAR-6,Dries Deweer,Creation and Renunciation in Ricoeur?s Political Ethics of Compromise,2020
KATOPR,William Katerberg,On Paul Ricoeur: The Owl of Minerva,2006
LYTEDU,Esteban Lythgoe,"Esbozos de Una Hermen\'{e}utica Cr\'{i}tica En ""Ideolog\'{i}a y Utop\'{i}a"" de Paul Ricoeur",2021
CARTCO-97,David Carr,The Course of Recognition. Paul Ricoeur. Institute for Human Sciences Vienna Lecture Series,2007
SLOACI,Kenneth Slonneger,A Complete Infinitary Logic,1976
Escobar1971-LOPJBI,E. G. K. Lopez{-}Escobar,"Jon Barwise. Infinitary Logic and Admissible Sets. The Journal of Symbolic Logic, Vol. 34 , Pp. 226?252",1971
SANPOS-3,Tor Sandqvist,Preservation of Structural Properties in Intuitionistic Extensions of an Inference Relation,2018
EMMCLV,Parker Emmerson,Cohesive Logic Vectors,manuscript
Soto1990-GARSEE-8,Gabriel Gardu\~{n}o{-}Soto and David Ren\'e Thierry Garc\'{i}a and Rafael Vidal Uribe and Hugo Padilla Chac\'{o}n,Sistema Experto En Deducci\'{o}n Dentro de la L\'{o}gica Normal Trivalente,1990
EMMCAA,Parker Emmerson,Chaos and Authaumatronics,2024
CUTRJB,N. J. Cutland,"Review: Jon Barwise, Applications of Strict \$Pi\^{ }1\_1\$ Predicates to Infinitary Logic",1974
UMBMLP,Lu\'{i}s Ant\'{o}nio Umbelino,"Maria Lu\'{i}sa Portocarrero, Testemunho, Atesta\c{c}~{a}o e Conflito. Balizas da Antropologia Hermen\^{e}utica de Paul Ricoeur (Coimbra: Imprensa da Universidade de Coimbra, 2021). 427 Pp. Isbn: 978?989?26?2094?7",2022
Escobar1971-LOPRJB,E. G. K. Lopez{-}Escobar,"Review: Jon Barwise, Infinitary Logic and Admissible Sets",1971
RIBFHF-2,Maria Lu\'{i}sa Ribeiro Ferreira,"Fernanda Henriques, Filosofia e Literatura. Um Percurso Hermen\^{e}utico Com Paul Ricoeur",2006
