ID,Author,Title,Year
SOBEAE-3,Elliott Sober,Evidence and Evolution: The Logic Behind the Science,2008
DEMNFL,William A. Dembski,No Free Lunch: Why Specified Complexity Cannot Be Purchased Without Intelligence,2002
DESTCO-16,Johan De Smedt and Helen De Cruz,The Challenge of Evolution to Religion,2020
PIGNOS,Massimo Pigliucci,Nonsense on Stilts: How to Tell Science From Bunk,2010
GINLIE-2,Santiago Ginnobili,La Inconmensurabilidad Emp\'{i}rica Entre la Teor\'{i}a de la Selecci\'{o}n Natural Darwiniana y El Dise\~{n}o Inteligente de la Teolog\'{i}a Natural,2014
SARDDC,Sahotra Sarkar,Doubting Darwin: Creationist Designs in Evolution,2007
PENIDC,Robert T. Pennock,"Intelligent Design Creationism and its Critics: Philosophical, Theological, and Scientifc Perspectives",2001
SOBWIW,Elliott Sober,What is Wrong with Intelligent Design?,2007
SOBIDA,Elliott Sober,Intelligent Design and Probability Reasoning,2002
TURIMA,A. M. Turing,"Intelligent Machinery, a Heretical Theory",1996
GRAIDA-4,Peter J. Graham,Intelligent Design and Selective History: Two Sources of Purpose and Plan,2011
MANGAD,Neil A. Manson,God and Design: The Teleological Argument and Modern Science,2003
MONSGI,Bradley Monton,Seeking God in Science: An Atheist Defends Intelligent Design,2011
DEMID,William A. Dembski,Intelligent Design: The Bridge Between Science and Theology,2002
NAGPEA,Thomas Nagel,Public Education and Intelligent Design,2008
DEMTDR,William Dembski,The Design Revolution: Answering the Toughest Questions About Intelligent Design,manuscript
WEIANO-11,Jonathan Weisberg,A Note on Design: What's Fine-Tuning Got to Do with It?,2010
KOPTBW,Jeffrey Koperski,Two Bad Ways to Attack Intelligent Design and Two Good Ones,2008
MALDCI-3,Shoaib Ahmed Malik and Hamza Karamali and Moamer Yahia Ali Khalayleh,Does Criticizing Intelligent Design (Id) Undermine Design Discourse in the Qur?\={a}n? A Kal\={a}mic Response,2022
RUSMNU,Michael Ruse,Methodological Naturalism Under Attack,2005
HELPIT,Helen De Cruz and Johan De Smedt,Paley's Ipod: The Cognitive Basis of the Design Argument Within Natural Theology,2010
FITHNT-3,Branden Fitelson and Christopher Stephens and Elliott Sober,How Not to Detect Designthe Design Inference. William A. Dembski,1999
PERUD,Mark Perakh,Unintelligent Design,2004
BRIIDA,Ingo Brigandt,Intelligent Design and the Nature of Science: Philosophical and Pedagogical Points,2013
PENTPS-3,Robert T. Pennock,The Postmodern Sin of Intelligent Design Creationism,2010
