ID,Author,Title,Year
PUTRTA-4,Hilary Putnam,"Reason, Truth and History",1981
CARESA,Rudolf Carnap,"Empiricism, Semantics and Ontology",1950
PUTRAR-2,Hilary Putnam,Realism and Reason,1983
PUTRWA,Hilary Putnam,Realism with a Human Face,1990
PUTMAT-6,Hilary Putnam,Meaning and the Moral Sciences,1978
PUTTMF,Hilary Putnam,The Many Faces of Realism,1987
PUTMAR,Hilary Putnam,Models and Reality,1980
PUTIWN,Hilary Putnam,Is Water Necessarily H2O,1983
PUTRAR-5,Hilary Putnam,Realism and Reason,1977
PUTRP-4,Hilary Putnam,Renewing Philosophy,1992
ELIQVA,Eli Hirsch,Quantifier Variance and Realism,2002
FINTNO-3,Arthur I. Fine,The Natural Ontological Attitude,1984
PUTSNA,Hilary Putnam,"Sense, Nonsense, and the Senses: An Inquiry Into the Powers of the Human Mind",1994
BUTTLO-6,Tim Button,The Limits of Realism,2013
BUTMIR,Tim Button,Mathematical Internal Realism,2022
PUTWRC,Hilary Putnam,Why Reason Can't Be Naturalized,1983
PUTWTI,Hilary Putnam,Why There Isn't a Ready-Made World,1982
RORPAT-6,Richard Rorty,Putnam and the Relativist Menace,1993
PUTTAC,Hilary Putnam,Truth and Convention: On Davidson's Refutation of Conceptual Relativism,1987
PUTACO,Hilary Putnam,A Comparison of Something with Something Else,1985
SOSPPR-3,Ernest Sosa,Putnam's Pragmatic Realism,1993
FINANA,Arthur Fine,And Not Anti-Realism Either,1984
MCDPOM,John McDowell,Putnam on Mind and Meaning,1992
BENSAT-18,Paul Benacerraf and Crispin Wright,Skolem and the Skeptic,1985
DEVRAT,Michael Devitt,Realism and the Renegade Putnam: A Critical Study of Meaning and the Moral Sciences,1983
VANPPM,Bas C. Van Fraassen,Putnam's Paradox: Metaphysical Realism Revamped and Evaded,1997
HORMRA-2,Terence Horgan,Metaphysical Realism and Psychologistic Semantics,1991
WRITAS-6,Crispin Wright,Truth as Sort of Epistemic: Putnam?s Peregrinations,2000
TAYMTA,Barry Taylor,"Models, Truth, and Realism",2006
PUTCAR,Hilary Putnam,Comments and Replies,1994
HORCRA,Terry Horgan and Mark Timmons,Conceptual Relativity and Metaphysical Realism,2002
BUTDRA,Tim Button,Dadaism: Restrictivism as Militant Quietism,2010
PUTMTA,Hilary Putnam,Model Theory and the 'Factuality' of Semantics,1989
PUTRV,Hilary Putnam,Replies,1992
HALPMA-2,Bob Hale and Crispin Wright,Putnam's Model-Theoretic Argument Against Metaphysical Realism,1997
TYMIDO,Thomas Tymoczko,In Defense of Putnam?s Brains,1989
GLYCSO,Clark Glymour,Conceptual Scheming or Confessions of a Metaphysical Realist,1982
PUTTQO,Hilary Putnam,The Question of Realism,1991
DEVAOT,Michael Devitt,Aberrations of the Realism Debate,1991
MILMRA-6,J. T. M. Miller,Metaphysical Realism and Anti-Realism,2022
PUTADO-2,Hilary Putnam,A Defense of Internal Realism,1982
HARIRA,Victoria S. Harrison,Internal Realism and the Problem of Religious Diversity,2006
PUTPAH,H. Putnam,Philosophers and Human Understanding,1981
BAGRP,Maria Baghramian,Reading Putnam,2012
CHAHPA-2,Sanjit Chakraborty,Hilary Putnam: An Era of Philosophy has Ended,2017
WEIEAI,Mark Weinstein,Exemplifying an Internal Realist Model of Truth,2002
Smith1989-NEWTTI,W. H. Newton{-}Smith,The Truth in Realism,1989
BUTBIV,Tim Button,Brains in Vats and Model Theory,2015
MORHPA,Dermot Moran,Hilary Putnam and Immanuel Kant: Two ?Internal Realists'?,2000
EBBRAR-2,Gary Ebbs,Realism and Rational Inquiry,1992
PUTTCF,Hilary Putnam,The Craving for Objectivity,1984
LUDDIS,David Ludwig,Disagreement in Scientific Ontologies,2013
HILITC-2,Hilary Putnam,Is the Causal Structure of the Physical Itself Something Physical?,1984
BLAEV,Simon Blackburn,Enchanting Views,1994
PUTWIA,Hilary Putnam,Why is a Philosopher?,1983
VANPPM-2,Bc van Fraassen,Putnam's Paradox: Metaphysical Realism Revamped and Evaded: Language and World: Realism and Intentionality,1997
