ID,Author,Title,Year
KOCVDA,Alexander W. Kocurek,Verbal Disagreement and Semantic Plans,2023
BURMNE-2,Alexis Burgess and Brett Sherman,Metasemantics: New Essays on the Foundations of Meaning,2014
SCHIAI-28,Laura Schroeter and Fran\c{c}ois Schroeter,Inscrutability and its Discontents,2020
KHAI-11,Ali Hossein Khani,"Intention, Judgement-Dependence and Self-Deception",2023
NEAPAP-2,Stephen Neale,Pragmatism and Binding,2004
RCATAP,Fran\c{c}ois R\'{e}canati,The Alleged Priority of Literal Interpretation,1995
SCHTGI-5,Laura Schroeter and Fran\c{c}ois Schroeter,The Generalized Integration Challenge in Metaethics,2019
REILRE,Friedrich Reinmuth,Logische Rekonstruktion. Ein Hermeneutischer Traktat,2014
MACSQA-5,Fabrizio Macagno,Secundum Quid and the Pragmatics of Arguments. The Challenges of the Dialectical Tradition,2022
AMIHTB,Fatema Amijee,How to Be a Feminist Muslim,2023
PERCFL,Jaroslav Peregrin and Vladim\'{i}r Svoboda,Criteria for Logical Formalization,2013
STUPCA,Michael T. Stuart,Philosophical Conceptual Analysis as an Experimental Method,2015
HARIPO-6,Kevin J. Harrelson,Inferentialist Philosophy of Language and the Historiography of Philosophy,2014
MACRAI-3,Fabrizio Macagno,Reporting and Interpreting Intentions in Defamation Law,2015
KUZPRI,Anezka Kuzmicova and Katalin Balint,Personal Relevance in Story Reading: A Research Review,forthcoming
Skardowska2017-WYBLCO,Urszula Wybraniec{-}Skardowska,Logical Conceptualization of Knowledge on the Notion of Language Communication,2017
NEAPAB,Stephen Neale,Pragmatism and Binding,2004
BARLTJ-2,Axel Arturo Barcel\'o Aspeitia,Linguistic Trust,manuscript
RECPMF,Francois Recanati,Processing Models for Non-Literal Discourse,1994
BRONTO,Lajos L. Brons,Needing the Other: The Anatomy of the Mass Noun Thesis,2014
KITOMA,Eva Feder Kittay and T. N. Ward and S. M. Smith and J. Vaid,"Of ?Men? and Metaphors: Shakespeare, Embodiment, and Filing Cabinets",1997
EVNOTW,Simon Evnine,On the Way to Language,1999
Skardowska2007-WYBMAI-4,Urszula Wybraniec{-}Skardowska,Meaning and Interpretation. Ii,2007
DEMLIS-2,Luis de Miranda,Life is Strange and ??Games Are Made??: A Philosophical Interpretation of a Multiple-Choice Existential Simulator with Copilot Sartre,2016
HARWII-6,Kevin J. Harrelson,White Imagination in Search of a Canon,2021
LPEMBH,Alberto Luis L\'{o}pez,Mauricio Beuchot: Hermen\'{e}utica Anal\'{o}gica / Mauricio Beuchot and His Analogical Hermeneutics,2007
RANPRA-2,Shyam Ranganathan,"Philosophy, Religion and Scholarship",2017
IACVAI,Andrea Iacona,Validity and Interpretation,2010
