ID,Author,Title,Year
BASTDO-9,John Basl,The Death of the Ethic of Life,2019
DORAA,Ryan P. Doran,Aesthetic Animism,2022
DUCWMA,Joshua Duclos,"Wilderness, Morality, and Value",2022
BIRMCA,Thomas H. Birch,Moral Considerability and Universal Consideration,1993
KASSWB,T. J. Kasperbauer,Should We Bring Back the Passenger Pigeon? The Ethics of de-Extinction,2017
CLIIDO-2,Brendan Cline,Irreplaceable Design: On the Non-Instrumental Value of Biological Variation,2020
PALDNM,Clare Palmer,Does Nature Matter? The Place of the Non-Human in the Ethics of Climate Change,2011
KAAASA-3,O. Kaaronen Roope,Affording Sustainability: Adopting a Theory of Affordances as a Guiding Heuristic for Environmental Policy,2017
COASCR,Ashley Coates,"Sentience, Communal Relations and Moral Status",forthcoming
SVODRN-2,Toby Svoboda,Duties Regarding Nature: A Kantian Environmental Ethic,2015
MORTAC-20,Katie H. Morrow,Toward a Consensus on the Intrinsic Value of Biodiversity,forthcoming
CALROI,J. Baird Callicott,Rolston on Intrinsic Value: A Deconstruction,1992
BAABIA,Patrik Baard,Biocentric Individualism and Biodiversity Conservation: An Argument From Parsimony,2021
BEROMC,H. Bernstein Mark,On Moral Considerability: An Essay on Who Morally Matters,1998
MLLKFA,"Nico Dario M\""{u}ller",Kantianism for Animals,2022
GILDES-2,Kinley Gillette and Stephen Andrew Inkpen and C. Tyler DesRoches,Does Environmental Science Crowd Out Non-Epistemic Values?,2021
SPATEO,Robert Sparrow,The Ethics of Terraforming,1999
PERTMS-4,Erik Persson,The Moral Status of Extraterrestrial Life,2012
PERWIW-2,Erik Persson,What is Wrong with Extinction?,2008
HETNWS,Ned Hettinger,"Naturalness, Wild-Animal Suffering, and Palmer on Laissez-Faire",2018
BREUEP-2,Andrew Brennan and Y. S. Lo,Understanding Environmental Philosophy,2010
SEIRFN,Jeffrey Seidman,"Respect for Nature, Respect for Persons, Respect for Value",2022
BIAAFO,Pierfrancesco Biasetti,A Framework of Values: Reasons for Conserving Biodiversity and Natural Environments,2016
SVOWTI,Toby Svoboda,Why There is No Evidence for the Intrinsic Value of Non-Humans,2011
HENSAA-12,Yogi Hendlin,Sunlight as a Photosyntheic Information Technology,2020
HUNAMT,W. Murray Hunt,Are Mere Things Morally Considerable?,1980
HADCDA,John Hadley,Confining ?Disenhanced? Animals,2012
PREEAI-5,Christopher J. Preston,Epistemology and Intrinsic Values,1998
RUBSEE,Anne Schwenkenbecher and Michael Rubin,Should Environmental Ethicists Fear Moral Anti-Realism?,2019
BAAFCF,Patrik Baard,Fundamental Challenges for Rights of Nature,2021
SANOTM,Ronald Sandler and Judith Crane,On the Moral Considerability of Homo Sapiens and Other Species,2006
PACPSA,Yang Immanuel Pachankis,Physical Signals and Their Thermonuclear Astrochemical Potentials: A Review on Outer Space Technologies,2022
MONKIS,Jake Monaghan,Killing in Self-Defence and the Case for Biocentric Individualism,2018
DUSWHA,Antoine C. Dussault,"Welfare, Health, and the Moral Considerability of Nonsentient Biological Entities",2018
DIXVPA,Ben Dixon,Value Pluralism and Consistency Maximisation in the Writings of Aldo Leopold: Moving Beyond Callicott's Interpretations of the Land Ethic,2017
MCSIVA,Katie McShane,Intrinsic Values and Economic Valuation,2017
BROHNT-3,Thom Brooks,How Not to Save the Planet,2016
CLIDSR,Brendan Cline,"Do Species Really Matter?: The Case of ""the"" Gal\'{a}pagos Giant Tortoise",2019
MITJAE-2,Piyali Mitra,Jainism and Environmental Ethics: An Exploration,2019
DELTAO-2,Craig Delancey,Teleofunctions and Oncomice,2004
CRENOT-4,Kaitlyn Creasy,Nietzsche on the Re-Naturalization of Humanity in Thus Spoke Zarathustra,2022
GARTVO-7,Comstock Gary,Two Views of Animals in Environmental Ethics,2016
PIAHAE,Matthew Pianalto,Humility and Environmental Virtue Ethics,2013
CLIDSR-2,Brendan Cline,Designing Species,2023
HALTTE-2,Benjamin Hale,"Technology, the Environment, and the Moral Considerability of Artifacts",2009
JOHWMA-8,Kyle Johannsen,"Wilderness, Morality, and Value; by Joshua Duclos",2022
VONDSD-19,Colin von Negenborn,"Das Spiel des Lebens: Zur M\""{o}glichkeit Einer Physiozentrischen Erweiterung der Spieltheorie",2023
HADLAV,John Hadley,Liberty and Valuing Sentient Life,2013
DUSISO-2,Antoine C. Dussault,In Search of Ecocentric Sentiments: Insights From the Cad Model in Moral Psychology,2013
DIXDMC-2,Ben Dixon,Deriving Moral Considerability From Leopold?s a Sand County Almanac,2016
TANOTI-2,Attila Tanyi,On the Intrinsic Value of Genetic Integrity: A Commentary,2015
CAMRES-5,Douglas Ian Campbell and Patrick Michael Whittle,Resurrecting Extinct Species: Ethics and Authenticity,2017
CDUFAA,Antoine C. Dussault,Fitting-Attitude Analyses and the Relation Between Final and Intrinsic Value,2014
KARRAA-5,Daniel Kary,Rejecting an Additive Solution to Regan?s Lifeboat Case,2024
WELDAD-6,Alistair Welchman,Deleuze and Deep Ecology,2008
BERETE-7,Donato Bergandi,"Epilogue: The Epistemic and Practical Circle in an Evolutionary, Ecologically Sustainable Society",2013
SVOTEO,Toby Svoboda,The Ethics of Geoengineering: Moral Considerability and the Convergence Hypothesis,2012
KAWEDA,Jason Kawall,Environmental Diversity and the Value of the Unusual,1998
