ID,Author,Title,Year
DUMEOI-2,Michael Dummett,Elements of Intuitionism,1977
HEYIAI-2,Arend Heyting,Intuitionism: An Introduction,1956
SIDLFP,Theodore Sider,Logic for Philosophy,2009
FINTSF,Kit Fine,Truth-Maker Semantics for Intuitionistic Logic,2014
DUMTPB-2,Michael Dummett,The Philosophical Basis of Intuitionistic Logic,1978
HEYI,A. Heyting,Intuitionism,1971
LOGSDR-2,Shay Allen Logan,Strong Depth Relevance,2021
GENUBD-3,Gerhard Gentzen,"Untersuchungen \""{U}ber Das Logische Schlie\s{s}en. I.",1935
KRISAO-2,Saul A. Kripke,Semantical Analysis of Intuitionistic Logic I,1963
RUMYAN-2,I. Rumfitt,Yes and No,2000
BENPAI-5,Bruno Bentzen,Propositions as Intentions,2023
BURPL-3,John P. Burgess,Philosophical Logic,2009
LINOEO,"Per Lindstr\""{o}m",On Extensions of Elementary Logic,1969
KRBSCO,"Nils K\""{u}rbis",Some Comments on Ian Rumfitt?s Bilateralism,2016
FITILM,Melvin Fitting,"Intuitionistic Logic, Model Theory and Forcing",1969
CIAIL,Ivano Ciardelli and Floris Roelofsen,Inquisitive Logic,2011
PRAMAP,Dag Prawitz,Meaning and Proofs: On the Conflict Between Classical and Intuitionistic Logic,1977
KURWIW,"Nils K\""{u}rbis",What is Wrong with Classical Negation?,2015
HOLPS-4,Wesley H. Holliday,Possibility Semantics,2021
KLEOTI,S. C. Kleene,On the Interpretation of Intuitionistic Number Theory,1945
VAKNON-2,D. Vakarelov,Notes on N-Lattices and Constructive Logic with Strong Negation,1977
GABSII,Dov M. Gabbay,Semantical Investigations in Heyting's Intuitionistic Logic,1986
RAUAAA,Cecylia Rauszer,An Algebraic and Kripke-Style Approach to a Certain Extension of Intuitionistic Logic,1980
GHIUII,Silvio Ghilardi,Unification in Intuitionistic Logic,1999
GENUBD-4,Gerhard Gentzen,"Untersuchungen \""{U}ber Das Logische Schlie\s{s}en. Ii.",1935
VISAPL,Albert Visser,A Propositional Logic with Explicit Fixed Points,1981
GOOUTM,Zachary Goodsell and John Hawthorne and Juhani Yli{-}Vakkuri,Unknowable Truths,forthcoming
IEMOTA,Rosalie Iemhoff,On the Admissible Rules of Intuitionistic Propositional Logic,2001
MANAIT-13,Paolo Mancosu and Sergio Galvan and Richard Zach,"An Introduction to Proof Theory: Normalization, Cut-Elimination, and Consistency Proofs",2021
GURILW,Yuri Gurevich,Intuitionistic Logic with Strong Negation,1977
KREFSF-2,G. Kreisel,Formal Systems for Some Branches of Intuitionistic Analysis,1970
PITOAI,Andrew M. Pitts,On an Interpretation of Second Order Quantification in First Order Intuitionistic Propositional Logic,1992
HLOANS,Ulf Hlobil,A Nonmonotonic Sequent Calculus for Inferentialist Expressivists,2016
THOASS-2,Richmond H. Thomason,A Semantical Study of Constructible Falsity,1969
RAUAFO,Cecylia Rauszer,A Formalization of the Propositional Calculus of H-B Logic,1974
GABSII-3,Dov M. Gabbay,Semantical Investigations in Heyting's Intuitionistic Logic,1981
IGODL,Igor Urbas,Dual-Intuitionistic Logic,1996
PRAMAP-2,Dag Prawitz,Meaning and Proofs: On the Conflict Between Classical and Intuitionistic Logic,1977
BAAETI,Matthias Baaz and Richard Zach,Epsilon Theorems in Intermediate Logics,2022
NISOFO,Iwao Nishimura,On Formulas of One Variable in Intuitionistic Propositional Calculus,1960
LYOOTC,Tim Lyon,On the Correspondence Between Nested Calculi and Semantic Systems for Intuitionistic Logics,2021
BELOAI-3,Gianluigi Bellin and Massimiliano Carrara and Daniele Chiffi,On an Intuitionistic Logic for Pragmatics,2018
