ID,Author,Title,Year
LEDTRO-2,Francesco Tava,"The Risk of Freedom: Ethics, Phenomenology and Politics in Jan Patocka",2015
TAVTAE,Francesco Tava and Darian Meacham,Thinking After Europe: Jan Patocka and Politics,2016
POMTPO-2,Eric Pommier and D. J. S. Cross,The Problem of History and the Three Movements of Existence in Pato\v{c}ka on the Basis of an Appropriation of Arendt?s Anthropology,2020
TAVTBS,Francesco Tava,The Brave Struggle: Jan Pato\v{c}ka on Europe?s Past and Future,2016
KARCEA-4,Filip Karf\'{i}k,Critique Et Appropriation: Les Platonismes Dans les Ecrits de Jan Pato?Ka de L?Apres-Guerre,2020
TAVLCS,Francesco Tava,"Lifeworld, Civilisation, System: Pato\v{c}ka and Habermas on Europe and its Crisis",2016
JANIFS,Piotr J. Janik,Irrealia: F. Su\'{a}rez?s Concept of Being in the Formulation of Intentionality From F. Brentano to J. Pato\v{c}ka and Beyond,2021
BARPAT-51,Marco Barcaro,Pato\v{c}ka and the Critique of Husserlian Time Consciousness (1st edition),2020
BEHPAW,Elizabeth A. Behnke,Phenomenologist at Work,2011
CAPOTA-2,Jakub Capek,Oneself Through Another: Ric\o{e}ur and Pato\v{c}ka on Husserl?s Fifth Cartesian Meditation,2017
DECOTM,Michael Funk Deckard,Of the Memory of the Past: Philosophy of History in Spiritual Crisis in the Early Pato\v{c}ka and Ricoeur,2017
UCNTCO,Lubica U\v{c}n\'{i}k,"The Crisis of Meaning and the Life-World: Husserl, Heidegger, Arendt, Patoc?Ka",2016
PUCHDN,Jan Puc,How Does Novelty Arise? Institution and Transcendence,2017
JANTEO-14,Josl Jan,The End of Art and Patoc?Ka?s Philosophy of Art,2016
POMJSP,Eric Pommier,Jean-Paul Sartre?s Philosophical Realism in Being and Nothingness Versus Jan Pato\v{c}ka?s a-Subjective Phenomenology on the Crucial Question of the Body,2023
RAYPAA-2,Yvanka B. Raynova,"Ph\""{a}nomenologie Als Antwort Und Verantwortung. Von Husserl Bis Derrida",2016
BARWAW-5,Marco Barcaro,World and World Experience in Nitro a Sv\v{e}t (the Inner and the World),2020
BARCNN,Marco Barcaro,Charta 77 Nella Letteratura Secondaria,2017
HALLMO,Jan Halak,Le Mouvement Ou la Chair: Deux Conceptions de la Profondeur Ontologique Selon Pato\v{c}ka Et Merleau-Ponty,2013
BAREPD-12,Marco Barcaro,El Problema de la Donaci\'{o}n En la Reflexi\'{o}n de Pato\v{c}ka,2019
APEIAS,Jakub \v{C}apek,Intersubjectivity and Self-Awareness in Husserl and Pato\v{c}ka,2019
NOVJPA,Karel Novotn\'y,Jan Pato\v{c}ka and French Phenomenology,2021
PATJPA,Jan Patocka and Erika Abrams and Eric Manton and Ivan Chvatfk and Paul Ricoeur and Domenico Jervolino and Francoise Dastur and Renaud Barbaras and James Mensch and Lorenzo Altieri,Ric\o{e}ur Lecteur de Pato\v{c}ka,2007
HUBHHP,Joel Hubick,Heretical Hindsight: Pato\v{c}ka?s Phenomenology as Questioning Philosophy,2018
SZAPAT-2,M\'{a}ty\'{a}s Szalay,Politics and Testimony. Political Implications of Jan Pato\v{c}ka?s and Edith Stein?s Testimony,2022
RITTHO-3,Martin Ritter,The Hubris of Transcendental Idealism: Understanding Pato\v{c}ka's Early Concept of the Lifeworld,2018
ALTML-3,Lorenzo Altieri,\`A M\^{e}me les ?Choses M\^{e}mes?,2007
BARLDL-7,Renaud Barbaras,L?Autonomie de L?Appara\^{i}tre,2013
TUCFAP,Aviezer Tucker,Fenomenologie a Politika: Od J. Pato\v{c}ky K V. Havlovi,1997
ANLTC,Emre \c{S}an,La Totalit\'e Comme Promesse. Recherches Sur les Limites de L?Intentionnalit\'e Chez Merleau-Ponty Et Pato\v{c}ka,2013
ORTLCD-5,Iv\'{a}n Ortega Rodr\'{i}guez,La Cr\'{i}tica de Patocka a Husserl: Subjetividad Trascendental Frente Al Mundo Como Trascendental,2021
TARLSD-4,Emilie Tardivel,La Subjectivit\'e Dissidente,2007
RODALP-2,Pierre Rodrigo,Apr\`{e}s la Ph\'{e}nom\'{e}nologie? Ontologie de la Chair Et M\'{e}taphysique du Mouvement Chez Merleau-Ponty Et Pato\v{c}ka,2013
PAPPAP-7,Riccardo Paparusso,Pato\v{c}ka?s Asubjective Phenomenology as Latent Possibility of Husserl?s Logical Investigations,2021
LARPIO,Jens Kristian Larsen and P\a{a}l Rykkja Gilbert,Phenomenological Interpretations of Ancient Philosophy,forthcoming
WILTFO-41,Anita Williams,The Freedom of Thought: Pato\v{c}ka on Descartes and Husserl,2018
GANPPR,Rocco Gangle and Jason Smick,Political Phenomenology: Radical Democracy and Truth,2009
RICJPD-3,Paul Ric\o{e}ur,Jan Pato\v{c}ka,2007
STARLL,Ovidiu Stanciu,"Retrouver la Lebenswelt, Par-Del\`a Husserl. Pato\v{c}ka Et Ric\o{e}ur, Lecteurs de la Krisis",2017
