ID,Author,Title,Year
MISRAM,Catrin Misselhorn,Robots as Moral Agents?,2013
YAMHTB,Tsunetomo Yamamoto,Hagakure: The Book of the Samurai,1979
MORTCO-45,Masahiro Morioka,The Concept of Life in Contemporary Japan,2012
NITBTS,Inazo? Nitobe,Bushido: The Soul of Japan,1899
MORAPS-5,Masahiro Morioka,A Phenomenological Study of ?Herbivore Men?,2013
MORTEO-55,Masahiro Morioka,The Ethics of Human Cloning and the Sprout of Human Life,2006
MORHAJ,Masahiro Morioka,How a Japanese Philosopher Encountered Bioethics,2013
BENITW-2,Oleg Benesch,"Inventing the Way of the Samurai: Nationalism, Internationalism, and Bushido in Modern Japan",2014
NITBTS-3,Inazo? Nitobe,Bushido: The Spirit of the Samurai,1905
HIRTSM,Chikuro? Hiroike,Towards Supreme Morality: An Attempt to Establish the New Science of Moralogy,2002
METAAE-4,Thaddeus Metz,African and East Asian Perspectives on Ageing,2022
MORCDO,Masahiro Morioka,Current Debate on the Ethical Issues of Brain Death,2004
MORBDA,Masahiro Morioka,Brain Death as a Form of Human Relationships: Brain Dead Person Chapter,1989
SUNHTX,Chikara Sunohara,Ho?Toku Tokuhon,1943
HIBSND,Yoshio Hibiya,Seinendamashii,1942
KNODOT,Tetsuya Ko?no,Do?Toku o Toinaosu: Riberarizumu to Kyo?Iku No Yukue,2011
YAMTHA,Tsunetomo Yamamoto,The Hagakure: A Code to the Way of Samurai,1980
AKAGTN,Yukio Akatsuka,Giri to Ninjo?,1971
NINEWY,Sontoku Ninomiya,Ergong Weng Ye Hua,2010
TERNSO-2,Fumio Terashima,Ninomiya Sontoku,1955
INOKDS,Tetsujiro? Inoue and Sukemasa Arima and Masamichi Kurokawa,Kokumin Do?Toku so?Sho,1911
LEEBKN,Teng{-}hui Lee,"""Bushido?"" Kaidai: No?Buresu Oburi?Ju to Wa",2003
YATNSJ,Hamao Yatomi,Nihon Seishin Jikko?,1934
SEKKDT,Sumiko Sekiguchi,"Kokumin Do?Toku to Jenda?: Fukuzawa Yukichi, Inoue Tetsujiro?, Watsuji Tetsuro?",2007
DAITCO-2,Yu?zan Daido?ji,The Code of the Samurai,1941
OBINRN,Hanji Obi,Nihon Rinri No Ko?Yo?,1944
WATWTN,Teru Watsuji,Watsuji Tetsuro? No Omoide,1962
KARUIB,L. B. Karelova,"Uchenie Isidy Bai?Gana o Postizhenii ""Serdt?s?a"" I Stanovlenie Trudovoi? e?Tiki V I?a?Ponii: Besedy Gorozhanina I Seli?a?Ina, Rassuzhdenii?a? o Berezhlivom Upravlenii Domom: Issledovanii?a?, Perevod I Kommentarii",2007
SUGNNE,Hyo?ji Sugawara,No No Eitetsu Ninomiya Sontoku,1941
HASBSN,Minoru Hashimoto,Buke Seikatsu Ni Arawaretaru Ko?Koku Fudo?,1944
YAMKJI,Danjo? Yamakuchi,Ko?Min Jikkinsho?,1938
KIMOYT,Motoi Kimura,O?Hara Yu?Gaku to Monjintachi,1996
NAKSEI,Hiromichi Nakayasu,Seppuku,1971
TANBNN,Masaharu Taniguchi,Bakushin Nihon No Kokoro to Chikara,1938
IKEKSH,Kenshiro? Ikeda,Ko?Chu? Shisho Hagakure Sakuin,2000
KUMBKK-3,Tan?an Kumazawa,Busho? Kanjo? Ki,1935
SASNSK,Shintaro? Sasai,Ninomiya Sontoku Kenkyu?,1927
CHITNG,Tokuji Chiba,Tatakai No Genzo?: Minzoku to Shite No Bushido?,1991
NITBCU,Inazo? Nitobe,Bushido?,1938
WATJNK,Tetsuro? Watsuji,Jijoden No Kokoromi,1961
MIYNNS,Masako Miyagawa,Nihon No Seishin Bunka =,2010
ORISJH,Sen?ichi Orii,Shindo? Jissen Ho?Toku Shinsho,1941
