ID,Author,Title,Year
ROUTSC-5,Jean{-}Jacques Rousseau,The Social Contract,1947
ROUE,Jean{-}Jacques Rousseau,Emile,unknown
ROUSC,Jean{-}Jacques Rousseau,The Social Contract,1905
VANDMP-6,Mara van der Lugt,Dark Matters: Pessimism and the Problem of Suffering,2021
ROUTSC-3,Jean{-}Jacques Rousseau,The Social Contract and Other Later Political Writings,1997
ROUDOT-5,Jean{-}Jacques Rousseau,Discourse on the Origin of Inequality,1992
TUCTRO,Richard Tuck,The Rights of War and Peace: Political Thought and the International Order From Grotius to Kant,1999
ROUTSC-7,Jean Jacques Rousseau and Charles Frankel,The Social Contract,1948
ROUTSC-2,Jean{-}Jacques Rousseau,"The Social Contract ; and, Discourses",1973
COZCRS,Ilaria Cozzaglio,Can Realism Save Us From Populism? Rousseau in the Digital Age,2022
ROUOTS,Jean{-}Jacques Rousseau,On the Social Contract,2007
NEURTO,Frederick Neuhouser,"Rousseau's Theodicy of Self-Love: Evil, Rationality, and the Drive for Recognition",2008
ROUTDA,Jean{-}Jacques Rousseau,The Discourses and Other Political Writings,1997
ROUDCS-7,Jean{-}Jacques Rousseau and Jos\'e Medina,Du Contrat Social: Pre?Ce?de? du Discours Sur les Sciences Et les Arts,1971
VARLTS,Helga Varden,Leaving the State of Nature: Strengths and Limits of Kant?s Transformation of the Social Contract Tradition,2024
LEUWIT,Muriel Https://Orcidorg Leuenberger,What is the Point of Being Your True Self? A Genealogy of Essentialist Authenticity,2021
ROUDOI,Jean{-}Jacques Rousseau,A Discourse on Inequality,1984
SALTAC,Sally J. Scholz,"That All Children Should Be Free: Beauvoir, Rousseau, and Childhood",2010
ROUADO-2,Jean{-}Jacques Rousseau,"Discourse on Political Economy: And, the Social Contract",1994
FORKOM,David Forman,Kant on Moral Freedom and Moral Slavery,2012
DENLVD,Juan Pablo de Nicola,La Violencia de la Voluntad General. Sobre la Cr\'{i}tica a Rousseau En la Fenomenolog\'{i}a Del Esp\'{i}ritu de Hegel,2024
ESTDTA,David Estlund and Jeremy Waldron,Democratic Theory and the Public Interest: Condorcet and Rousseau Revisited,1989
DEDRAR,Annelien de Dijn,Rousseau and Republicanism,2018
GRAHAI-3,Ruth Weissbourd Grant,"Hypocrisy and Integrity: Machiavelli, Rousseau, and the Ethics of Politics",1997
DAHRLA,Johan Dahlbeck and Peter Lilja,Rousseau?s Lawgiver as Teacher of Peoples: Investigating the Educational Preconditions of the Social Contract,2024
NEURCO-3,Frederick Neuhouser,Rousseau's Critique of Inequality: Reconstructing the Second Discourse,2014
STAJRT,Jean Starobinski,"Jean-Jacques Rousseau, Transparency and Obstruction",1988
DENR-19,Nicholas J. H. Dent,Rousseau,2005
ROUTSC-11,Jean{-}Jacques Rousseau,The Social Contract and the First and Second Discourses,2002
FERMAA-7,Alessandro Ferrara,Modernity and Authenticity: A Study of the Social and Ethical Thought of Jean-Jacques Rousseau,1992
GRIJRA-4,Charles L. Griswold,Jean-Jacques Rousseau and Adam Smith: A Philosophical Encounter,2017
VIRJRA,Maurizio Viroli,"Jean-Jacques Rousseau and the ""Well-Ordered Society""",1988
PURCBR,Stephen Puryear,Consent by Residence: A Defense,2019
HANCAC-6,Ryan Patrick Hanley,Commerce and Corruption,2008
ZERSWC,Linda Marie{-}Gelsomina Zerilli,"Signifying Woman: Culture and Chaos in Rousseau, Burke, and Mill",1994
SPER-33,C\'{e}line Spector,Rousseau,2019
SHERLK,Susan Meld Shell,Republicanizing Leviathan: Kant's Cosmopolitan Synthesis of Hobbes and Rousseau,2023
