ID,Author,Title,Year
DYCTAM,Corey W. Dyck,"Towards a More Inclusive Enlightenment : German Women on Culture, Education, and Prejudice in the Late Eighteenth Century",2023
JOSHHA,Joshua Blanchard,"Heschel, Hiddenness, and the God of Israel",2016
EDGHC,Scott Edgar,Hermann Cohen,2010
EDGHC-3,Scott Edgar,Hermann Cohen,2010
Gray1993-CUTHAF-2,Joanne Cutting{-}Gray,"Hannah Arendt, Feminism, and the Politics of Alterity: ?What Will We Lose If We Win??",1993
SHUAPO-4,Martin Shuster,A Phenomenology of Home: Jean Am\'{e}ry on Homesickness,2016
CITJPC,Gabriel Citron,Jewish Philosophical Conceptions of God,forthcoming
FAUKII-2,Joanne Faulkner,?Keeping It in the Family?: Sarah Kofman Reading Nietzsche as a Jewish Woman,2008
SHITCO-10,Nadav S. Berman,?The Challenge of the ?Caring? God: A. J. Heschel?s ?Theology of Pathos? in Light of Eliezer Berkovits?s Critique? [in Hebrew],2017
BIZTAF,Michal Bizo\vn,The Anthropological Foundations of Buber?s Cosmic Vision of Dialogical Life,2020
FRILEA,Randy L. Friedman,Levinas's Empiricism and James's Phenomenology,2012
NADCAA,S. Berman Nadav,"?Chosenness, Agapism, and the Search for Moderation Between Nationhood and Universalism?",2024
SIOJL,Avi Sion,"Judaic Logic: A Formal Analysis of Biblical, Talmudic and Rabbinic Logic",1995
LANJTA-2,Y. Tzvi Langermann,"Jewish Thought and the Scientific Revolution of the Sixteenth Century: David Gans and His Times. Andr\'e Neher, David Maisel",1990
WELMOT,John R. Welch,Memory of the West: The Contemporaneity of Forgotten Jewish Thinkers,2004
SIOATM,Avi Sion,All the More: A Merged List of 72 Qal Vachomer Arguments in the Tanakh (1st edition),2024
ALEPOA-2,Philip Alexander,"Philo of Alexandria: An Intellectual Biography, Written by Niehoff, M.R",2019
RABKAT,Dani Rabinowitz,Knowledge and the Cathartic Value of Repentance,2018
GANAHO-2,Solomon Gandz,A History of Jewish Literature. Meyer Waxman,1938
