ID,Author,Title,Year
BERVAH,Isaiah Berlin,Vico and Herder: Two Studies in the History of Ideas,1976
Adler2023-LUAKOL-3,Huaping Lu{-}Adler,Kant on Language and the (Self-)Development of Reason,2023
ZUCHNA,Rachel Zuckert,Herder's Naturalist Aesthetics,2019
FRATEO-11,Michael L. Frazer,The Enlightenment of Sympathy: Justice and the Moral Sentiments in the Eighteenth Century and Today,2010
DELKAT-2,Katerina Deligiorgi,Kant and the Culture of Enlightenment,2005
SIKHOH-2,Sonia Sikka,Herder on Humanity and Cultural Difference: Enlightened Relativism,2011
BERTCO-24,Isaiah Berlin,"Three Critics of the Enlightenment: Vico, Hamann, Herder",2000
FORAHP,Michael N. Forster,After Herder: Philosophy of Language in the German Tradition,2010
OSHAAT,Marina Oshana,Autonomy and the Question of Authenticity,2007
MENGFA,Jennifer Mensch,Georg Forster and the Politics of Natural History: A Case Study for Students of Kant,2024
HERPW,Johann Gottfried Herder,Philosophical Writings,2002
NARIHN,Steve Naragon,"Introduction to ""the Herder Notes From Immanuel Kant's Lectures""",manuscript
MENKAT-4,Jennifer Mensch,Kant and the Skull Collectors: German Anthropology From Blumenbach to Kant,2017
ZUCAOE,Rachel Zuckert,Awe or Envy: Herder Contra Kant on the Sublime,2003
ROUTPO-20,Marharyta Rouba,The Paradox of Kant?s Transcendental Subject in German Philosophy in the Late Eighteenth Century,2020
CLAREM-2,Graham Clay and Ruth Boeker,Rethinking Early Modern Philosophy,2023
NISHAT,Hugh Barr Nisbet,Herder and the Philosophy and History of Science,1970
NORHAA,Robert Edward Norton,Herder's Aesthetics and the European Enlightenment,1991
HEROOA-2,Johann Gottfried Herder,Outlines of a Philosophy of the History of Man,1800
BOYERA-4,Matthew Boyle,Essentially Rational Animals,2012
BERCAR-4,J. M. Bernstein,Classic and Romantic German Aesthetics,2002
BARHON,Frederick M. Barnard,"Herder on Nationality, Humanity, and History",2003
ANGKAH,Angelica Nuzzo,Kant and Herder on Baumgarten's Aesthetica,2006
HERROT,Johann Gottfried Herder,Reflections on the Philosophy of the History of Mankind,1968
BARHSA-2,Frederick M. Barnard,Herder's Social and Political Thought: From Enlightenment to Nationalism,1965
FORJGV,Michael Forster,Johann Gottfried von Herder,2008
GUYFPA,Paul Guyer,Free Play and True Well-Being: Herder's Critique of Kant's Aesthetics,2007
HERTGG,Bradley L. Herling,"The German Gi?Ta?: Hermeneutics and Discipline in the German Reception of Indian Thought, 1778-1831",2006
HERSSO,Johann Gottfried Herder,Sculpture: Some Observations on Shape and Form From Pygmalion's Creative Dream,2002
NASANH,Dalia Nassar,"Analogy, Natural History and the Philosophy of Nature: Kant, Herder and the Problem of Empirical Science",2015
HAMWOP,Johann Georg Hamann,Writings on Philosophy and Language,2007
DENHCA,David Denby,"Herder: Culture, Anthropology and the Enlightenment",2005
FORHPO,Michael N. Forster,"Herder?s Philosophy of Language, Interpretation, and Translation: Three Fundamental Principles",2002
CUTKDW,Andrew Cutrofello,Kant's Debate with Herder About the Philosophical Significance of the Genius of Shakespeare,2008
MENSON,Jennifer Mensch,Songs of Nature: From Philosophy of Language to Philosophical Anthropology in Herder and Humboldt,2018
HERGSC,Johann Gottfried Herder,"God, Some Conversations",1940
FORHPW-2,Michael N. Forster,Herder: Philosophical Writings,2002
BARSAP-3,Frederick M. Barnard,Self-Direction and Political Legitimacy: Rousseau and Herder,1988
VANALI-2,Hein van den Berg,Animal Languages in Eighteenth-Century German Philosophy and Science,2022
REIHAT-9,Roey Reichert,"Herder and the Limits of \emph{Einf\""{u}hlung}",2023
GJEHHH,Kristin Gjesdal,"Herder's Hermeneutics: History, Poetry, Enlightenment",2017
FORHAS-2,Michael N. Forster,Herder and Spinoza,
CARTPE,Daniel Carey and Lynn Festa,The Postcolonial Enlightenment: Eighteenth-Century Colonialism and Postcolonial Theory,2009
FINSAS-3,Karl J. Fink,Storm and Stress Anthropology,1993
PALTMO,Elias Palti,"The ""Metaphor of Life"": Herder's Philosophy of History and Uneven Developments in Late Eighteenth-Century Natural Sciences",1999
NASHAN,Dalia Nassar,Hermeneutics and Nature,2018
ZUCSAT,Rachel Zuckert,Sculpture and Touch: Herder's Aesthetics of Sculpture,2009
MARETE-6,Riccardo Martinelli,"Entre Toucher Et Sentiment. Herder Et le ? Gef\""{u}hl ?",2010
GJEAAP,Kristin Gjesdal,"Aesthetic and Political Humanism: Gadamer on Herder, Schleiermacher, and the Origins of Modern Hermeneutics",2007
ZUCANI,Rachel Zuckert,Adaptive Naturalism in Herder?s Aesthetics,2015
NISGAA,Hugh Barr Nisbet,German Aesthetic and Literary Criticism,1985
DAHTAH,Daniel O. Dahlstrom,"The Aesthetic Holism of Hamann, Herder, and Schiller",2000
DALTAD,Fred Dallmayr,Truth and Diversity: Some Lessens From Herder,1997
LEVTEO-22,Robert Leventhal,"The Emergence of Philological Discourse in the German States, 1770-1810",1986
GJEHAH,Kristin Gjesdal,"Hegel and Herder on Art, History, and Reason",2006
FOLCAA-3,Laura Follesa,"Cosmology, Astronomy, and Philosophy Around 1800: Schelling, Hegel, Herder",2022
KANROJ,Immanuel Kant,Review of J.G. Herder's Ideas for the Philosophy of the History of Humanity. Parts 1 and 2 (1785),2007
KANNAP,Edward Kanterian and Jonathan Egid,Nationalism and Philosophy,2017
