ID,Author,Title,Year
SHOSAI-2,Sydney Shoemaker,"Self-Knowledge and ""Inner Sense"": Lecture I: The Object Perception Model",1994
ROYTPO-3,Josiah Royce,The Philosophy of Loyalty,1919
ROYTWA,Josiah Royce,The World and the Individual,1959
PEAPEO-2,Trevor Pearce,Pragmatism's Evolution: Organism and Environment in American Philosophy,2020
CURAWM,Tommy J. Curry,Another White Man's Burden Josiah Royce's Quest for a Philosophy of White Racial Empire,2018
DILJRA,Joseph Dillabough,"Josiah Royce's Absolute Semiotics: Pragmatism, Phenomenology, and Error",2024
ROYTRA,Josiah Royce,The Religious Aspect of Philosophy,1958
ROYLOM,Josiah Royce,Lectures on Modern Idealism,1919
CURHWT-2,Tommy J. Curry,Hayti Was the Measure: Anti-Black Racism and the Echoes of Empire in Josiah Royce?s Philosophy of Loyalty,2021
KEGJRI,Jacquelyn Ann K. Kegley,Josiah Royce in Focus,2008
KEGJRA-3,Jacquelyn Ann K. Kegley,Josiah Royce: A Neglected Figure and a Valuable Resource in Mining the Pragmatism/Phenomenology Interactions for Current Philosophical Inquiry,2022
CISTWO,Massimo Cisternino,The World of Appreciation as Lebenswelt: The Value of Pre-Scientific Experience in the Philosophy of Josiah Royce and Edmund Husserl,2023
ROYTSO-3,Josiah Royce,The Sources of Religious Insight,1940
ROYTSO-4,Josiah Royce,The Spirit of Modern Philosophy,1899
HEIHCO,Martin Heidegger,Hegel's Concept of Experience: With a Section From Hegel's Phenomenology of Spirit in the Kenley Royce Dove Translation,1970
ROYTEA,Josiah Royce,The Eternal and the Practical,1904
KEGIAC,Jacquelyn Ann K. Kegley,Is a Coherent Racial Identity Essential to Genuine Individuals and Communiities? Josiah Royce on Race,2005
ROYTEW,Josiah Royce,The External World and the Social Consciousness,1894
SCONCT,Scott L. Pratt,?New Continents?: The Logical System of Josiah Royce,2007
ROYSSC-2,Josiah Royce,"Self-Consciousness, Social Consciousness and Nature. I",1895
CABJRA,Richard C. Cabot,Josiah Royce as a Teacher,1916
PERPRR,Ralph Barton Perry,Prof. Royce's Refutation of Realism and Pluralism,1902
OPPJRI-5,Frank M. Oppenheim,Josiah Royce?s Intellectual Development,1976
TUNTGR,Dwayne A. Tunstall,"The Good Royce and the Bad Royce, or, is Saving Royce From Himself Worth It?",2021
ROYWJA,Josiah Royce,William James and Other Essays on the Philosophy of Life,1911
ROYTCO,Josiah Royce,The Conception of God,1897
ROYFEA,Josiah Royce,Fugitive Essays,1920
FOULTL-4,Mathew A. Foust,Loyalty to Loyalty: Josiah Royce and the Genuine Moral Life,2012
BELTGT-2,Jason M. Bell,The German Translation of Royce?s Epistemology by Husserl?s Student Winthrop Bell: A Neglected Bridge of Pragmatic-Phenomenological Interpretation?,2011
MONPRR,W. P. Montague,Professor Royce's Refutation of Realism,1902
MEATPO-12,George Herbert Mead,"The Philosophies of Royce, James, and Dewey in Their American Setting",1930
FONJRA,William T. Fontaine,Josiah Royce and the American Race Problem,1968
ROYCSP-3,Josiah Royce,Charles Sanders Peirce,1916
HORRIA,H. H. Horne,Royce's Idealism as a Philosophy of Education,1916
FOUNAR,Mathew A. Foust,Nitobe and Royce: Bushid\=o and the Philosophy of Loyalty,2015
HARTEO-32,Kevin J. Harrelson,The Ethics of History in Royce's the Spirit of Modern Philosophy,2013
ROYTEM,Joseph R. Royce,The Encapsulated Man,1964
MAHAIP,Mary Briody Mahowald,An Idealistic Pragmatism,1972
