ID,Author,Title,Year
LISGAT,Christian List and Philip Pettit,"Group Agency: The Possibility, Design, and Status of Corporate Agents",2011
DORDDB,Kevin Dorst and Benjamin A. Levinstein and Bernhard Salow and Brooke E. Husic and Branden Fitelson,Deference Done Better,2021
DENWIT-2,Matthew R. X. Dentith,When Inferring to a Conspiracy Might Be the Best Explanation,2016
LISASO-3,Christian List and Philip Pettit,Aggregating Sets of Judgments: An Impossibility Result,2002
HEDMCA,Brian Hedden and Jacob M. Nebel,Multidimensional Concepts and Disparate Scale Types,forthcoming
LISEDG,Christian List and Robert E. Goodin,Epistemic Democracy: Generalizing the Condorcet Jury Theorem,2001
MILWIC,Boaz Miller,When is Consensus Knowledge Based? Distinguishing Shared Knowledge From Mere Agreement,2013
BARSRF-2,Zach Barnett,Six Roles for Inclination,forthcoming
DIEPOP,Franz Dietrich and Christian List,Probabilistic Opinion Pooling,2016
BACSFG,Jean Baccelli and Rush T. Stewart,Support for Geometric Pooling,2023
MULPVF,Thomas Mulligan,Plural Voting for the Twenty-First Century,2018
RUSG,Jeffrey Sanford Russell and John Hawthorne and Lara Buchak,Groupthink,2015
LISTDD,Christian List,The Discursive Dilemma and Public Reason,2006
LISASO,Christian List and Philip Pettit,Aggregating Sets of Judgments: Two Impossibility Results Compared,2004
JGEEAP,"Christoph J\""{a}ger","Epistemic Authority, Preemptive Reasons, and Understanding",2016
BOYGEA,Kenneth Boyd,Group Epistemology and Structural Factors in Online Group Polarization,2023
DIEATI,Franz Dietrich and Christian List,Arrow's Theorem in Judgment Aggregation,2007
BARBDH-2,Zach Barnett,Belief Dependence: How Do the Numbers Count?,2019
PETOTA-7,Richard Pettigrew,On the Accuracy of Group Credences,2019
BRIARF-2,Liam Kofi Bright and Haixin Dang and Remco Heesen,A Role for Judgment Aggregation in Coauthoring Scientific Papers,2017
DIEJAI,Franz Dietrich,Judgment Aggregation: (Im)Possibility Theorems,2006
DIEEDW,Franz Dietrich and Kai Spiekermann,Epistemic Democracy with Defensible Premises,2013
PAULCO-3,Marc Pauly and Martin van Hees,Logical Constraints on Judgement Aggregation,2006
DIEAGM,Franz Dietrich,A Generalised Model of Judgment Aggregation,2007
HEEVMT,Remco Heesen and Liam Kofi Bright and Andrew Zucker,Vindicating Methodological Triangulation,2016
MOECPR,Lars J. K. Moen,Collectivizing Public Reason,2024
LISGKA,Christian List,Group Knowledge and Group Rationality: A Judgment Aggregation Perspective,2005
LISTKO,Christian List,Three Kinds of Collective Attitudes,2014
HARJAA,Stephan Hartmann and Jan Sprenger,Judgment Aggregation and the Problem of Tracking the Truth,2012
STEPOP-12,Rush T. Stewart and Ignacio Ojea Quintana,Probabilistic Opinion Pooling with Imprecise Probabilities,2018
LISJAA,Christian List and Clemens Puppe,Judgment Aggregation: A Survey,2009
LISSJA,Franz Dietrich and Christian List,Strategy-Proof Judgment Aggregation,2005
BOVDAT-2,Luc Bovens and Wlodek Rabinowicz,Democratic Answers to Complex Questions ? an Epistemic Perspective,2006
DAOOIA,Marc{-}Kevin Daoust,Optimizing Individual and Collective Reliability: A Puzzle,2022
MILSCA-2,Boaz Miller,Scientific Consensus and Expert Testimony in Courts: Lessons From the Bendectin Litigation,2016
LISSCT-2,Christian List and John Dryzek,Social Choice Theory and Deliberative Democracy: A Reconciliation,2003
PIGCDW-2,Gabriella Pigozzi,Belief Merging and the Discursive Dilemma: An Argument-Based Account to Paradoxes of Judgment Aggregation,2006
