ID,Author,Title,Year
LITJAT-2,Clayton Littlejohn,Justification and the Truth-Connection,2012
JACHBD,Elizabeth Jackson,How Belief-Credence Dualism Explains Away Pragmatic Encroachment,2019
SMIBPA-3,Martin Smith,Between Probability and Certainty: What Justifies Belief,2016
Aarnio2014-LASHEA,Maria Lasonen{-}Aarnio,Higher-Order Evidence and the Limits of Defeat,2014
ALSBJD,William P. Alston,"Beyond ""Justification"": Dimensions of Epistemic Evaluation",2005
SMIWDE,Martin Smith,When Does Evidence Suffice for Conviction?,2018
QUAAPA,Z. Quanbeck and Alex Worsnip,A Permissivist Alternative to Encroachment,forthcoming
POLKAJ,John L. Pollock,Knowledge and Justification,1974
ALSTDC,William P. Alston,The Deontological Conception of Epistemic Justification,1988
DELUWJ,Finnur Dells\'{e}n,Understanding Without Justification or Belief,2017
GAUJLA,Gerald F. Gaus,Justificatory Liberalism: An Essay on Epistemology and Political Theory,1996
SMIWEJ-5,Martin Smith,What Else Justification Could Be1,2010
AUDTSO-2,Robert Audi,The Structure of Justification,1993
BOGBR-9,Paul A. Boghossian,Blind Reasoning,2003
SMITHP-2,Martin Smith,The Hardest Paradox for Closure,2022
BOUEBA-5,Cameron Boult,Epistemic Blame as Relationship Modification: Reply to Smartt,2024
WHIRWO,Daniel Whiting,Higher-Order Evidence,2020
ICHJIP,Jonathan Jenkins Ichikawa,Justification is Potential Knowledge,2014
BIRJJ,Alexander Bird,Justified Judging,2007
WAYIYJ-2,Jonathan Way and Daniel Whiting,"If You Justifiably Believe That You Ought to \ensuremath{\Phi}, You Ought to \ensuremath{\Phi}",2016
TUCWTF,Chris Tucker,When Transmission Fails,2010
SMITLO-27,Martin Smith,The Logic of Epistemic Justification,2018
LITNEI,Clayton Littlejohn,No Evidence is False,2013
SISBRA,Wes Siscoe,"Belief, Rational and Justified",2021
SILJGB,Paul Silva,Justified Group Belief is Evidentially Responsible Group Belief,2019
WHITRO-44,Daniel Whiting,The Range of Reasons: In Ethics and Epistemology,2021
CHIKFI,Andrew Chignell,"Kantian Fallibilism: Knowledge, Certainty, Doubt",2021
SILSBA-2,Paul Silva,Self-Fulfilling Beliefs: A Defence,2023
FOGPRO,Robert J. Fogelin,Pyrrhonian Reflections on Knowledge and Justification,1994
WHIKJA,Daniel Whiting,"Knowledge, Justification, and (a Sort of) Safe Belief",2020
CHIKCO,Andrew Chignell,Kant's Concepts of Justification,2007
TURAPA,John Turri,A Puzzle About Withholding,2012
OLINPI,Luis R. G. Oliveira,Non-Agential Permissibility in Epistemology,2015
LITMPA,Clayton Littlejohn,Moore's Paradox and Epistemic Norms,2010
BALUAE,Nathan Ballantyne and E. J. Coffman,"Uniqueness, Evidence, and Rationality",2011
SEIERA-2,Markus Seidel,Epistemic Relativism. A Constructive Critique,2014
SILODJ,Paul Silva,On Doxastic Justification and Properly Basing One?s Beliefs,2015
KELKFV,Christoph9 Kelp,Knowledge First Virtue Epistemology,2017
SMIFAF-3,Martin Smith,Four Arguments for Denying That Lottery Beliefs Are Justified,2021
EBELJA,Philip A. Ebert and Martin Smith and Ian Durbach,Lottery Judgments: A Philosophical and Experimental Study,2017
SILEEA-4,Paul Silva,Explaining Enkratic Asymmetries: Knowledge-First Style,2018
Petersen2013-STETAT-9,Asbj\o{}rn Steglich{-}Petersen,Truth as the Aim of Epistemic Justification,2013
SMIMON-2,Martin Smith,More on Normic Support and the Criminal Standard of Proof,2021
GOOIKW-2,Jeremy Goodman,Inexact Knowledge Without Improbable Knowing,2013
BEDRFR,Bob Beddor,Reasons for Reliabilism,2021
SMIWJM,Declan Smithies,Why Justification Matters,2015
GRADKE-3,Peter J. Graham,Does Knowledge Entail Justification?,2023
ARTJL,Sergei Artemov,Justification Logic,forthcoming
DRADPA,J. Drake,Doxastic Permissiveness and the Promise of Truth,2017
TURTFA-2,John Turri,"Truth, Fallibility, and Justification: New Studies in the Norms of Assertion",2020
HANAST-2,Michael Hannon,A Solution to Knowledge?s Threshold Problem,2017
AUGTAG,Luis M. Augusto,Toward a General Theory of Knowledge,2020
LOGTST,Arturs Logins,Two-State Solution to the Lottery Paradox,2020
LIATO-3,Han Li,A Theory of Epistemic Supererogation,2018
TURESA-6,"Petri Turunen and Ilmari Hirvonen and Ilkka P\""{a}ttiniemi",Epistemological Scientism and the Scientific Meta-Method,2023
GRARWO-2,Peter Graham and Nikolaj Jang Lee Linding Pedersen,Recent Work on Epistemic Entitlement,2020
FRIPIT-5,Matthew Frise,Preservationism in the Epistemology of Memory,2017
GRIWDE,Paul E. Griffiths and John S. Wilkins,Crossing the Milvian Bridge: When Do Evolutionary Explanations of Belief Debunk Belief?,2015
STEKTA,Matthias Steup,"Knowledge, Truth, and Duty: Essays on Epistemic Justification, Responsibility, and Virtue",2001
HAWNSP,John Hawthorne and Maria Lasonen{-}Aarnio,Not so Phenomenal!,2021
SMIKJA,Martin Smith,"Knowledge, Justification and Normative Coincidence1",2014
DEMAOM,Benjamin De Mesel,"Are Our Moral Responsibility Practices Justified? Wittgenstein, Strawson and Justification in ?Freedom and Resentment?",2018
DELDSP,Finnur Dells\'{e}n and James Norton,Dejustifying Scientific Progress,forthcoming
EVAWNR-2,Benjamin Eva and Stephan Hartmann,When No Reason for is a Reason Against,2017
MCCTVO-10,Kevin McCain,The Virtues of Epistemic Conservatism,2008
DECEAT,Helen de Cruz and Maarten Boudry and Johan de Smedt and Stefaan Blancke,Evolutionary Approaches to Epistemic Justification,2011
CARGAA-7,Sam Carter and Simon Goldstein,Getting Accurate About Knowledge,2022
SCHSSA-31,Joshua Schechter,Small Steps and Great Leaps in Thought: The Epistemology of Basic Deductive Rules,2019
HWIKOO,"Thomas H\""{o}wing","Kant on Opinion, Belief, and Knowledge",2016
BOXUE,Steve Petersen,Utilitarian Epistemology,2013
