ID,Author,Title,Year
SPEHIA-5,Lucienne Jeannette Spencer,Hermeneutical Injustice and Unworlding in Psychopathology,2023
HOEJOE,Christoph Hoerl,Jaspers on Explaining and Understanding in Psychiatry,2013
SPETFO-11,Lucienne Spencer and Matthew R. Broome and Giovanni Stanghellini,The Future of Phenomenological Psychopathology,2024
PRNPSO,Aleksandar Prnjat,Prostor Slobodan Od Dr\v{z}ave: Koncepcija Univerziteta U Filozofiji Egzistencije,2023
RASACP,Mohammed Abouelleil Rashed,A Critical Perspective on Second-Order Empathy in Understanding Psychopathology: Phenomenology and Ethics,2015
GONLBC,Elia Gonnella,La \emph{Bestimmung} Come Disposizione. Un?Analisi Tra Sorge e Liebe,2023
OSBEHI,Osborne P. Wiggins and Michael Alan Schwartz,Edmund Husserl's Influence on Karl Jaspers's Phenomenology,1997
GONICD-3,Elia Gonnella,Il Canto Dell?Entusiasmo. Quotidianit\`a Ed Entusiasmo: Un?Analisi a Partire da Karl Jaspers,2020
MARJOC-2,Thaddeus Martin,Jaspers on Communicology,2021
CUSKJP,Guido Cusinato,La Psicopatologia di Karl Jaspers e I Disturbi Dell'ordo Amoris Nella Prospettiva di Max Scheler,2017
LUFTPO-2,Sebastian Luft and Jann E. Schlimme,The Phenomenology of Intersubjectivity in Jaspers and Husserl: On the Capacities and Limits of Empathy and Communication in Psychiatric Praxis,2013
GONSMS,Elia Gonnella,Su Max Scheler. Riflessioni a Partire da \emph{Wesen Und Formen der Sympathie},2022
DIEGAE,Ulrich Diehl,Grenzsituationen Als Existenzielle Herausforderung,2015
LONITI-2,Rebecca Longtin,Immanent Transcendence in the Work of Art: Heidegger and Jaspers on van Gogh,2017
DIEKJU,Ulrich Diehl,Karl Jaspers Und Die Vernunft,2011
DIEZFN,Ulrich Diehl,Zur Frage Nach Dem Leiblichen Bei Karl Jaspers,2014
DISCER,Antonio Di Somma,Con-Essere e Responsabilit\`a. Alle Radici Della Questione Sociale Della Cura.,2024
JOHJAD,John McMillan,Jaspers and Defining Phenomenology,2002
WALKJA-3,Chris Walker,Karl Jaspers and Edmund Husserl Iv: Phenomenology as Empathic Understanding,1995
VANTSO-28,Albert{-}Jan van de Pol and Jan Derksen,The Study of Normal Psychic Life,2014
WALKJA-4,Chris Walker,"Karl Jaspers and Edmund Husserl: 1, the Perceived Convergence",1994
MORISA-11,Dermot Moran,"Immanence, Self-Experience, and Transcendence in Edmund Husserl, Edith Stein, and Karl Jaspers",2008
DISESN,Antonio Di Somma,Essere Speranza Nel Tempo Della Tecnica. Prospettive Teorico-Pratiche di Orientamento.,2021
RAYPBP,Yvanka B. Raynova,Philosophy Between Power and Powerlessness: A Homage to Karl Jaspers,2019
ROGHCC-2,Dawid Rogacz,Jak ?Chiny? Stworzy\l{}y Europ\ke: Narodziny O\'{s}wieceniowego Sekularyzmu Z Ducha Konfucjanizmu,2017
DISUDU,Antonio Di Somma,Umanit\`a di Un Diritto: Riconoscimento e Promozione Dell'aver-Cura Nei Giorni Della Tecnica.,2019
EHRJOT,Leonard H. Ehrlich,Jaspers on the Intersection of Philosophy and Psychiatry,2007
WALKJA-2,Chris Walker,Karl Jaspers and Edmund Husserl--Iii: Jaspers as a Kantian Phenomenologist,1995
CARIPD-16,Rosario Carpentieri,Il Problema Del Fondamento Nella Filosofia di Karl Jaspers,1995
