ID,Author,Title,Year
ANSEPA-4,Peter R. Anstey and Alberto Vanzo,Experimental Philosophy and the Origins of Empiricism,2023
WARFIA,Owen Ware,Freedom Immediately After Kant,2019
REIVEN,Karl Leonhard Reinhold and Ernst{-}Otto Onnasch,"Versuch Einer Neuen Theorie des Menschlichen Vorstellungsverm\""{o}gens",2010
DUNSSA-3,Robb Dunphy,Schulze's Scepticism and the Rise and Rise of German Idealism (1st edition),2023
ROUTPO-20,Marharyta Rouba,The Paradox of Kant?s Transcendental Subject in German Philosophy in the Late Eighteenth Century,2020
BERRLS-3,Sven Bernecker,Reinholds Linguistischer Schematismus,2018
FUGOAS,Courtney D. Fugate,On a Supposed Solution to the Reinhold/Sidgwick Problem in Kant's Metaphysics of Morals,2012
WARFMO,Owen Ware,Fichte?s Method of Moral Justification,2019
SCHIDO-16,Dennis Schulting,"In Defence of Reinhold?s Kantian Representationalism: Aspects of Idealism in Versuch Einer Neuen Theorie des Menschlichen Vorstellungsverm\""{o}gens",2016
BREBKA-2,Daniel Breazeale,"Between Kant and Fichte: Karl Leonhard Reinhold's ""Elementary Philosophy""",1982
VANT-7,Alberto Vanzo,Trascendentale,2016
KAHFMA,Samuel Kahn,"Freedom, Morality, and the Propensity to Evil",2014
GOHRAT,Kienhow Goh,Reinhold and the Promise of a Higher Metaphysics,2018
BERRED-2,Sven Bernecker,Reinholds Erkenntnistheorie des Dissens,2012
FABATO-4,F. Fabbianelli,A Theory of Free Will in Karl Leonhard Reinhold's Letters on Kantian Philosophy (1790-92),2000
GOHACL,Kienhow Goh,A Closer Look at Reinhold's Theory of Consciousness,2017
BERRRT,Sven Bernecker,Reinhold's Road to Fichte,2010
DUNATI-3,Robb Dunphy,"Aenesidemus: Title, Indication of Contents, Preface",manuscript
FUCRUF-2,Erich Fuchs,Reinhold Und Fichte Im Briefwechsel Zweier Jenenser Studenten 1793/94,1995
LUKDBZ-2,Arkadij V. Lukjanow,Die Beziehung Zwischen Geist Und System Bei Fichte Und Reinhold,2003
DUNATL,Robb Dunphy,Aenesidemus: Third Letter (Without Appendix),manuscript
BRETCF-4,Daniel Breazeale,Two Cheers for Post-Kantianism: A Response to Karl Ameriks,2003
WARKOF,Owen Ware,Kant on Freedom,2023
DUNMAA-4,Robb Dunphy and Toby Lovat,Metaphysics as a Science in Classical German Philosophy,2023
DUNAFL,Robb Dunphy,Aenesidemus: Fourth Letter,manuscript
DUNAFL-3,Robb Dunphy,Aenesidemus: First Letter,manuscript
REIHRH,Jeffrey Reid,How Reinhold Helped Hegel Understand the German Enlightenment and Grasp the Pantheism Controversy,2010
ROU-5,Marharyta Rouba,\CYRP\cyra\cyrr\cyra\cyrd\cyro\cyrk\cyrs \CYRK\cyra\cyrn\cyrt\cyro\cyrv\cyrs\cyrk\cyro\cyrg\cyro \CYRT\cyrr\cyra\cyrn\cyrs\cyrc\cyre\cyrn\cyrd\cyre\cyrn\cyrt\cyra\cyrl\cyrsftsn?\CYRN\cyro\cyrg\cyro \CYRS\cyru\cyrb\cyrhrdsn\cyre\cyrk\cyrt\cyra \CYRV \CYRN\cyre\cyrm\cyre\cyrc\cyrk\cyro\cyrishrt \CYRF\cyri\cyrl\cyro\cyrs\cyro\cyrf\cyri\cyri \CYRK\cyro\cyrn\cyrc\cyra Xviii \CYRV\cyre\cyrk\cyra,2020
SCHPBD-9,Johann Christoph Schwab and Karl Leonhard Reinhold and Johann Heinrich Abicht,"Preisschriften \""{U}ber Die Frage: Welche Fortschritte Hat Die Metaphysik Seit Leibnitzens Und Wolffs Zeiten in Deutschland Gemcht?",1796
WELJNA,Aaron Wells,"J\""{o}rg Noller and John Walsh (Eds.), \emph{Kant's Early Critics on Freedom of the Will}",2022
