ID,Author,Title,Year
GIOTIC,John T. Giordano,The Imperfect City: Leo Strauss Reading Al-Farabi Reading Plato,manuscript
PARLSA-7,Joshua Parens,Leo Strauss and the Recovery of Medieval Political Philosophy,2016
VILTPV-2,Dana R. Villa,The Philosopher Versus the Citizen,1998
FRAEAA-8,Michael L. Frazer,Esotericism Ancient and Modern,2006
YARFNT,Majid Yar,"From Nature to History, and Back Again: Blumenberg, Strauss and the Hobbesian Community",2002
BEIHAA-2,Ronald Beiner,Hannah Arendt and Leo Strauss,1990
HOWPPA-8,Jacob Howland,"Poetry, Philosophy, and Esotericism: A Straussian Legacy",2016
BRCMIE,Alejandro B\'{a}rcenas,Machiavelli in Esilio: Le Letture di Leo Strauss e Eric Voegelin,2013-2014
SMILSD,Steven Benjamin Smith,Leo Strauss?s Discovery of the Theologico-Political Problem,2013
Skalli2024-COHTCO-28,Cedric Cohen{-}Skalli,Leo Strauss in Paris1933: A Missed Opportunity for a Dialogical Understanding of the Crisis of Liberalism,2024
PIPTUO-3,Robert Pippin,The Unavailability of the Ordinary,2003
SHAMSL-2,Beau Shaw,Maimonides? Secret: Leo Strauss?s ?the Literary Character of the Guide for the Perplexed ?,2020
HOLTPA-19,Jared Holley,"Theory, Practice, and Modernity: Leo Strauss on Rousseau?s Epicureanism",2017
DAVCRP-3,Thomas Davidson,{[}Communication Regarding Professor Vera's Recent Review of Strauss's Book],1874
BIRPOP,"\""{O}m\""{u}r Birler",Political (or) Philosophy? A Critical Account of Leo Strauss?s Response to the Crisis of Modernity,2008
BALPTB,Giuseppe Ballacci,Political Theory Between Philosophy and Rhetoric: Politics as Transcendence and Contingency,2017
TKAMPB,David Tkach,Must Philosophy Be Political?: Heidegger and Strauss on 'First Philosophy',2010
GILLSA-3,Alan Gilbert,Leo Strauss and the Principles of the Right: An Introduction to Strauss' Letter,2009
CROEVL,Frederick J. Crosson,Esoteric Versus Latent Teaching,2005
SFELS-2,G\'{e}rald Sfez,Leo Strauss : Un Criticisme de la Preuve,2005
DUFSRC,Alexander S. Duff,Stanley Rosen?s Critique of Leo Strauss,2010
PARRAL-4,Crystal C. Paris,Review Article: Leo Strauss,2010
GUNRMW,John Gunnell,Reading Max Weber Leo Strauss and Eric Voegelin,2004
CUBTLR,Raimondo Cubeddu,Tra le Righe: Leo Strauss Su Cristianesimo e Liberalismo,2010
BENSES-2,C\'{a}ssio Corr\^{e}a Benjamin,Schmitt e Strauss: Um Di\'{a}logo Obl\'{i}quo,2008
LARPIO,Jens Kristian Larsen and P\a{a}l Rykkja Gilbert,Phenomenological Interpretations of Ancient Philosophy,forthcoming
Skalli2019-COHBYB,Cedric Cohen{-}Skalli,Between Yitzhak Baer and Leo Strauss: The Rediscovery of Isaac Abravanel's Political Thought in the Late 1930S,2019
ALASBA-2,Costin Alamariu,Selective Breeding and the Birth of Philosophy,2023
DAYPAT-2,William Blaine Day,"Philosophy and 'the Literary Question': Wittgenstein, Emerson, and Strauss on the Community of Knowing",1999
BLIBCT,Mark Blitz,"Brill?s Companion to Leo Strauss? Writings on Classical Political Thought, Edited by Timothy W. Burns",2018
ROOPTI,Tim Rood,Political Thought in Xenophon: Straussian Readings of the Anabasis,2015
JAMDOT-2,M. H. Jamshidi and M. Karimi Beiranvand,Defense of Truth,2014
NARXSA,Michel Narcy,"Xenophon, Socrates and Strauss - Pangle the Socratic Way of Life: Xenophon's Memorabilia. Pp. Xii + 288. Chicago and London: The University of Chicago Press, 2018. Cased, \pounds26.50, Us\$35. Isbn: 978-0-226-51689-9",2019
MADLSA-3,Patrick Madigan,"Leo Strauss and the Recovery of Medieval Political Philosophy. By Joshuaparens. Pp. Xii, 191, Rochester, Ny/Woodbridge, Uk, University of Rochester Press, 2016, \$24.95",2020
RICMTV,Scott P. Richert,"Mcallister, Ted V. Revolt Against Modernity: Leo Strauss, Eric Voegelin, and the Search for a Postliberal Order",1997
COLTRO-12,Darrel D. Colson,The Rebirth of Classical Political Rationalism,1991
BAULSM,Fred Baumann,"Leo Strauss, Max Weber, and the Scientific Study of Politics",2004
DRURLS,Shadia B. Drury,Review: Leo Strauss and the American Imperial Project,2007
JANRLS-2,David Janssens,Review: Leo Strauss and the Theologico-Political Problem,2007
CHALSA-8,Rodrigo Chacon,"Leo Strauss and the Classics. Burns Brill's Companion to Leo Strauss? Writings on Classical Political Thought. Pp. Xiv + 480. Leiden and Boston: Brill, 2015. Cased, ?168, Us\$218. Isbn: 978-90-04-24335-4",2018
GEOLSA-2,Larry N. George,Book Review: Leo Strauss and the Politics of American Empire,2006
