ID,Author,Title,Year
QUETDD,Matthieu Queloz,"The Dworkin?Williams Debate: Liberty, Conceptual Integrity, and Tragic Conflict in Politics",2024
CEPC,Bianca Cepollaro and Maxime Lepoutre and Robert Mark Simpson,Counterspeech,2022
LISFAI,Christian List and Laura Valentini,Freedom as Independence,2016
SIMNP,Robert Mark Simpson and Amia Srinivasan,No Platforming,2018
DAGBRC,Richard Dagger,"Civic Virtues: Rights, Citizenship, and Republican Liberalism",1997
GARCTW-2,Michael Garnett,Coercion: The Wrong and the Bad,2018
MANPRC-3,Franz Mang,Public Reason Can Be Reasonably Rejected,2017
STAIMS,Titus Stahl,Indiscriminate Mass Surveillance and the Public Sphere,2016
DEMLAP,Peter de Marneffe,Liberalism and Prostitution,2009
MANCPA-7,Franz Mang,"Confucianism, Perfectionism, and Liberal Society",2018
PREGLJ,Joshua Preiss,Global Labor Justice and the Limits of Economic Analysis in Advance,2014
EGUAPF,Johan E. Gustafsson,A Paradox for the Intrinsic Value of Freedom of Choice,2019
PETNFC,Richard Pettigrew,Nudging for Changing Selves,2023
GARVNA,Michael Garnett,Value Neutrality and the Ranking of Opportunity Sets,2016
MANPMA-6,Franz Mang,Political Meritocracy and its Betrayal,2020
DEMLLA,Peter De Marneffe,"Liberalism, Liberty, and Neutrality",1990
VARAKC-6,Helga Varden,A Kantian Critique of the Care Tradition: Family Law and Systemic Justice,2012
TURATO-5,Karl Raimund Popper and Jeremy Shearmur and Piers Norris Turner,After the Open Society: Selected Social and Political Writings,2008
MANWPR,Franz Mang,Why Public Reason Could Not Be Too Modest: The Case of Public Reason Confucianism,2019
TAYCAP,Robert S. Taylor,Children as Projects and Persons: A Liberal Antinomy,2009
VINWAT-2,Robert Vinten,"Wittgenstein and the Social Sciences: Action, Ideology, and Justice",2020
VARAKC-5,Helga Varden,A Kantian Conception of Free Speech,2010
LISTIO,Christian List,The Impossibility of a Paretian Republican? Some Comments on Pettit and Sen,2004
DAVALA-8,Alex Davies,A Liberal Anti-Porn Feminism?,2018
FRAOMA-4,Paul Franco,Michael Oakeshott as Liberal Theorist,1990
BAVTEO-2,Sebastiano Bavetta and Pietro Navarra,"The Economics of Freedom: Theory, Measurement, and Policy Implications",2012
VONSCA-3,Jeppe von Platz,Social Cooperation and Basic Economic Rights: A Rawlsian Route to Social Democracy,2016
KINJMR,Bruce L. Kinzer,J.S. Mill Revisited: Biographical and Political Explorations,2007
COHCLA-2,Andrew Jason Cohen,Contemporary Liberalism and Toleration,2015
REHVUV,Michaela Rehm,Vertrag Und Vertrauen: Lockes Legitimation von Herrschaft,2012
TAYRRR,Robert S. Taylor,Reading Rawls Rightly: \emph{A Theory of Justice} at 50,2021
PARPIT-12,Shelley M. Park,Polyamory is to Polygamy as Queer is to Barbaric?,2017
ANCL,Aaron J. Ancell,Liberalism,2021
PAZSLT,Miguel \'{A}ngel Quintana Paz,Sobre la Tolerancia (Hermen\'{e}utica y Liberal),2008
TRAHVT,Aris Trantidis and Nick Cowen,Hayek Versus Trump: The Radical Right?s Road to Serfdom,2020
KUOTVO,Henry S. Kuo,"The Virtues of Economic Rescue Legislation: Distributive Justice, Civil Law, and the Troubled Asset Relief Program",2021
VARAFK,Helga Varden,"A Feminist, Kantian Conception of the Right to Bodily Integrity: The Cases of Abortion and Homosexuality",2012
HUELDU,Michael Huemer,"Lob der Unt\""{a}tigkeit",2015
PAZCEA-2,Miguel \'{A}ngel Quintana Paz,?Cabe Ense\~{n}ar a Ser Libres? Para Repensar la Pol\'{e}mica En Torno a la Educaci\'{o}n Para la Ciudadan\'{i}a,2010
GRIILI,Kalle Grill,Individual Liberty in Public Health ? No Trumping Value,2011
BADELA,Gabriele Badano,"Equality, Liberty and the Limits of Person-Centred Care?s Principle of Co-Production",2019
MCC-6,Jakub Wi\'{s}niewski,"Abortion, Libertarianism, and Evictionism: A Last Word",2013
PREMFO,Joshua Preiss,Milton Friedman on Freedom and the Negative Income Tax,forthcoming
FRETCE-3,Danny Frederick,A Critique of Michael Huemer?s 'the Problem of Political Authority',2015
WALOUF,Andrzej Waleszczy\'{n}ski,On Unjust Forms of Marriage. Comments on the Discussion on Discrimination Against Same-Sex Couples,2018
KEEDSO,Machiel Keestra,De Strijd Om Het Vermijden van Tragische Conflicten: Naar Aanleiding van Hegels Rechtsfilosofie,1998
PREMFA,Joshua Preiss,"Milton Friedman, Amartya Sen, and Left and Right in American Politics",2013
FREIPI-2,Danny Frederick,"Identity Politics, Irrationalism, and Totalitarianism: Karl Popper and the Contemporary Malaise",2019
MILALA,D. E. Miller,"Atomists, Liberals and Civic Republicans: Taylor on the Ontology of Citizenship",2001
APPLIA-2,Kwame Anthony Appiah,"Liberty, Individuality and Identity",2001
TAYTTA-5,Robert S. Taylor,The Theory and Practice of Self-Ownership,2002
TANHLS,Attila Tanyi and McLeod Stephen,"High Liberalism, Strikes, and Direct Action",manuscript
SIRTNC,"J\""{u}rgen Sirsch and Doris Unger",The Neorepublican Challenge to Egalitarian-Liberalism: Evaluating Justifications of Redistributive Institutions,2019
JASNBC,Romy Jaster and Geert Keil,"Nachdenken \""{U}ber Corona",2021
