ID,Author,Title,Year
SHKTLO,Judith Shklar,The Liberalism of Fear,1989
DAGBRC,Richard Dagger,"Civic Virtues: Rights, Citizenship, and Republican Liberalism",1997
HAYKLA,Carol Hay,"Kantianism, Liberalism, and Feminism: Resisting Oppression",2013
TESTPG-3,Francesco Testini,Testing Pragmatic Genealogy in Political Theory: The Curious Case of John Rawls,2022
DIEALP-4,Franz Dietrich and Christian List,A Liberal Paradox for Judgment Aggregation,2008
MESPJA,Kristina Meshelski,Procedural Justice and Affirmative Action,2016
Moshe2021-BENCOP-5,Nir Ben{-}Moshe,Comprehensive or Political Liberalism? The Impartial Spectator and the Justification of Political Principles,2021
PETNFC,Richard Pettigrew,Nudging for Changing Selves,2023
ESTTOH,David Estlund,The Oxford Handbook of Political Philosophy,2012
ROSLDA-2,Enzo Rossi,"Legitimacy, Democracy and Public Justification: Rawls' Political Liberalism Versus Gaus' Justificatory Liberalism",2014
ROSTOT-13,Enzo Rossi,The Twilight of the Liberal Social Contract? On the Reception of Rawlsian Political Liberalism,2019
BREFBA,Jason Brennan,For-Profit Business as Civic Virtue,2012
TERSAJ,Ruud ter Meulen,Solidarity and Justice in Health Care. A Critical Analysis of Their Relationship,2015
SCHPAR-13,Paul Schofield,Paternalism and Right,2017
BRECL,Jason Brennan and John Tomasi,Classical Liberalism,2012
MATTSE-6,Fred Matthews,The Shallow Ecology of Public Reason Liberalism,2023
PIETA,Marek Piechowiak,Thomas Aquinas ? Human Dignity and Conscience as a Basis for Restricting Legal Obligations,2016
MENGFA-2,Jennifer Mensch,Georg Forster and Therese Huber's Adventure to New Holland,forthcoming
WELIIA,Daniel Weltman,Illiberal Immigrants and Liberalism's Commitment to its Own Demise,2020
OSTTIM,Agustin Ostachuk,The Ideological Matrix of Science: Natural Selection and Immunity as Case Studies,2019
DEMPR-4,Mehmet Ruhi Demiray,Public Religion \& Secular State: A Kantian Approach,2017
KOCPC,Jeff Kochan,Popper's Communitarianism,2009
PARRP,Zuzana Parusnikov\'a and Robert S. Cohen,Rethinking Popper,2009
COFTGR,Nathan Cofnas,The Golden Rule: A Naturalistic Perspective,2022
GROECT,Ruth E. Groenhout,Essentialist Challenges to Liberal Feminism,2002
JONCMA,Matthew Jones,Chantal Mouffe's Agonistic Project: Passions and Participation,2014
MCLLAT-2,Stephen K. McLeod and Attila Tanyi,Liberalism and the Right to Strike,2022
ANCL,Aaron J. Ancell,Liberalism,2021
VINEWU,Robert Vinten,?Era Wittgenstein Un Fil\'{o}sofo Liberal?,2018
CRECTR,Sergio Volodia Marcello Cremaschi,"Charles Taylor, Radici Dell'io.",2000
BADELA,Gabriele Badano,"Equality, Liberty and the Limits of Person-Centred Care?s Principle of Co-Production",2019
PIETNS,Roland Pierik and Wibren van der Burg,The Neutral State and the Mandatory Crucifix,2011
ANDLCA-2,Andrew J. Cohen,"Liberalism, Communitarianism, and Asocialism",2000
HANFAA-4,Mark Hannam,Fire and Ashes: Success and Failure in Politics,manuscript
WALOUF,Andrzej Waleszczy\'{n}ski,On Unjust Forms of Marriage. Comments on the Discussion on Discrimination Against Same-Sex Couples,2018
GURPLA-2,Fuat Gursozlu,Political Liberalism and the Formative Political Elements,2014
FUQCEL,Jonathan Fuqua and Shannon Holzer,"Courting Epistemology: Legal Scholarship, the Courts, and the Rationality of Religious Belief",2014
SEPPLR,Dorota Sepczy\'{n}ska,Political Liberalism. Reason and Truth in Politics,2016
LONTL,Roderick Long,Two Liberalisms,2015
PRELYF,Felipe Gim\'{e}nez P\'{e}rez,Liberalismo y Fascismo En Ortega y Gasset / Liberalism and Fascism in Ortega y Gasset,2001
SAGDEA,Nick C. Sagos,"Democracy, Emergency, and Arbitrary Coercion: A Liberal Republican View",2014
LOPOYG,Francisco L\'{o}pez Fr\'{i}as,Ortega y Gasset: On Being Liberal in Spain,1990
RISLD,David T. Risser,Liberal Democracy,2001
JONLAS-3,Robert Jones,"Liberalism and Sociology: L. T. Hobhouse and Political Argument in England, 1880-1914. Stefan Collini",1981
KAHJWT,Leonard Kahn,"Just War Theory, Political Liberalism, and Non-Combatant Immunity",2010
COHTCC-2,Andrew Jason Cohen,The Communitarian Critique of Liberalism's Individualism,1997
PEETEO-9,Ashwani Kumar Peetush,"The Ethics of Interconnectedness: Charles Taylor, No-Self, and Buddhism",2018
FALEGG,Francesca Falk,Eine Gestische Geschichte der Grenze: Wie der Liberalismus an der Grenze an Seine Grenzen Kommt,2011
STALSP-2,Michael Richard Starks,le Suicide Par la D\'{e}mocratie -Une N\'{e}crologie N Pour l' Am\'{e}rique Et le Monde,2020
DABAAO,Saad Dabbous and Jaan Islam,An Analysis of the Historical Application of Jihad and Implications on the Clash of Civilizations,2016
ISLATO,M. Rafiqul Islam,A Theory of Humanity: Part 2--Conditions for True Universalism,2017
MUCDSA-2,Roberto Mucelli,Dall'homo Sapiens All'homo Responsabilis. Verso Una Mutazione Antropologica,2018
AZCLDT,Andr\'{e}s Stark Az\'{o}car,La Democracia Tocquevilliana: Entre El Dualismo y la Dial\'{e}ctica de la Libertad,2016
VIHNSN,Luk\'{a}vs \v{S}vihura,Na\v{c}o S\'u N\'{a}m Humanitn\'e Vedy?,2016
FRACCN,Augustin Fragni\`{e}re,"Climate Change, Neutrality and the Harm Principle",2014
STAAMD,Michael Starks,"A Morte da Democracia, Liberalismo e Direitos Humanos",2020
DELLMD-38,Francisco Miguel Ortiz Delgado,"La Metaf\'{i}sica de Los Liberales. La Historia y El Progreso Seg\'{u}n Vicente Riva Palacio, Ignacio Manuel Altamirano e Ignacio Ram\'{i}rez ""El Nigromante"".",2020
STALMD-8,Michael Richard Starks,la Muerte de la Democracia El Liberalismo y El Derechos Humanos,2020
FERPPS,Avigail Ferdman,Perfectionist Public Space: A Political Philosophy Approach,2018
