ID,Author,Title,Year
DERTCF-2,Keith DeRose,"The Case for Contextualism: Knowledge, Skepticism, and Context, Vol. 1",2009
EKLICE,Matti Eklund,"Intuitions, Conceptual Engineering, and Conceptual Fixed Points",2015
SYTANP,Justin Sytsma and Jonathan Livengood,A New Perspective Concerning Experiments on Semantic Intuitions,2011
MARAAP-33,Neri Marsili and Mitchell Green,Assertion: A (Partly) Social Speech Act,2021
MARASM-2,Genoveva Marti,Against Semantic Multi-Culturalism,2009
CULALB,Jennifer Culbertson and Steven Gross,Are Linguists Better Subjects?,2009
MACSIR,Edouard Machery and Max Deutsch and Ron Mallon and Shaun Nichols and Justin Sytsma and Stephen P. Stich,Semantic Intuitions: Reply to Lam,2010
FISILS,Eugen Fischer and Paul E. Engelhardt,"Intuitions' Linguistic Sources: Stereotypes, Intuitions and Illusions",2016
DEVIIL,Michael Devitt,Intuitions in Linguistics,2006
MAYLI,Jeffrey Maynes and Steven Gross,Linguistic Intuitions,2013
HAUNEO,Matthew C. Haug,Philosophical Methodology: The Armchair or the Laboratory?,2013
DOWTMI,Janice J. L. Dowell,The Metaethical Insignificance of Moral Twin Earth,2010
DELTLO-12,Guillermo Del Pinal,"The Logicality of Language: A New Take on Triviality, ?Ungrammaticality?, and Logical Form",2017
FISLSS-2,Eugen Fischer and Paul E. Engelhardt,Lingering Stereotypes: Salience Bias in Philosophical Argument,2019
BACSSI,Kent Bach,Seemingly Semantic Intuitions,2002
HANLEA-15,Nat Hansen and Emmanuel Chemla,Linguistic Experiments and Ordinary Language Philosophy,2015
CULRLI,Jennifer Culbertson and Steven Gross,Revisited Linguistic Intuitions,2011
ALEKIA,Alexander Dinges,"Knowledge, Intuition and Implicature",2018
HANEPO-2,Nathaniel Hansen,Experimental Philosophy of Language,2015
FITLI,Gareth Fitzgerald,Linguistic Intuitions,2010
GROLIE,Steven Gross,Linguistic Intuitions: Error Signals and the Voice of Competence,2020
COHIIP,Daniel Cohnitz and Jussi Haukioja,Intuitions in Philosophical Semantics,2015
BOHUOK,Niels Bohr,Unity of Knowledge,1958
TEXDOT-2,Mark Textor,Devitt on the Epistemic Authority of Linguistic Intuitions,2009
TURYGB,John Turri,You Gotta Believe,2013
SMIWWS-3,Barry C. Smith,Why We Still Need Knowledge of Language,2006
JACSIC,Henry Jackman,"Semantic Intuitions, Conceptual Analysis, and Cross-Cultural Variation",2008
HANOAA-2,Nat Hansen,On an Alleged Truth/Falsity Asymmetry in Context Shifting Experiments,2012
DEVLIR-2,Michael Devitt,Linguistic Intuitions Revisited,2010
MOLPAL,Friederike Moltmann,Philosophical and Linguistic Intuitions and the Core-Periphery Distinction,forthcoming
BRIIIR,Adrian Briciu,Indexicals in Remote Utterances,2018
HANASO-3,Nat Hansen,A Slugfest of Intuitions: Contextualism and Experimental Design,2013
JACIAS-2,Henry Jackman,Intuitions and Semantic Theory,2005
TURLII,John Turri,Linguistic Intuitions in Context: A Defense of Nonskeptical Pure Invariantism.,2014
REYCIA,Georges Rey,"Conventions, Intuitions and Linguistic Inexistents: A Reply to Devitt",2006
Olsen2017-SKOAOS,Niels Skovgaard{-}Olsen,Putting Inferentialism and the Suppositional Theory of Conditionals to the Test,2017
MAYLIA,Jeffrey Maynes,Linguistic Intuition and Calibration,2012
JACOLC-2,Henry Jackman,"Ordinary Language, Conventionalism and a Priori Knowledge",2001
SMIWWK,Barry C. Smith,What We Know When We Know a Language,2005
MIEI-3,Nenad Mi\v{s}v{c}evi\'c,Intuitions,2006
DBRFCU,Ewa D\k{a}browska,"Functional Constraints, Usage, and Mental Grammars: A Study of Speakers' Intuitions About Questions with Long-Distance Dependencies",2013
DEVMIT,Michael Devitt,Methodology in the Philosophy of Linguistics,2008
AMBCUV,Ben Ambridge and Julian M. Pine and Caroline F. Rowland,Children Use Verb Semantics to Retreat From Overgeneralization Errors: A Novel Verb Grammaticality Judgment Study,2011
AHLPWI-4,Kristoffer Ahlstrom{-}Vij,Philosophy Without Intuitions. By Herman Cappelen,2013
FIELI,Robert Fiengo,Linguistic Intuitions,2003
DEVWIA-3,Michael Devitt,What ?Intuitions? Are Linguistic Evidence?,2010
SMIWIK,Barry C. Smith,What I Know When I Know a Language,2005
JEFLI,Steven Gross Jeffrey Maynes,Linguistic Intuitions,2013
BALLIA,Stephen W. Ball,Linguistic Intuitions and Varieties of Ethical Naturalism,1991
BEGKGY,Keith Begley,Katz Got Your Tongue? The Metaphysics of Words,2023
NEFTPO-5,Ryan M. Nefdt,The Philosophy of Linguistics: Scientific Underpinnings and Methodological Disputes,2019
LAPMGI,Jey Han Lau and Alexander Clark and Shalom Lappin,Measuring Gradience in Speakers' Grammaticality Judgements,
BLUDAL,Roland Bluhm,"Don't Ask, Look! Linguistic Corpora as a Tool for Conceptual Analysis",2013
CAPREA,Herman Cappelen and Douglas G. Winblad,"""Reference"" Externalized and the Role of Intuitions in Semantic Theory",1999
MARLAA-16,Jes\'{u}s Gerardo Mart\'{i}nez del Castillo,Linguistics as a Theory of Knowledge,2015
MOLTSA-5,Friederike Moltmann,"Truthmaking, Satisfaction and the Force-Content Distinction",2021
GROLJA-2,Steven Gross,Linguistic Judgments as Evidence,forthcoming
MAYIIE,Jeffrey Maynes,Interpreting Intuition: Experimental Philosophy of Language,2015
ROOSI,Michael D. Root,Speaker Intuitions,1976
BSHQQ,Ahmad Bsharat,"????? ""?????"" ?""??????? ?????"" ????? ?? ???? ?????? ?? ????????? ??? ??????? ??? ???????",2019
LONCGA,Guy Longworth,Conflicting Grammatical Appearances,2007
HUGLIA,Thomas J. Hughes,"Linguistic Intuitions and the Faculty of Language: Samuel Schindler, Anna Dro\.{z}d\.{z}owicz, and Karen Br\o{}cker (Eds): Linguistic Intuitions: Evidence and Method. Oxford: Oxford University Press, 2020, 302Pp, \pounds65 Hb",2021
SEEEPA,Max Seeger,Experimental Philosophy and the Twin Earth Intuition,2010
COLPOL-2,John Collins and Robert J. Matthews and Barry C. Smith and Brian Epstein,Philosophy of Linguistics,2008
GRAMAC-6,Cosmo Grant,Mistakes About Conventions and Meanings,2019
BATTOP,Jared Bates,The Old Problem of Induction and the New Reflective Equilibrium,2005
LUDIOL,Peter Ludlow,Ignorance of Language,2009
WOLCFA,Jan Wole\'{n}ski,Czy Filozof Analityczny Potrzebuje Epistemicznej Viagry?,2000
SOLT,Jorie Soltic,The \ensuremath{\Pi}?\ensuremath{\lambda}\ensuremath{\iota}\ensuremath{\tau}\ensuremath{\iota}\ensuremath{\kappa}?\ensuremath{\varsigma} \ensuremath{\Sigma}\ensuremath{\tau}?\ensuremath{\chi}?\ensuremath{\varsigma} Poetry as Reliable Evidence of Linguistic Phenomena,2013
OLISAC-3,Mich\`{e}le Olivi\'{e}ri,Syntax and Corpora,2010
BEVTLO-3,Thomas G. Bever,The Limits of Intuition,1972
WOOSIC,John Woods,Semantic Intuitions: Conflict Resolution in the Formal Sciences,1996
SOMIR,Gergo Somodi,Ignorance Radicalized,2009
JEDORJ-2,Anna Jedynak,O Relatywizmie J\k{e}zykowym Raz Jeszcze,2009
WALPWI,Adrian Walsh,"Philosophy Without Intuitions, by Cappelen Herman",2014
SCHLES-2,"Carson T. Sch\""{u}tze","Linguistic Evidence, Status Of",2003
