ID,Author,Title,Year
EAGIAI,Terry Eagleton,Ideology: An Introduction,1983
ARIP-24,W. Hamilton Aristotle and W. Rhys Longinus and Demetrius and Fyfe and Roberts,Poetics,2006
MARFTP-7,Neri Marsili,Fictions That Purport to Tell the Truth,2022
NIGGID-2,Andrea Wilson Nightingale,Genres in Dialogue: Plato and the Construct of Philosophy,1995
TUNRFC,Emine Hande Tuna,Recovering Fictional Content and Emotional Engagements with Fiction,forthcoming
CURLFF,Greg Currie and Heather Ferguson and Jacopo Frascaroli and Stacie Friend and Kayleigh Green and Lena Wimmer,Learning From Fiction,2023
STOOTC,Jerome Stolnitz,On the Cognitive Triviality of Art,1992
GIBCAT-2,John Gibson,Cognitivism and the Arts,2008
ANTPTH,Maria Antonaccio,Picturing the Human: The Moral Thought of Iris Murdoch,2000
SIMAAP-5,Vid Simoniti,Art as Political Discourse,2021
BOVATO,Martijn Boven,A Theater of Ideas: Performance and Performativity in Kierkegaard?s Repetition,2018
GIBFAT-3,John Gibson,Fiction and the Weave of Life,2007
HERENW,David Herman and Richard J. Gerrig,Experiencing Narrative Worlds: On the Psychological Activities of Reading,1997
XHIIFC,Michel{-}Antoine Xhignesse,Imagining Fictional Contradictions,2020
TERSFA,Enrico Terrone,Science Fiction as a Genre,2021
RYALTA-3,Michael Ryan and Terry Eagleton,Literary Theory: An Introduction,1984
LIVHLS,Paisley Livingston and Michel Serres and Josue V. Harari and David F. Bell,"Hermes: Literature, Science, Philosophy",1983
MARFTD-13,Neri Marsili,Fictions That Don?T Tell the Truth,2024
EGALAT,David Egan,Literature and Thought Experiments,2016
LAMTPO-21,Peter Lamarque,The Philosophy of Literature,2008
GASLTA-2,Richard Gaskin,"Language, Truth, and Literature: A Defence of Literary Humanism",2013
HERLTA-3,David Herman and Terry Eagleton,Literary Theory: An Introduction,1998
MCHTLO-3,Jakub M\'{a}cha,The Logic of Exemplarity,forthcoming
DAVTPO-75,Stephen Davies,The Philosophy of Art,2006
MILTSO-68,Michael Milona and Lauren Weindling,The Story of Romantic Love and Polyamory,forthcoming
PLUONA,Gilbert Plumer,On Novels as Arguments,2015
COVTPO,Florian Cova and Amanda Garcia,The Puzzle of Multiple Endings,2015
GIBBTA,John Gibson,Between Truth and Triviality,2003
STABLO,Alejo Stark,Brecht?s Life of Galileo: Staging Theory of the Encounter of Practices,2024
XHITTW,Michel{-}Antoine Xhignesse,The Trouble with Poetic Licence,2016
LANHTD-3,Joshua Landy,How to Do Things with Fictions,2012
GREEEA,Mitchell Green,"Empathy, Expression, and What Artworks Have to Teach",2008
MOTABT,Ioan{-}Radu Motoarc?,A Bad Theory of Truth in Fiction,2017
DEUTPO-2,Paul Deussen,The Philosophy of the Upanishads,1906
CARTRC-4,"No\""{e}l Carroll and John Gibson",The Routledge Companion to Philosophy of Literature,2015
PLUADO,Gilbert Plumer,A Defense of Taking Some Novels as Arguments,2015
SPEHLA-4,Allen Speight,"Hegel, Literature, and the Problem of Agency",2001
SWIOLA-2,Peter Swirski,"Of Literature and Knowledge: Explorations in Narrative Thought Experiments, Evolution, and Game Theory",2006
WILTTI-3,Rowan Williams,The Tragic Imagination: The Literary Agenda,2016
EARCAC-7,Christopher Earley,Co-Producing Art's Cognitive Value,forthcoming
GAUTFA-5,Berys Gaut,"Truth, Fiction, and Literature: A Philosophical Perspective",1996
TOGTSO-2,Neal A. Tognazzini,The Strains of Involvement,2015
CATLAK,Catherine Wilson,Literature and Knowledge,1983
MARPAL,Jim Marshall,Philosophy as Literature,2008
MIKOST,Jukka Mikkonen,On Studying the Cognitive Value of Literature,2015
HUEEWW,Wolfgang Huemer,Engaging with Works of Fiction,2019
SIMLPA-5,Karen Simecek,Linking Perspectives: A Role for Poetry in Philosophical Inquiry,2022
CARLTE-3,"No\""{e}l Carroll","Literature, the Emotions, and Learning",2020
DELLRC-7,Jes\'{u}s Miguel Delgado Del Aguila,"?La Ret\'{o}rica Contempor\'{a}nea (la Ret\'{o}rica de Hoy) Incluye Muchas Disciplinas Que Se Han Desarrollado En Los Siglos Xx y Xxi; Entonces, Es Una Especie de Teor\'{i}a de Las Teor\'{i}as?. Entrevista a Stefano Arduini",2023
MCGNRA-2,Rafe McGregor,Narrative Representation and Phenomenological Knowledge,2016
ROWLAO,M. W. Rowe,Lamarque and Olsen on Literature and Truth,1997
BRUSTT,Gerald L. Bruns and Geoffrey Hartman,Saving the Text: Literature/Derrida/Philosophy,1981
ROWLKA,M. W. Rowe,"Literature, Knowledge, and the Aesthetic Attitude",2009
DELEAA-14,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Audrey Louyer Sobre la Investigaci\'{o}n y la Canalizaci\'{o}n de la Literatura Peruana Fant\'{a}stica. Un Enfoque Franc\'{e}s (1st edition),2023
MYSTSI,Bj\o{}rn K. Myskja and Bj\o K. Myskja,"The Sublime in Kant and Beckett: Aesthetic Judgement, Ethics and Literature",2002
GAUTCO-11,Berys Nigel Gaut and Paisley Livingston,The Creation of Art: New Essays in Philosophical Aesthetics,2003
GORCNA,Mordechai Gordon,"Camus, Nietzsche, and the Absurd: Rebellion and Scorn Versus Humor and Laughter",2015
AGUVST,Jes\'{u}s Miguel Delgado Del Aguila,Violencia Social: Tem\'{a}tica Regularizada y Necesaria Para la Recepci\'{o}n de la Novela Policial Peruana (1990-2013),2023
CURTAL,Gregory Currie,Literature and Truthfulness,2012
BARTPO-41,Christopher Bartel,The Puzzle of Historical Criticism,2012
SUTTCO-4,John Sutton and Evelyn Tribble,"The Creation of Space: Narrative Strategies, Group Agency, and Skill in Lloyd Jones?s the Book of Fame",2014
PLUQES,Gilbert Plumer,Argumentatively Evil Storytelling,2016
HARLC-4,James Harold,Literary Cognitivism,2015
LLOBIT-2,Genevieve Lloyd,Being in Time: Selves and Narrators in Philosophy and Literature,1993
KAJWMD,L\'{a}szl\'o Kajt\'{a}r,What Mary Didn't Read: On Literary Narratives and Knowledge,2016
HOSITI,John Hospers,Implied Truths in Literature,1960
AGUEAC-3,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a Cristhian Brice\~{n}o \'{A}ngeles Sobre Los Escritores y Las Editoriales,2023
BLUFFA,Ben Blumson,"Fact, Fiction, and Fantasy",2015
PUCTDO,Martin Puchner,The Drama of Ideas: Platonic Provocations in Theater and Philosophy,2010
PALRGM-3,Wolfgang Palaver,Ren\'e Girard's Mimetic Theory,2013
YOUTPO-18,Julian Young,The Philosophy of Tragedy: From Plato to \v{Z}i\v{z}ek,2013
AGUEAV,Jes\'{u}s Miguel Delgado Del Aguila,Entrevista a V\'{i}ctor Manuel Ramos. ?Hay Palabras Usadas En Nuestra Lengua Espa\~{n}ola Que Provienen de Las Lenguas Precolombinas y de Las Que Actualmente Se Hablan En El Pa\'{i}s?,2023
DAVLAT-3,Edward A. Davenport,Literature as Thought Experiment (on Aiding and Abetting the Muse,1983
KOLHRR,Sara Kolmes and Matthew A. Hoffman,Harlequin Resistance? Romance Novels as a Model for Resisting Objectification,2021
MCGTVO-3,Rafe McGregor,The Value of Literature,2016
EAGTEO-3,Terry Eagleton,The Event of Literature,2012
JONOAA-2,John Jones,On Aristotle and Greek Tragedy,1968
AIRTPO-5,Timo Airaksinen,The Philosophy of the Marquis de Sade,1995
CONLKA,Oliver Conolly and Bashar Haydar,"Literature, Knowledge, and Value",2007
CHABAR,Marc Champagne and Mimi Reisel Gladstein,"Beauvoir and Rand: Asphyxiating People, Having Sex, and Pursuing a Career",2015
GIBFAT-6,Jukka Mikkonen,Fiction and the Weave of Life,2008
AGUADL-3,Jes\'{u}s Miguel Delgado Del Aguila,An\'{a}lisis de la Realidad Textual En Niebla (1914) de Miguel de Unamuno,2021
STRSSK,Scott R. Stroud,"Simulation, Subjective Knowledge, and the Cognitive Value of Literary Narrative",2008
STEBOI,Jon Stewart,Borges on Immortality,1993
BUNIIT,Peer F. Bundgaard and Frederik Stjernfelt,Investigations Into the Phenomenology and the Ontology of the Work of Art: What Are Artworks and How Do We Experience Them?,2015
PLUASA-2,Gilbert Plumer,"Analogy, Supposition, and Transcendentality in Narrative Argument",2017
HUEGEF,Wolfgang Huemer,Gibt Es Fehler Im Fiktionalen Kontext? Grenzen der Dichterischen Freiheit,2010
NANTDO-5,Bence Nanay,The Dethroning of Ideocracy,2014
DENCSP-3,A. E. Denham,"Ethical Estrangement: Pictures, Poetry and Epistemic Value",2015
PEEHLD,Rik Peels,"How Literature Delivers Knowledge and Understanding, Illustrated by Hardy?s Tess of the D?Urbervilles and Wharton?s Summer",2020
HARWIF-4,Bernard Harrison,What is Fiction For?: Literary Humanism Restored,2014
REPWWW,C. Repp,What's Wrong with Didacticism?,2012
GRATAT-10,Floyd Gray and Timothy J. Reiss,Tragedy and Truth. Studies in the Development of a Renaissance and Neoclassical Discourse,1980
BURPOG-2,Mikel Burley,Possibilities of Grieving,2015
VARSOD,Dimitris Vardoulakis,Spectres of Duty: The Politics of Silence in Ibsen?s Ghosts,2009
EDWOTR-2,Terence Rajivan Edward,Objections to Robert Graves?s the Greek Myths,manuscript
MIKTSO,Jukka Mikkonen,The Stories of Our Lives,2019
GEOTPO-11,Theodore George,The Promise of World Literature,2014
KAPAFT,Alice Y. Kaplan and Susan Rubin Suleiman,Authoritarian Fictions: The Ideological Novel as a Literary Genre,1985
LANNPA,Joshua Landy,"Nietzsche, Proust, and Will-to-Ignorance",2002
RUPLAP,Rupert J. Read,Literature as Philosophy of Psychopathology: William Faulkner as Wittgenstein,2003
SIRTFF,M. J. Sirridge,Truth From Fiction?,1975
CLARAA-7,Samuel Clark,Rationalism About Autobiography,2019
BENNEO-5,"Gisela Bengtsson and Simo S\""{a}""{a}tel\""a and Alois Pichler",New Essays on Frege: Between Science and Literature,2018
FENIPD,Gene Fendt,Ion,1997
PAGLAA,Jeremy Page,Literary Appreciation and the Reconfiguration of Understanding,2022
PLUWPA-2,Gilbert Plumer,When Paintings Argue,2024
HUEWEL,Wolfgang Huemer,Wittgenstein e la Letteratura,2013
MCGSSA-3,Rafe McGregor and Reece Burns,Social Science as a Kind of Writing,2024
AGULIE,Jes\'{u}s Miguel Delgado Del Aguila,La Iron\'{i}a En la Ciudad y Los Perros (1963) Como Canalizadora de la Violencia,2022
CLAHTL-2,Stephen R. L. Clark,How to Live Forever: Science Fiction and Philosophy,1995
MAGNCP-3,Bernd Magnus and Stanley Stewart and Jean{-}Pierre Mileur,Nietzsche's Case: Philosophy as/and Literature,1992
NEWPOL-2,Christopher New,Philosophy of Literature: An Introduction,1999
GIBPEA,Andrew Gibson,"Postmodernity, Ethics and the Novel: From Leavis to Levinas",1999
LANDFT,Joshua Landy,"Don't Feed the Liars! On Fraudulent Memoirs, and Why They're Bad",2022
AGUUBI,Jes\'{u}s Miguel Delgado Del Aguila,Una B\'{u}squeda Inconclusa Del Campo Ret\'{o}rico de Trilce (1922),2022
AGUCTD-2,Jes\'{u}s Miguel Delgado Del Aguila,Construcci\'{o}n Te\'{o}rica Del Campo Figurativo Para El An\'{a}lisis L\'{i}rico (1st edition),2021
TRSDST,Katrin Tru?stedt,Derrida's Shylock: The Letter and the Life of Law,2019
COUFIA,S. G. Couvalis,"Feyerabend, Ionesco, and the Philosophy of the Drama",1988
AUMKPA,Antony Aumann,"Kierkegaard, Paraphrase, and the Unity of Form and Content",2013
AGUEVE,Jes\'{u}s Miguel Delgado Del Aguila,Estratificaci\'{o}n Violenta En Los Personajes de la Ciudad y Los Perros,2021
OLEKAI,Ole Martin Skille\a{a}s,Knowledge and Imagination in Fiction and Autobiography,2006
INKNGA,Andrew Inkpin,Nietzsche?s Genealogy: A Textbook Parody,2018
HUEWSU,Wolfgang Huemer,"Wittgenstein, Sprache Und Die Philosophie der Literatur",2006
AGUSHE,Jes\'{u}s Miguel Delgado Del Aguila,Sistematizaci\'{o}n Hermen\'{e}utica En Torno a Las Representaciones Literarias de la Ciudad y Los Perros,2022
EDWOMK,Terence Rajivan Edward,On Milan Kundera?s Definition of Graphomania,manuscript
GLETAR,Stavroula Glezakos,Truth and Reference in Fiction,2011
VARNLB,Dimitris Vardoulakis,"Not Life, but Bad Literature",2013
AGUEED-2,Jes\'{u}s Miguel Delgado Del Aguila,Enfoque Educativo de la Ciudad y Los Perros (1963): Adquisici\'{o}n Necesaria de la Violencia Para Los Personajes (1st edition),2022
