ID,Author,Title,Year
CLIEPA-3,Nevin Climenhaga,"Epistemic Probabilities Are Degrees of Support, Not Degrees of (Rational) Belief",2024
CARTTC,Rudolf Carnap,The Two Concepts of Probability: The Problem of Probability,1945
KEYTTO,John Maynard Keynes,A Treatise on Probability,1921
HAEPLA-2,Rolf Haenni and Jan{-}Willem Romeijn and Gregory Wheeler and Jon Williamson,Probabilistic Logics and Probabilistic Networks,2010
MELPAP-4,D. H. Mellor,Probability: A Philosophical Introduction,2004
PETTPP-8,Richard Pettigrew,The Principal Principle Does Not Imply the Principle of Indifference,2017
STOTRO-4,David Charles Stove,The Rationality of Induction,1986
FRATSO,James Franklin,The Science of Conjecture: Evidence and Probability Before Pascal,2001
COHTQA,L. Jonathan Cohen,Twelve Questions About Keynes's Concept of Weight,1986
HAWDAD,James Hawthorne,Degree-of-Belief and Degree-of-Support: Why Bayesians Need Both Notions,2005
FRARLP,James Franklin,Resurrecting Logical Probability,2001
HOLTOO-11,Wesley H. Holliday and Matthew Mandelkern,The Orthologic of Epistemic Modals,manuscript
NORAEA-3,Jill North,An Empirical Approach to Symmetry and Probability,2010
WHEEPA,Gregory Wheeler and Jon Williamson,Evidential Probability and Objective Bayesian Epistemology,2011
BIGPWF,John C. Bigelow,Possible Worlds Foundations for Probability,1976
PARPIL-3,Jeffrey Paris and Alena Vencovsk\'a,Pure Inductive Logic,2011
HOWMTL,C. Howson,Must the Logical Probability of Laws Be Zero?,1973
VOLPAT-4,S\'{e}rgio B. Volchan,Probability as Typicality,2007
WILPOP-3,Jon Williamson,Philosophies of Probability: Objective Bayesianism and its Challenges,manuscript
ROWOTP-2,Darrell Patrick Rowbottom,On the Proximity of the Logical and ?Objective Bayesian? Interpretations of Probability,2008
HILAAP,A. Hill and J. B. Paris,An Analogy Principle in Inductive Logic,2013
BIGSOP,John C. Bigelow,Semantics of Probability,1977
VICCAS,John M. Vickers,Chance and Structure: An Essay on the Logical Foundations of Probability,1988
PEDPAA,William Peden,Probability and Arguments: Keynes?s Legacy,2021
ROWBPR,Darrell Patrick Rowbottom,Bertrand's Paradox Revisited: Why Bertrand's 'Solutions' Are All Inapplicable,2013
ROWPMO,Darrell Patrick Rowbottom,Popper?s Measure of Corroboration and P,2013
PEDIPA,William Peden,"Imprecise Probability and the Measurement of Keynes's ""Weight of Arguments""",2018
EASVOC,Kenny Easwaran,Varieties of Conditional Probability,2011
FRATOB,James Franklin,The Objective Bayesian Conceptualisation of Proof and Reference Class Problems,2011
KRAROS,Peter H. Krauss,Representation of Symmetric Probability Models,1969
STOD,D. Stove,Deductivism,1970
KOSCRM,Jakob Koscholke,Carnap?s Relevance Measure as a Probabilistic Measure of Coherence,2017
Costa2001-ARLIPK,Horacio Arl\'o{-}Costa and Richmond Thomason,Iterative Probability Kinematics,2001
WILICA-4,Alastair Wilson,Introduction: Chance and Temporal Asymmetry,2014
SCHNIO-2,Wolfgang Schwarz,No Interpretation of Probability,2018
LANASO-2,J. Landes and J. B. Paris and A. Vencovsk\'a,A Survey of Some Recent Results on Spectrum Exchangeability in Polyadic Inductive Logic,2011
GALTME-2,Maria Carla Galavotti,The Modern Epistemic Interpretations of Probability: Logicism and Subjectivism,2011
LUKTPO,Stefan Lukits,The Principle of Maximum Entropy and a Problem in Probability Kinematics,2014
EDGTPO,F. Y. Edgeworth,The Philosophy of Chance,1884
EDGTPO-2,F. Y. Edgeworth,The Philosophy of Chance,1922
LEVPLL-3,Isaac Levi,"Probability Logic, Logical Probability, and Inductive Support",2010
HOWAEO-7,E. Howarth and J. B. Paris and A. Vencovsk\'a,An Examination of the Sep Candidate Analogical Inference Rule Within Pure Inductive Logic,2016
PARCAS-8,J. B. Paris and A. Vencovsk\'a,Combining Analogical Support in Pure Inductive Logic,2016
FENTSO,Jens Erik Fenstad,The Structure of Logical Probabilities,1968
CARTTC-5,Rudolph Carnap,The Two Concepts of Probability,1944
KANBAP-2,Yusuke Kaneko,Belief as Probability,2007
HILRBA,Alexandra Hill and J. B. Paris,Reasoning by Analogy in Inductive Logic,2011
CUFWOP,Michael E. Cuffaro,Wittgenstein on Prior Probabilities,2010
JREP,Henry E. Kyburg Jr,Epistemological Probability,1971
KEMCOP-2,John G. Kemeny,Carnap on Probability,1951
KLYIDO,D. Klyve,In Defense of Bertrand: The Non-Restrictiveness of Reasoning by Example,2013
DORPLO,Georg J. W. Dorn,Popper?s Laws of the Excess of the Probability of the Conditional Over the Conditional Probability,1992/93
PARANO-9,Jeff B. Paris and Alena Vencovsk\'a,A Note on Irrelevance in Inductive Logic,2011
FRADS-2,James Franklin,"David Stove (1927-1994), Sydney Philosopher and Master of Argument: Life and Work",2021
VANIT,Bas C. van Fraassen,Indifference : The Symmetries of Probability,2010
BONSUC,Stefano Bonzio and Tommaso Flaminio and Paolo Galeazzi,Sure-Wins Under Coherence: A Geometrical Perspective,2019
PARAIL,J. B. Paris and A. Vencovska,Ancient Indian Logic and Analogy,2017
HASACT-4,Cael Hasse,"A Comprehensive Theory of Induction and Abstraction, Part Ii",manuscript
PARAOO-3,J. B. Paris,An Observation on Carnap?s Continuum and Stochastic Independencies,2013
STOPAH-11,David Charles Stove,Probability and Hume's Inductive Scepticism,1973
KLISOI-2,M. S. Kliess and J. B. Paris,Second Order Inductive Logic and Wilmers' Principle,2014
FRANLI-2,James Franklin,Non-Deductive Logic in Mathematics: The Probability of Conjectures,2013
DORIUW,Georg J. W. Dorn,Induktion Und Wahrscheinlichkeit. Ein Gedankenaustausch MIT Karl Popper,2002
PIECIO-3,Wolfgang Pietsch,Causal Interpretations of Probability,2015
VENFTE,Alena Vencovsk\'a and Jeff B. Paris,The Twin Continua of Inductive Methods,2015
VETLPM,Hermann Vetter,"Logical Probability, Mathematical Statistics, and the Problem of Induction",1969
LEBPFA-2,Hugues Leblanc and Charles G. Morgan,Probability Functions and Their Assumption Sets -- the Binary Case,1984
RITIAP,A. D. Ritchie,Induction and Probability,1926
HEMOTL-2,C. G. Hempel,On the Logical Form of Probability-Statements,1937
PEDPAS-2,William Peden,Probability and Statistics in the Tinbergen-Keynes Debates,2022
JOSMKO,H. W. B. Joseph,Mr. Keynes on Probability,1923
EAGPAI-2,Antony Eagle,Probability and Inductive Logic,manuscript
PRUCLP,Pawe\l Pruski,Carnap?s Logical Probability and Free Will Dilemma,2022
DINAAT-4,Antonio Di Nola and Anatolij Dvure\v{c}enskij and Serafina Lapenta,An Approach to Stochastic Processes Via Non-Classical Logic,2021
FULTAP,Joseph S. Fulda and Kevin De Fontes,The a Priori Meaningfulness Measure and Resolution Theorem Proving,1989
COUP,D. R. Cousin,Probability,1954
VONCTO,Georg Henrik von Wright,Carnap's Theory of Probability,1951
HOWTDO-5,Colin Howson,The Development of Logical Probability,1976
LONSMA,Bruce Long,Scientific Metaphysics and Information,forthcoming
KLIPEA,M. S. Kliess and J. B. Paris,Predicate Exchangeability and Language Invariance in Pure Inductive Logic,2014
PARSIP,J. B. Paris and A. Vencovsk\'a,Symmetry in Polyadic Inductive Logic,2012
MILHDP,David Miller,How Does Probability Theory Generalize Logic?,2004
HORCIP,Joachim Hornung,Carnap's Inductive Probabilities as a Contribution to Decision Theory,1980
PHIATO,John F. Phillips,A Theory of Objective Chance,2005
KEMATO,John G. Kemeny,A Treatise on Induction and Probability,1953
WEBIIB,Matthew Weber and Daniel Osherson,Inductive Inference Based on Probability and Similarity,unknown
HOWTTO-3,E. Howarth and J. B. Paris,The Theory of Spectrum Exchangeability,2015
KLISOI,M. S. Klie\ss and J. B. Paris,Second Order Inductive Logic and Wilmers' Principle,2014
KAMWCM,Andreas Kamlah,What Can Methodologists Learn From the History of Probability,1987
INSRAT,Manuel J. Inselmann and Benjamin D. Miller,Recurrence and the Existence of Invariant Measures,2021
MASTOP-3,George Masterton,The Only Probability is Verbal Probability,2014
MORARO,Halina Mortimer,A Rule of Acceptance Based on Logical Probability,1973
VID-6,Vassil Vidinsky,\CYRS\cyrl\cyru\cyrch\cyra\cyrishrt\cyrn\cyro\cyrs\cyrt\cyri. \CYRI\cyrs\cyrt\cyro\cyrr\cyri\cyrch\cyre\cyrs\cyrk\cyra \CYRT\cyri\cyrp\cyro\cyrl\cyro\cyrg\cyri\cyrya,2017
STOITT-2,D. C. Stove,Is the Theory of Logical Probability Groundless?,2010
HAIFOP,Theodore Hailperin,Foundations of Probability in Mathematical Logic,1937
JOHETO-4,Richard Johns,Epistemic Theories of Objective Chance,2020
MCKFQP,Daniel Kian Mc Kiernan,Formal Qualitative Probability,manuscript
FULESC,Joseph S. Fulda,Estimating Semantic Content: An a Priori Approach,1988
KATMAP,Louis Osgood Kattsoff,Modality and Probability,1937
HOWPOR,E. Howarth and J. B. Paris,Principles of Remembering and Forgetting,2014
REHMFO,Wulf Rehder,Modal Foundations of Probability Theory,1981
WILPCP,Donald C. Williams,Professor Carnap's Philosophy of Probability,1952
CARROP-3,Rudolf Carnap,Remarks on Probability,1963
VERROT-2,Lukas M. Verburgt,Remarks on the Idealist and Empiricist Interpretation of Frequentism: Robert Leslie Ellis Versus John Venn,2014
CRALOP,Harry Crane,Logic of Probability and Conjecture,
VANJMK-3,Ludwig van den Hauwe,John Maynard Keynes and Ludwig von Mises on Probability,2010
KELMPO,Michael Harry Kelley,Methodological Problems of Logical Probability,1969
SPITLS,Stephen Martin Spielman,The Logical Structure of Probability,1967
KHOPAA,N. V. Khovanov,Probability as a Measure of Necessity,1969
FRACAS-2,James Franklin,"\emph{Chance and Structure}, John M. Vickers",1990
