ID,Author,Title,Year
ALTLAP,Louis Althusser,"Lenin and Philosophy, and Other Essays",1971
ALTFM,Louis Althusser,For Marx,1969
SHASAT-3,Hasana Sharp,Spinoza and the Politics of Renaturalization,2011
PEDSCP,Knox Peden,Spinoza Contra Phenomenology: French Rationalism From Cavaill\`{e}s to Deleuze,2014
ALTEIS,Louis Althusser,Essays in Self-Criticism,1976
ALTEOI,Louis Althusser,Essays on Ideology,1976
MERRAD-2,Thomas Cl\'{e}ment Mercier,Re/Pro/Ductions: \c{C}a D\'{e}borde,2021
ALTCAO,Louis Althusser,Contradiction and Overdetermination,
ELLATD,Gregory Elliott,Althusser: The Detour of Theory,1987
ALTMAU,Louis Althusser,Machiavelli and Us,1999
ALTOI,Louis Althusser,On Ideology,2008
ALTPAT,Louis Althusser,Philosophy and the Spontaneous Philosophy of the Scientists \& Other Essays,1990
SIMTJH,Massimiliano Simons,The Janus Head of Bachelard?s Phenomenotechnique: From Purification to Proliferation and Back,2017
SHATFO-19,Hasana Sharp,The Force of Ideas in Spinoza,2007
BENTRA-2,Ted Benton,The Rise and Fall of Structural Marxism: Althusser and His Influence,1984
MERDSD-2,Thomas Cl\'{e}ment Mercier,"Diferencia Sexual, Diferencia Ideol\'{o}gica : Lecturas a Contratiempo (Derrida Lector de Marx y Althusser En la D\'{e}cada de 1970 y M\'{a}s All\'a)",2019
ALTPOT-2,Jason Read,Philosophy of the Encounter: Later Writings 1978?1987,2007
CHRTEO-24,Henry Chris,"The Ethics of Political Resistance: Althusser, Badiou, Deleuze",2019
HEMZAI,Michael Hemmingsen,Zhuangzi and Ideological Stgate Apparatuses,2024
ALTTFL,Louis Althusser and Richard Veasey,The Future Lasts Forever,1994
MERBTS,Thomas Cl\'{e}ment Mercier,Before the Specters: The Memory of a Promise (From the Archives),2020
MERSIT-5,Thomas Cl\'{e}ment Mercier,"Silence, in the Archives: Derrida?s Other Marx(S)",2020
BALTNO-5,\'E Balibar,The Non-Contemporaneity of Althusser,1993
