ID,Author,Title,Year
NUSTTO-2,Martha Craven Nussbaum,The Therapy of Desire: Theory and Practice in Hellenistic Ethics,1994
NUSTTO-8,Martha C. Nussbaum,The Therapy of Desire: Theory and Practice in Hellenistic Ethics,2009
LONTHP-5,A. A. Long and D. N. Sedley,"The Hellenistic Philosophers: Volume 1, Translations of the Principal Sources with Philosophical Commentary",1987
SERTBO,Michel Serres,The Birth of Physics,2018
ANNHPO,Julia Annas,Hellenistic Philosophy of Mind,1992
WARFDE,James Warren,Facing Death: Epicurus and His Critics,2004
LONHPS,A. A. Long,"Hellenistic Philosophy: Stoics, Epicureans, Sceptics",1986
OKEE-3,Tim O'Keefe,Epicureanism,2009
MEIWMI-3,Lukas J. Meier,What Matters in the Mirror of Time: Why Lucretius? Symmetry Argument Fails,2019
FURTSI-2,David J. Furley,"Two Studies in the Greek Atomists: Study I, Indivisible Magnitudes; Study Ii, Aristotle and Epicurus on Voluntary Action",1967
VARSTE,Dimitris Vardoulakis,"Spinoza, the Epicurean: Authority and Utility in Materialism",2020
SEDLAT,David N. Sedley,Lucretius and the Transformation of Greek Wisdom,1998
FISTEO-4,John Martin Fischer and Anthony Brueckner,The Evil of Death and the Lucretian Symmetry: A Reply to Feldman,2013
BOBDED,Susanne Bobzien,Did Epicurus Discover the Free-Will Problem?,2000
WILEAT-4,Catherine Wilson,Epicureanism at the Origins of Modernity,2008
FELBAF,Fred Feldman,Brueckner and Fischer on the Evil of Death,2013
FELTTT,Fred Feldman,The Termination Thesis,2000
NUSMIL,Martha C. Nussbaum,Mortal Immortals: Lucretius on Death and the Voice of Nature,1989
HAMTSI-4,D. W. Hamlyn and David J. Furley,Two Studies in the Greek Atomists,1968
ROSTSA-3,Stephen E. Rosenbaum,The Symmetry Argument: Lucretius Against the Fear of Death,1989
MITOHT,Phillip Mitsis,The Oxford Handbook to Epicurus and Epicureanism,2020
NUSTTO-3,Richard Kraut,The Therapy of Desire: Theory and Practice in Hellenistic Ethics,1994
KONALW,David Konstan,A Life Worthy of the Gods: The Materialist Psychology of Epicurus,2008
DENHAD-4,Natalja Deng,How a-Theoretic Deprivationists Should Respond to Lucretius,2015
GERTER-4,Lloyd P. Gerson,The Epicurus Reader: Selected Writings and Testimonia,1994
OKEEOF,Tim O'Keefe,Epicurus on Freedom,2005
SEDLAT-3,David Sedley,Lucretius and the Transformation of Greek Wisdom,2000
FISACA-2,John Martin Fischer and Anthony Brueckner,Accommodating Counterfactual Attitudes: A Further Reply to Johansson,2014
GOLDTA-5,Alan H. Goldman,Death: The Asymmetry Mystery,2023
ENGEOT-2,Walter G. Englert,Epicurus on the Swerve and Voluntary Action,1987
BROTRO-8,Alison Brown,The Return of Lucretius to Renaissance Florence,2010
GALMAP-2,Monica R. Gale,Myth and Poetry in Lucretius,1994
KAUDAD,Frederik Kaufman,"Death and Deprivation; or, Why Lucretius' Symmetry Argument Fails",1996
TAYLAT-3,Barnaby Taylor,Lucretius and the Language of Nature,2020
MJEJ,John Armstrong,Epicurean Justice,1997
AIKEOD,Scott Aikin,Epicureans on Death and Lucretius? Squandering Argument,2022
CLALAE,Diskin Clay,Lucretius and Epicurus,1983
JONTET,Howard Jones,The Epicurean Tradition,1992
FINYAE,Peter Finocchiaro and Meghan Sullivan,Yet Another ?Epicurean? Argument,2016
ROB-76,Jan Maximilian Robitzsch,?\ensuremath{\pi}\ensuremath{\iota}\ensuremath{\beta}?\ensuremath{\lambda}\ensuremath{\eta} ?\ensuremath{\eta}\ensuremath{\sigma} \ensuremath{\Delta}\ensuremath{\iota}\ensuremath{\alpha}\ensuremath{\nu}?\ensuremath{\iota}\ensuremath{\alpha}\ensuremath{\sigma}: Reflections on the Fourth Epicurean Criterion of Truth,2021
MCMTLA,Jeff McMahan,The Lucretian Argument,2006
HUSTSI,Edward Hussey and David J. Furley,Two Studies in the Greek Atomists,1969
WARTCC-7,James Warren,The Cambridge Companion to Epicureanism,2009
BARPT,Jonathan Barnes and Miriam T. Griffin,Philosophia Togata,1997
KAHDWA,Charles H. Kahn,Discovering Will:From Aristotle to Augustine,1988
VARWIS,Dimitris Vardoulakis,Why is Spinoza an Epicurean?,2020
BAKEMS,Fredericus Antonius Bakker,"Epicurean Meteorology: Sources, Method, Scope and Organization",2016
CHAFPA-9,Yannis Chatzantonis,"Fragments, Plinths and Shattered Bricks: Deleuze and Atomism",2023
