ID,Author,Title,Year
WITPI-4,Ludwig Wittgenstein,Philosophical Investigations,1953
KRIWOR,Saul A. Kripke,Wittgenstein on Rules and Private Language: An Elementary Exposition,1982
WITOC,Ludwig Wittgenstein,On Certainty (Ed. Anscombe and von Wright),1969
WITZ,Ludwig Wittgenstein,Zettel,1967
WITROT,Ludwig Wittgenstein,Remarks on the Philosophy of Psychology,1980
WITROT-23,Ludwig Wittgenstein,Remarks on the Foundations of Mathematics,1956
WITPG,Ludwig Wittgenstein,Philosophical Grammar,1974
MULT,Kevin Mulligan and Peter Simons and Barry Smith,Truth-Makers,1984
WITPR,Ludwig Wittgenstein,Philosophical Remarks,1975
WITN,Ludwig Wittgenstein,"Notebooks, 1914-1916",1979
WITCAV,Ludwig Wittgenstein,Culture and Value,1977
COLERA-3,Annalisa Coliva,Extended Rationality: A Hinge Epistemology,2015
WITLOE,Ludwig Wittgenstein,Lecture on Ethics,2014
BOGTRC,Paul Boghossian,The Rule-Following Considerations,1989
MCDCDA,John McDowell,"Criteria, Defeasibility, and Knowledge",1988
DIATRS,Cora Diamond,"The Realistic Spirit: Wittgenstein, Philosophy, and the Mind",1991
MONLWT-2,Ray Monk,Ludwig Wittgenstein: The Duty of Genius,1990
WITTLT-3,Ludwig Wittgenstein,Tractatus Logico-Philosophicus,1960
WITTLE-3,Ludwig Wittgenstein,Tractatus Logico-Philosophicus,2023
MCDWOF,John McDowell,Wittgenstein on Following a Rule,1984
ANSAIT,Gertrude Elizabeth Margaret Anscombe,An Introduction to Wittgenstein's Tractatus,1967
WITTLE,Ludwig Wittgenstein,Tractatus Logico-Philosophicus (Trans. Pears and Mcguinness),1921
Sharrock2004-MOYUWO,Danie?le Moyal{-}Sharrock,Understanding Wittgenstein's on Certainty,2004
WITLC,Ludwig Wittgenstein,"Lectures \& Conversations on Aesthetics, Psychology and Religious Belief",1966
QUELW,Matthieu Queloz and Damian Cueni,Left Wittgensteinianism,2021
WRIWOT,Crispin Wright,Wittgenstein on the Foundations of Mathematics,1980
WITLWO,Ludwig Wittgenstein,Last Writings on the Philosophy of Psychology,1982
BLAACT,Max Black,A Companion to Wittgenstein?s Tractatus,1964
GLOAWD,Hans{-}Johann Glock,A Wittgenstein Dictionary,1996
RANWID,Chris Ranalli,What is Deep Disagreement?,2018
COLMAW,Annalisa Coliva,"Moore and Wittgenstein: Scepticism, Certainty, and Common Sense",2010
LEMWAL-2,Jens Lemanski,World and Logic,2021
SCHSPA-25,Theodore R. Schatzki,Social Practices: A Wittgensteinian Approach to Human Activity and the Social,1996
MCDNAR,John McDowell,Non-Cognitivism and Rule-Following,1981
SELSRO-3,Wilfrid Sellars,Some Reflections on Language Games,1954
JANWV,Allan Janik,Wittgenstein's Vienna,1973
BAKWRG,Gordon P. Baker and P. M. S. Hacker,"Wittgenstein: Rules, Grammar and Necessity",1980
BLOWAS,David Bloor,Wittgenstein: A Social Theory of Knowledge,1983
QUEWOT,Matthieu Queloz,Wittgenstein on the Chain of Reasons,2016
