ID,Author,Title,Year
WALMMT-4,Wendell Wallach and Colin Allen,Moral Machines: Teaching Robots Right From Wrong,2008
MLLEOA-4,"Vincent C. M\""{u}ller",Ethics of Artificial Intelligence and Robotics,2020
MORFWT-5,Jessica Morley and Luciano Floridi and Libby Kinsey and Anat Elhalal,"From What to How: An Initial Review of Publicly Available Ai Ethics Tools, Methods and Research to Translate Principles Into Practices",2020
MEIAFE,Lukas J. Meier and Alice Hein and Klaus Diepold and Alena Buyx,Algorithms for Ethical Decision-Making in the Clinic: A Proof of Concept,2022
SHAGAT,Amanda Sharkey and Noel Sharkey,Granny and the Robots: Ethical Issues in Robot Care for the Elderly,2012
NOVAIA,Claudio Novelli and Mariarosaria Taddeo and Luciano Floridi,Accountability in Artificial Intelligence: What It is and How It Works,2023
WACTEA,Sandra Wachter and Brent Mittelstadt and Luciano Floridi,"Transparent, Explainable, and Accountable Ai for Robotics",2017
VLIMZW,Carissa V\'{e}liz,Moral Zombies: Why Algorithms Are Not Moral Agents,2021
FLOOTM-2,Luciano Floridi and J. W. Sanders,On the Morality of Artificial Agents,2004
GUNTMQ,David J. Gunkel,"The Machine Question: Critical Perspectives on Ai, Robots, and Ethics",2012
NYHAAT,Sven Nyholm,Attributing Agency to Automated Systems: Reflections on Human?Robot Collaborations and Responsibility-Loci,2018
SPAKR,Robert Sparrow,Killer Robots,2007
VANEVI-4,Ibo van de Poel,Embedding Values in Artificial Intelligence (Ai) Systems,2020
BARDAI-6,Xabier Barandiaran and E. Di Paolo and M. Rohde,"Defining Agency: Individuality, Normativity, Asymmetry, and Spatio-Temporality in Action",2009
DANWLB,John Danaher,Will Life Be Worth Living in a World Without Work? Technological Unemployment and the Meaning of Life,2017
DANRBA-2,John Danaher,Robot Betrayal: A Guide to the Ethics of Robotic Deception,2020
SANME,Michael Anderson and Susan Leigh Anderson,Machine Ethics,2011
UMBECV,Steven Umbrello and Marianna Capasso and Maurizio Balistreri and Alberto Pirni and Federica Merenda,Value Sensitive Design to Achieve the Un Sdgs with Ai: A Case of Elderly Care Robots,2021
GUNMTG,David J. Gunkel,Mind the Gap: Responsible Robotics and the Problem of Responsibility,2020
UMBDAF-2,Steven Umbrello and Roman Yampolskiy,Designing Ai for Explainability and Verifiability: A Value Sensitive Design Approach to Avoid Artificial Stupidity in Autonomous Vehicles,2022
NYHTEO,Sven Nyholm and Jilles Smids,The Ethics of Accident-Algorithms for Self-Driving Cars: An Applied Trolley Problem?,2016
ETZIEI,Amitai Etzioni and Oren Etzioni,Incorporating Ethics Into Artificial Intelligence,2017
BAUFRT-2,Kevin Baum and Susanne Mantel and Timo Speith and Eva Schmidt,From Responsibility to Reason-Giving Explainable Artificial Intelligence,2022
VANCTR-5,Aimee van Wynsberghe and Scott Robbins,Critiquing the Reasons for Making Artificial Moral Agents,2019
GOGACI,"Jan Gogoll and Julian F. M\""{u}ller",Autonomous Cars: In Favor of a Mandatory Ethics Setting,2017
