ID,Author,Title,Year
MAIAGF,"Moses Maimonides and Michael Friedl\""{a}nder",The Guide for the Perplexed,1904
MAITGO-5,Moses Maimonides and Julius Guttmann and Chaim Rabin,The Guide for the Perplexed,1904
MAITGO-7,Moses Maimonides and Salomon Pines,The Guide for the Perplexed,1904
SADMAR,Shalom Sadik,Maimonides: A Radical Religious Philosopher,2023
MAITGO-8,Moses Maimonides and Shlomo Pines,The Guide for the Perplexed,1904
STRMIH-5,Sarah Stroumsa,Maimonides in His World: Portrait of a Mediterranean Thinker,2009
MAITGO-10,Moses Maimonides and Daniel H. Frank,The Guide of the Perplexed,1904
DAVMMT-3,Herbert A. Davidson,Moses Maimonides: The Man and His Works,2005
STRLEM,Lloyd Strickland,Leibniz Encounters Maimonides,2022
MELSDO,Yitzhak Y. Melamed,Spinoza's Deification of Existence,2013
LANWCM,Nicolaas P. Landsman,When Champions Meet: Rethinking the Bohr?Einstein Debate,2005
ROZDDW,Jacques J. Rozenberg,"Determinism, Divine Will, and Free Will: Spinoza, Leibniz, and Maimonides",2023
SEEMOT-3,Kenneth Seeskin,Maimonides on the Origin of the World,2005
WOLCCO-2,Harry Austryn Wolfson and Hasdai Crescas,Crescas' Critique of Aristotle: Problems of Aristotle's Physics in Jewish and Arabic Philosophy,2013
STRPAL-4,Leo Strauss,Philosophy and Law: Contributions to the Understanding of Maimonides and His Predecessors,2012
PESTIO,Sarah Pessin,The Influence of Islamic Thought on Maimonides,2008
KELMAJ,Menachem Marc Kellner,Must a Jew Believe Anything?,1999
HALMLA-2,Moshe Halbertal,Maimonides: Life and Thought,2014
PINTLO-8,Shlomo Pines,"The Limitations of Human Knowledge According to Al-Farabi, Ibn Bajja, and Maimonides",1979
FOXIMS,Marvin Fox,"Interpreting Maimonides: Studies in Methodology, Metaphysics, and Moral Philosophy",1990
SEEM,Kenneth Seeskin,Maimonides,2008
PUTONT,Hilary Putnam,On Negative Theology,1997
BUITNT,Joseph A. Buijs,The Negative Theology of Maimonides and Aquinas,1988
FRAAAA-5,Daniel H. Frank,Anger as a Vice: A Maimonidean Critique of Aristotle's Ethics,1990
DICWNW,Nathan Eric Dickman,"Where, Not When, Did the Cosmos ?Begin??",2020
SEETCC,Kenneth Seeskin,The Cambridge Companion to Maimonides,2005
LIMGKO-2,Kevjn Lim,God?s Knowledge of Particulars,2009
LEVTCR,Emmanuel Levinas,The Contemporary Relevance of Maimonides (1935),2008
