ID,Author,Title,Year
SATWST,Debra Satz,Why Some Things Should Not Be for Sale: The Moral Limits of Markets,2010
TOMFMF,John Tomasi,Free Market Fairness,2012
BRITUO-5,Pascal Brixel,The Unity of Marx?s Concept of Alienated Labor,2024
FRIFNA,Megan Fritts and Frank Cabrera,Fake News and Epistemic Vice: Combating a Uniquely Noxious Market,2022
BREMWL,Jason Brennan and Peter Jaworski,Markets Without Limits: Moral Virtues and Commercial Interests,2015
MAGMEA,Barry Maguire,Efficient Markets and Alienation,2022
BREMWS,Jason Brennan and Peter Martin Jaworski,Markets Without Symbolic Limits,2015
SHIIES,Robert J. Shiller,Irrational Exuberance,2001
ULRIEE,Peter Ulrich,Integrative Economic Ethics: Foundations of a Civilized Market Economy,2008
TAYELM,Robert S. Taylor,\emph{Exit Left: Markets and Mobility in Republican Thought},2017
MULASR-5,James Muldoon,A Socialist Republican Theory of Freedom and Government,2019
ALCPIC,Armen Alchian and Harold Demsetz and Kenneth Arrow and Richard Edwards and Herbert Gintis and Michael C. Jensen,"Production, Information Costs, and Economic Organization",1983
ELITEL,Elizabeth Anderson,The Ethical Limitations of the Market,1990
BRETEO-12,Geoffrey Brennan and Philip Pettit,The Economy of Esteem:An Essay on Civil and Political Society: An Essay on Civil and Political Society,2005
Woo2021-MINCPA-2,Kian Mintz{-}Woo and Francis Dennig and Hongxun Liu and Thomas Schinko,Carbon Pricing and Covid-19,2021
FRIFHT-2,Julian Friedland and Benjamin M. Cole,From Homo-Economicus to Homo-Virtus: A System-Theoretic Model for Raising Moral Self-Awareness,2019
ALBITP,Andreas Albertsen,If the Price is Right: The Ethics and Efficiency of Market Solutions to the Organ Shortage,2020
SENTMS,Amartya Sen,The Moral Standing of the Market,1985
BERTVO-11,Brian Berkey,The Value of Fairness and the Wrong of Wage Exploitation,2020
Ricoy2023-GONSAI-6,I\~{n}igo Gonz\'{a}lez{-}Ricoy,Self-Employment and Independence,2023
ANOTTA-2,Jonny Anomaly,"Trust, Trade, and Moral Progress",2017
PETCCA,Fabienne Peter,"Choice, Consent, and the Legitimacy of Market Transactions",2004
MULDPD-3,Thomas Mulligan,Do People Deserve Their Economic Rents?,2018
HIMAFS,Johannes Himmelreich,Asylum for Sale: A Market Between States That is Feasible and Desirable,2019
SMIAEA,Barry Smith,Austrian Economics and Austrian Philosophy,1986
PERECO-2,Govind Persad and Ezekiel J. Emanuel,Ethical Considerations of Offering Benefits to Covid-19 Vaccine Recipients,2021
FOUMVO,Marion Fourcade and Kieran Healy,Moral Views of Market Society,manuscript
BENTCO-54,Michael Bennett,The Choice of Efficiencies and the Necessity of Politics,2023
JONWAE-3,Julian David Jonker and Grant J. Rozeboom,Working as Equals: Relational Egalitarianism and the Workplace,2023
LECSEA-2,Theodore M. Lechterman and Johanna Mair,Social Enterprises as Agents of Social Justice: A Rawlsian Perspective on Institutional Capacity,forthcoming
LAOWSC,Tadhg \'O Laoghaire,Why (Some) Corporations Have Positive Duties to (Some of) the Global Poor,2023
Ricoy2019-GONFAA-2,I\~{n}igo Gonz\'{a}lez{-}Ricoy,"Firm Authority and Workplace Democracy: A Reply to Jacob and Neuh\""{a}user",2019
JTTHAM,"Timo J\""{u}tten",Habermas and Markets,2013
HALOTM-2,Daniel Halliday,On the (Mis)Classification of Paid Labor: When Should Gig Workers Have Employee Status?,2021
COLTFC-2,David Colander and Michael Goldberg and Armin Haas and Katarina Juselius and Alan Kirman and Thomas Lux and Brigitte Sloth,The Financial Crisis and the Systemic Failure of the Economics Profession,2009
AGMUJ,Shai Agmon,Undercutting Justice ? Why Legal Representation Should Not Be Allocated by the Market,2021
WARJLW,Lisa Warenski,Jpmorgan's 'London Whale' Trading Losses: A Tale of Human Fallibility,2024
CHRTJ,James Christensen,Trade Justice,2017
BROSCN-2,Wendy Brown,"Sacrificial Citizenship: Neoliberalism, Human Capital, and Austerity Politics",2016
SCHRUA-9,Alexander Schaefer,"Rationality, Uncertainty, and Unanimity: An Epistemic Critique of Contractarianism",2021
MAGMIP,Barry Maguire and Brookes Brown,"Markets, Interpersonal Practices, and Signal Distortion",2019
Marquez2022-BREPAA-9,Kiel Brennan{-}Marquez and Daniel Susser,"Privacy, Autonomy, and the Dissolution of Markets",2022
BAGFPW-2,Samuel Bagg,Fighting Power with Power: The Administrative State as a Weapon Against Concentrated Private Power,2021
TAYDWD,Robert S. Taylor,Donation Without Domination: Private Charity and Republican Liberty,2018
LAPFCC,Costas Lapavitsas,Financialised Capitalism: Crisis and Financial Expropriation,2009
DICISO,David G. Dick,Impure Semiotic Objections to Markets,2018
VROJBC,N. Vrousalis,"Jazz Bands, Camping Trips and Decommodification: G. A. Cohen on Community",2012
GRAAEA-2,Wolfgang Grassl and Barry Smith,Austrian Economics (Routledge Revivals): Historical and Philosophical Background,1986
WEIPEI,Merlinda Weinberg and Sarah Banks,Practising Ethically in Unethical Times: Everyday Resistance in Social Work,2019
ZAKMMT,Paul J. Zak,Moral Markets: The Critical Role of Values in the Economy,2008
TAYDR-3,Robert S. Taylor,Delaboring Republicanism,2019
ONDYZV,Orhan Onder,Yapay Zeka Ve Piyasa: Saglikta Dijitallesme Ve Etik Sorunlar Ozelinde Bir De\u{g}erlendirme,2022
PREFAA-2,Joshua Preiss,"Freedom, Autonomy, and Harm in Global Supply Chains",2018
BENELA-6,Jonathan Benson,Environmental Law \& the Limits of Markets,2018
BAUTAC-3,Jean Baudrillard and Carl R. Lovitt and Denise Klopsch,Toward a Critique of the Political Economy of the Sign,1976
BENTIO-11,Stephen Earl Bennett and Jeffrey Friedman,The Irrelevance of Economic Theory to Understanding Economic Ignorance,2008
BOUFBA,"Pierre Bourdieu and Lo\""{i}c Wacquant",Firing Back: Against the Tyranny of the Market 2,2006
PREDWT,Joshua Preiss,"Did We Trade Freedom for Credit? Finance, Domination, and the Political Economy of Freedom",2018
HILDCS,Jesse Hill,Does Contract Surrogacy Undermine Gender Equality?,2024
ONEFAF-2,Martin O'Neill,"Free (and Fair) Markets Without Capitalism: Political Values, Principles of Justice, and Property-Owning Democracy",2012
DRADAM,Jamie Draper,Domination and Misframing in the Refugee Regime,2022
OLITMO-9,Massin Olivier and Tieffenbach Emma,The Metaphysics of Economic Exchanges,2017
