ID,Author,Title,Year
LIBFBO,Alida Liberman,For Better or for Worse: When Are Uncertain Wedding Vows Permissible?,2021
NOLMAI-2,Daniel Nolan,Marriage and its Limits,forthcoming
CHATHK,Subhasis Chattopadhyay,The Sacrament of Marriage,2024
CROLAM-3,Emily Crookston,Love and Marriage?,2014
STESSA-3,William O. Stephens,"Separated Spouses and Equal Partners : Cicero, Ovid, and Marriage at a Distance",2011
GHETDO,Anca Gheaus,The (Dis)Value of Commitment to One's Spouse,2015
KLEJLM,Pauline Kleingeld,Just Love? Marriage and the Question of Justice,1998
JACMIH,Bernard S. Jackson,"Mishpat Ivri, Halakhah and Legal Philosophy: Agunah and the Theory of ?Legal Sources""",2001
NOLFSI,Daniel Nolan,Fearing Spouses in Aristotle's Ta Oikonomika,2010
CHATLO-39,Clare Chambers,The Limitations of Contract: Regulating Personal Relationships in the Marriage-Free State,2016
GAGCES,Logan Paul Gage,Darwin Knows Best: Can Evolution Support the Classical Liberal Vision of the Family?,2013
PIPAOM-2,Mark Piper,"Adultery, Open Marriage, and Autonomy",2016
MAYLFA-2,Simon C\u{a}bulea May,Liberal Feminism and the Ethics of Polygamy,2012
GRIGRF,"Florian Grimps and Bj\""{o}rn Schneider",Getting Ready for the Marriage Market? A Rejoinder,2012
SCHIMA-8,Joshua Schulz,Indissoluble Marriage,2012
KIRPFT,David G. Kirchhoffer and Natalie Lindner L?Huillier,Preparing for the Synod on the Family,2014
FALTSO-3,E. N. Fallaize,The Study of Primitive Races with Special Reference to Forms of Marriage,1925
Gakowska1979-BRASOM-2,Maria Braun{-}Ga\l{}kowska,Powodzenie Ma\l\.{z}e\'{n}stwa a Postawa Religijna Ma\l\.{z}onk\'{o}w,1979
DOWSNC,D. S. Dowling,Some Necessary Conditions for a Good Marriage,1998
ARNTMO-2,Richard Arneson,"The Meaning of Marriage: State Efforts to Facilitate Friendship, Love, and Child-Rearing",2005
GAGDKB,Logan Paul Gage,Darwin Knows Best: Can Evolution Support the Classical Liberal Vision of the Family?,2013
SALSOM,Montserrat Salvat and Marta Vigo and Helen Macbeth and Jaume Bertranpetit,"Seasonality of Marriages in Spanish and French Parishes in the Cerdanya Valley, Eastern Pyrenees",1997
EYSSAM-2,H. J. Eysenck,Sex and Marriage in England Today,1972
BARMM-7,Zraik Bara,Minimal Marriage,manuscript
HARANO-21,Minoru Hara,A Note on the R\={a}k\d{s}asa Form of Marriage,1974
AMBCLA,Hugh Ambrose,"Convicted Law-Breakers as Law-Makers, and Marriage, Divorce and Liberty of Conscience, by H. Ambrose. Answers to Public Life and Private Morality, and Marriage and Free Thought [Articles in the Fortnightly Review] by M",1892
AMEPRI-2,Piero Amenta,"Pessoa, Rela\c{c}~{o}es Interpessoais e Rela\c{c}~{a}o Conjugal No Pensamento de Antonio Rosmini",2010
BULCTM,Vern Bullough,Challenges to Marriage Continue,2005
ESPLFC-2,Bruno Esposito,La Fede Come Requisito Per la Validit\`a Del Matrimonio Sacramentale?,2015
GALRRA-4,Maggie Gallagher,"Rites, Rights, and Social Institutions: Why and How Should the Law Support Marriage?",2004
BCHMAI-3,"Andrea B\""{u}chler and Christina Schlatter",Marriage Age in Islamic and Contemporary Muslim Family Laws. A Comparative Survey,2013
WEDCCA-2,Ralph Wedgwood,"Clare Chambers, Against Marriage: An Egalitarian Defense of the Marriage-Free State",2018
LIERGD,Hans Liermann,"Reinald Gr\""{a}fe: Das Eherecht in den Coutumiers des 13. Jahrhunderts. Eine Rechtsvergleichende Darstellung des Franz\""{o}sischen Ehepersonen- Und Eheg\""{u}terrechts Im Mittelalter, G\""{o}ttinger Studien Zur Rechtsgeschichte, Hrsg. Von Karl Kroeschell, Band 6, Musterschmidt-Verlag G\""{o}ttingen 1972, 179 Pp",1975
GCFBRF,G. C. Field,Book Review:The Future of Marriage in Western Civilisation. Edward Westermarck,1937
BELPJV,R. A. Belliotti,"Pedro Juan Viladrich, ""the Agony of Legal Marriage""",1992
