ID,Author,Title,Year
JOHHTS,Mark Johnston,How to Speak of the Colors,1992
LEWFD,David Kellogg Lewis,Finkish Dispositions,1997
MARDAC,C. B. Martin,Dispositions and Conditionals,1994
BIRDAA,Alexander Bird,Dispositions and Antidotes,1998
MANOLD,David Manley and Ryan Wasserman,On Linking Dispositions and Conditionals,2008
VETMDA,Barbara Vetter and Ralf Busse,Modal Dispositionalism and Necessary Perfect Masks,2022
STEDAS,Jesse R. Steinberg,Dispositions and Subjunctives,2010
MANAGA-2,David Manley and Ryan Wasserman,A Gradable Approach to Dispositions,2007
CLAOP,Randolph Clarke,Opposing Powers,2010
HANUD,Toby Handfield,Unfinkable Dispositions,2008
HANDRA,Toby Handfield and Alexander Bird,"Dispositions, Rules, and Finks",2007
CLAIF,Randolph Clarke,Intrinsic Finks,2008
KITPOA,Simon Kittle,Powers Opposed and Intrinsic Finks,2015
CONDAI,Gabriele Contessa,Dispositions and Interferences,2013
COHFF,Daniel Cohen and Toby Handfield,Finking Frankfurt,2007
ASHSD-3,Lauren Ashwell,Superficial Dispositionalism,2010
CORPAI-4,Richard Corry,Power and Influence: The Metaphysics of Reductive Explanation,2019
GEBACB-2,Alexander Gebharter and Florian Fischer,A Causal Bayes Net Analysis of Dispositions,2021
GUARIC,Andrea Guardo,"Rule-Following, Ideal Conditions, and Finkish Dispositions",2012
TURODM,Gus Turyn,On Dispositional Masks,2021
CONOPC,Gabriele Contessa,Only Powers Can Confer Dispositions,2015
PAOMIF,Michele Paolini Paoletti,"Masks, Interferers, Finks, and Mimickers: A Novel Approach",2021
CORCDE,Richard Corry,Can Dispositional Essences Ground the Laws of Nature?,2011
BLACFS,Simon Blackburn,"Circles, Finks, Smells and Biconditionals",1993
SANAOE-2,Petter Sandstad,Aristotle on Exceptions to Essences in Biology,2016
MUMCFE,Stephen Mumford,"Conditionals, Functional Essences and Martin on Dispositions",1996
CHOWIA,S. Choi,What is a Dispositional Masker?,2011
WERPAN,Jonas Werner,Plenitude and Necessarily Unmanifested Dispositions,2021
BIRAAT-11,Alexander Bird,Antidotes All the Way Down?,2010
BIRAAT-3,Alexander Bird,Antidotes All the Way Down?,2004
CHAEAT-15,Lok{-}Chi Chan,Emergentism and the Contingent Solubility of Salt,2018
BIRFAA,Alexander Bird,Further Antidotes: A Response to Gundersen,2000
CHEIFA,Kai{-}Yuan Cheng,Intrinsic Finks and Attributions of Rule-Following Dispositions,2010
HAUDU,Jan Hauska,Dispositions Unmasked,2009
CHOFDA,Sungho Choi,Finkish Dispositions and Contextualism,2011
GUNBOD,Lars Bo Gundersen,Bird on Dispositions and Antidotes,2000
TURMFA-2,Gus Turyn,"Masks, Finks, and Gender",forthcoming
ESCLCA,Markus E. Schlosser,Lewis? Conditional Analysis of Dispositions Revisited and Revised,2018
KVALOF-5,Jonathan L. Kvanvig,Lewis on Finkish Dispositions,1999
MAXAUO,Sydney Maxwell,Avowal Under Oppression,2023
ZVOCDA,Zs\'{o}fia Zvolenszky,"Conditionals, Dispositions, and Free Will",2014
GEEWFA,Geert Keil,Why Frankfurtian All-in Can?Ts Are Irrelevant to Free Will,2022
