ID,Author,Title,Year
MOLPAW-2,Friederike Moltmann,Parts and Wholes in Semantics,1997
FOGENR,Daniel Fogal and Olle Risberg,Explaining Normative Reasons,2023
FOGRRA,Daniel Fogal,"Reasons, Reason, and Context",2016
LAYWWO-3,Henry Laycock,"Words Without Objects: Semantics, Ontology, and Logic for Non-Singularity",2006
FLOPAM,Salvatore Florio and David Nicolas,Plurals and Mereology,2020
CARQ,Helen Morris Cartwright,Quantities,1970
LAYSQO,Henry Laycock,Some Questions of Ontology,1972
CARAAM-2,Helen Morris Cartwright,Amounts and Measures of Amount,1975
FRIPSI-2,Friederike Moltmann,"Part Structures, Integrity, and the Mass-Count Distinction",1998
BRATCO-6,J. Brakel,The Chemistry of Substances and the Philosophy of Mass Terms,1986
LIEWDN-3,David Liebesman,We Do Not Count by Identity,2015
FOGCAE-2,Daniel Fogal and Kurt Sylvan,Contextualism About Epistemic Reasons,2017
MOLMFO,Friederike Moltmann,Metaphysics First or Language First: The Notion of a Single Object,forthcoming
MOLITM-3,Friederike Moltmann,"Introduction: Mass and Count in Linguistics, Philosophy, and Cognitive Science.",2020
BURTAM-4,Tyler Burge,Truth and Mass Terms,1972
CARHAT-2,Helen Morris Cartwright,Heraclitus and the Bath Water,1965
NICMNA-4,David Nicolas,Mass Nouns and Plural Logic,2008
MOLLOO,Friederike Moltmann,Levels of Ontology and Natural Language: The Case of the Ontology of Parts and Wholes,2021
MOLTKO,Friederike Moltmann,Two Kinds of Universals and Two Kinds of Collections,2004
KUHDDO,Jeremy Kuhn and David Nicolas and Brian Buccola,Deriving Dimensions of Comparison,2022
LEEOTA-4,Junhyo Lee,On the Asymmetry Between Names and Count Nouns: Syntactic Arguments Against Predicativism,2020
FLOPLA,Salvatore Florio and David Nicolas,Plural Logic and Sensitivity to Order,2015
STETMO-18,Mark Steen,The Metaphysics of Mass Expressions,2012
CARSRA,Helen M. Cartwright,Some Remarks About Mass Nouns and Plurality,1975
NICLDE,David Nicolas,La Distinction Entre Noms Massifs Et Noms Comptables,2002
NICTLO-6,David Nicolas,The Logic of Mass Expressions,2018
LASMNA,Peter Lasersohn,Mass Nouns and Plurals,2011
NICMAM-7,David Nicolas,Mixtures and Mass Terms,2021
PELAAG,Francis Jeffry Pelletier,Are All Generics Created Equal?,2009
MOLEAT-2,Friederike Moltmann,Events and Countability,manuscript
MOLMAC,Friederike Moltmann,"Introduction to 'Mass and Count in Linguistics, Philosophy, and Cognitive Science'",2020
LAYASO-4,Henry Laycock,Any Sum of Parts Which Are Water is Water,2011
NICMNA-3,David Nicolas,Mass Nouns and Plural Logic (Extended Abstract),2007
LAYO,Henry Laycock,Object,2010
NICCMS,David Nicolas,Can Mereological Sums Serve as the Semantic Values of Plurals?,2007
