ID,Author,Title,Year
BUEAMI,Ot\'{a}vio Bueno and Steven French,"Applying Mathematics: Immersion, Inference, Interpretation",2018
MANTED-2,Kenneth Manders,The Euclidean Diagram,2008
PATFWE,Lydia Patton,"Fishbones, Wheels, Eyes, and Butterflies: Heuristic Structural Reasoning in the Search for Solutions to the Navier-Stokes Equations",2023
DECMSA,Johan De Smedt and Helen De Cruz,Mathematical Symbols as Epistemic Actions,2013
CROPAC-16,Laura Crosilla,Predicativity and Constructive Mathematics,2022
DALEIM,William D'Alessandro,Explanation in Mathematics: Proofs and Practice,2019
DETET-2,Silvia De Toffoli and Valeria Giardino,Envisioning Transformations ? the Practice of Topology,2016
PANDAH-2,Markus Pantsar,Developing Artificial Human-Like Arithmetical Intelligence (and Why),2023
TOAPAA,Iulian D. Toader,Permanence as a Principle of Practice,2021
BER-50,Sharon Berry,\ensuremath{\Sigma}01 Soundness Isn?T Enough: Number Theoretic Indeterminacy?s Unsavory Physical Commitments,2023
LADIIH,James Ladyman and Stuart Presnell,"Identity in Homotopy Type Theory, Part I: The Justification of Path Induction",2015
FEFASO-2,Solomon Feferman,And so On... : Reasoning with Infinite Diagrams,2012
AVIMMA-3,Jeremy Avigad,Mathematical Method and Proof,2006
DETTFT,Michael Detlefsen and Mark Luker,The Four-Color Theorem and Mathematical Proof,1980
JHAAME,A. Jha and Douglas Campbell and Clemency Montelle and Phillip L. Wilson,Are Mathematical Explanations Causal Explanations in Disguise?,2024
HALTAT-2,Michael Hallett,Towards a Theory of Mathematical Research Programmes (I),1979
KITMRN,Philip Kitcher,Mathematical Rigor--Who Needs It?,1981
ARAOTD,Andrew Arana,On the Depth of Szemeredi's Theorem,2015
PARIDO-3,Seungbae Park,In Defense of Mathematical Inferentialism,2017
Skardowska2018-WYBRIU,Urszula Wybraniec{-}Skardowska,Rejection in \L{}ukasiewicz's and S\l{}upecki's Sense,2018
FEFTLO,Solomon Feferman,The Logic of Mathematical Discovery Vs. The Logical Structure of Mathematics,1978
SCHOTC-8,Dirk Schlimm,"On the Creative Role of Axiomatics. The Discovery of Lattices by Schr\""{o}der, Dedekind, Birkhoff, and Others",2011
CELDIM-2,Carlo Cellucci,Diagrams in Mathematics,2019
GIACCA-2,Marcus Giaquinto,Crossing Curves: A Limit to the Use of Diagrams in Proofs?: Articles,2011
ARAOFM-2,Andrew Arana,On Formally Measuring and Eliminating Extraneous Notions in Proofs,2009
MCEEMC,Mark McEvoy,"Experimental Mathematics, Computers and the a Priori",2013
WASSAA-4,David Waszek,Signs as a Theme in the Philosophy of Mathematical Practice,2024
WIDMRO,Theodore Reed Widom and Dirk Schlimm,Methodological Reflections on Typologies for Numerical Notations,2012
SMUDAS,Raymond Merrill Smullyan,Diagonalization and Self-Reference,1994
EBEITA-3,Philip A. Ebert and Marcus Rossberg,Introduction to Abstractionism,2016
DALUMI,William D'Alessandro,Unrealistic Models in Mathematics,2023
SCHMEO-8,Dirk Schlimm and Juan Fern\'{a}ndez Gonz\'{a}lez,Mathematical Experiments on Paper and Computer,2024
SHEOME-3,David Sherry,On Mathematical Error,1997
BALACC-3,John T. Baldwin,Axiomatizing Changing Conceptions of the Geometric Continuum Ii: Archimedes-Descartes-Hilbert-Tarski?,2019
SCHAAP-4,Dirk Schlimm,Axiomatics and Progress in the Light of 20Th Century Philosophy of Science and Mathematics,2006
IPPARF,Emiliano Ippoliti,A Role for Representation Theorems?,2018
URQMD,Alasdair Urquhart,Mathematical Depth,2015
JOHSSI,Mikkel Willum Johansen and Morten Misfeldt,Semiotic Scaffolding in Mathematics,2015
SHAKOA-3,Michael J. Shaffer,Knowledge of Abstract Objects in Physics and Mathematics,2017
SREEEI,Henrik Kragh S\o{}rensen,Exploratory Experimentation in Experimental Mathematics: A Glimpse at the Pslq Algorithm,2010
TENTLF,Neil Tennant,The Logic for Mathematics Without Ex Falso Quodlibet,2024
LENAAT-5,Mary Leng,"""Algebraic"" Approaches to Mathematics",2009
AVIMAM,Jeremy Avigad,Methodology and Metaphysics in the Development of Dedekind's Theory of Ideals,manuscript
MURSHP,Roman Murawski,"Some Historical, Philosophical and Methodological Remarks on Proof in Mathematics",2016
DIMTPP-2,C. Dimitracopoulos and J. Paris,The Pigeonhole Principle and Fragments of Arithmetic,1986
SHALQI,Michael J. Shaffer,Lakatos? Quasi-Empiricism in the Philosophy of Mathematics,2015
PASDIT-2,Alexander Paseau and Fabian Pregel,Deductivism in the Philosophy of Mathematics,2023
MEBOTE,Alexander Mebius,On the Epistemic Contribution of Financial Models,2023
YAPGQR,Audrey Yap,Gauss' Quadratic Reciprocity Theorem and Mathematical Fruitfulness,2011
SPERIW,Daria Spescha and Thomas Strahm,Realisability in Weak Systems of Explicit Mathematics,2011
HIRRMA-5,Jeffry L. Hirst and Noah A. Hughes,Reverse Mathematics and Marriage Problems with Unique Solutions,2015
RIZAAI,Davide Rizza,Abstraction and Intuition in Peano's Axiomatizations of Geometry,2009
BLAAIF,Patricia A. Blanchette,Axioms in Frege,2019
CROBMA,Laura Crosilla,Bishop's Mathematics: A Philosophical Perspective,forthcoming
MANTLA-7,Franci Mangraviti,The Liberation Argument for Inconsistent Mathematics,2023
CUFKVO,Michael Cuffaro,Kant's Views on Non-Euclidean Geometry,2012
FERFAD-3,Juan Ferna?ndez Gonza?lez and Dirk Schlimm,From a Doodle to a Theorem: A Case Study in Mathematical Discovery,2023
HLDDMM,Otto Ho?lder,Die Mathematische Methode,1924
HINWML,Jaakko Hintikka,Which Mathematical Logic is the Logic of Mathematics?,2012
RIZMPE,Vega Bintang Rizky and Ammi Thoibah Nasution,Model Pembelajaran Etnomatematika Dalam Menumbuhkan Motivasi Belajar Siswa di Sekolah Dasar,2024
PERPRA,Anthony Peressini,"Proof, Reliability, and Mathematical Knowledge",2003
DUHDMD,J. M. C. Duhamel,Des M\'{e}thodes Dans les Sciences de Raisonnement,1899
WILCTP-9,Benjamin Wilck,Can the Pyrrhonian Sceptic Suspend Belief Regarding Scientific Definitions?,2020
OLIFAP,Gianluigi Oliveri,For a Philosophy of Mathematical Practice,2010
SERNIA,Yaroslav Sergeyev,"Numerical Infinities and Infinitesimals: Methodology, Applications, and Repercussions on Two Hilbert Problems",2017
PENSPA-2,Vasil Penchev,Skolem?s ?Paradox? as Logic of Ground: The Mutual Foundation of Both Proper and Improper Interpretations,2020
SCHOAA-8,Dirk Schlimm,"On Abstraction and the Importance of Asking the Right Research Questions: Could Jordan Have Proved the Jordan-H\""{o}lder Theorem?",2008
JACHOC,Emerson Abraham Jackson,Hermeneutics of Ceteris Paribus in the African Context,2019
TOAWDW-2,Iulian D. Toader,Why Did Weyl Think That Emmy Noether Made Algebra the Eldorado of Axiomatics?,2021
FRAAOS-3,Sara Franceschelli,Arguments of Stability in the Study of Morphogenesis,2017
GRAFOO-2,Gilles Gaston Granger,"Formes, Op\'{e}rations, Objets",1994
PLYPOP,George P\'{o}lya,Patterns of Plausible Inference,1954
KARTOO-5,Paul Bloom Karen Wynn,The Origins of Psychological Axioms of Arithmetic and Geometry,1992
CARLFT-5,A. Carbone and S. Semmes,Looking From the Inside and From the Outside,2000
BAUTCE-4,Andrej Bauer and Alex Simpson,Two Constructive Embedding-Extension Theorems with Applications to Continuity Principles and to Banach-Mazur Computability,2004
SERSOD,Yaroslav Sergeyev,Solving Ordinary Differential Equations by Working with Infinitesimals Numerically on the Infinity Computer,2013
BROTPO-25,James Robert Brown,The Philosophy of Mathematical Practice,2010
GLUTMO-2,V. M. Glushkov,The Mathematization of Scientific Knowledge and the Theory of Decisions,1978
LEVTEO-21,Martin Levey,The Encyclopedia of Abraham Savasorda: A Departure in Mathematical Methodology,1952
SJGITT,"J\""{o}rgen Sj\""{o}gren","Indispensability, the Testing of Mathematical Theories, and Provisional Realism",2011
KLESZS,Ernst Kleinert,Studien Zu Struktur Und Methode der Mathematik,2012
CAVMAE-4,Jean Cavaille?s,Me?Thode Axiomatique Et Formalisme,1937
ROBMR-4,C. Susan Robinson and John R. Hayes,Mathematical Reasoning,1978
GROCAI-3,E. R. Grosholz,Constructive Ambiguity in Mathematical Reasoning,2005
VANPAT-12,Mark van Atten,Phenomenology and Transcendental Argument in Mathematics: The Case of Brouwer's Bar Theorem,2007
SULMSS-2,L. B. Sultanova,Mathematical Symbolization: Specificity and Implementation,2014
PANMAM-8,M. I. Panov,Metodologicheskii? Analiz Matematicheskikh Teorii?: Sbornik Nauchnykh Trudov,1987
AUDMAE-2,Eric Audureau,M\'{e}thode Axiomatique Et N\'{e}gation Chez Hilbert,2007
HIRIBW,Denis Roman Hirschfeldt,"Induction, Bounding, Weak Combinatorial Principles, and the Homogeneous Model Theorem",2017
GONLED-12,Ferdinand Gonseth,"Les Entretiens de Zurich Sur les Fondements Et la Me?Thode des Sciences Mathe?Matiques, 6-9 de?Cembre 1938",1941
LORCIM,Paul Lorenzen,Constructivity in Mathematics,1981
KNETPB,G. T. Kneebone,The Philosophical Basis of Mathematical Rigour,1957
BARBMM,A. G. Barabashev,Budushchee Matematiki: Metodologicheskie Aspekty Prognozirovanii?A?,1991
NAHAHO-2,Paul Nahin,"A History of the Circle: Mathematical Reasoning and the Physical Universe. Ernest Zebrowski, Jr",2001
DELEMA,Javier de Lorenzo,El M\'{e}todo Axiom\'{a}tico y Sus Creencias,1980
RUSBWD,Susan Jo Russell,But Why Does It Work?: Mathematical Argument in the Elementary Classroom,2017
VONDGD-23,Heinz von Foerster,Die Gesetze der Form,1993
MATMUG,Matthias Varga von Kibe?d und Rudolf Matzka,"Motive Und Grundgedanken der ""Gesetze der Form""",1993
PIZMIM,Pierluigi Pizzamiglio,Method in Mathematics,2009
SURMPF,La?szlo? Sura?nyi,Metaaxiomatikai Proble?Ma?K,1992
PANMAO-3,M. I. Panov,Metodologicheskii? Analiz Osnovanii? Matematiki,1988
DINAPM,Dale Dinnel and John A. Glover and Royce R. Ronning,A Provisional Model of Mathematical Problem Solving,1984
CUVPDP-3,Armand Cuvillier,Pre?Cis de Philosophie: Classes de Mathe?Matiques Et de Mathe?Matiques-Technique,1954
MICPAM-3,N. V. Michailova,Philosophical and Methodological Problem of Consistency of Mathematical Theories,2013
UNDSCA-2,W. E. Underwood,Symbolic Configurations and Two-Dimensional Mathematical Notation,1980
LUCTAP,John Lucas and Michael Redhead,Truth and Provability,2007
PAUMUM,Siegfried Paul,Mathematik Und Mathematische Modellierung: Philosophische Und Methodologische Probleme,1986
SOMTMO,I. S. Sominskii?,The Method of Mathematical Induction,1961
BARMAZ,A. G. Barabashev and S. S. Demidov and M. I. Panov,Metodologicheskii? Analiz Zakonomernostei? Razvitii?a? Matematiki,1989
DEPMMI,Iman I?A?kovlevich Depman,Metod Matematicheskoi? Indukt?s?Ii,1957
RYATEO-16,Patrick J. Ryan,The Epistemology of the Infinite,2024
WALMIM,Clarence J. Wallen,Method in Mathematics,1963
MAZTGO-2,Massimo Mazzotti,The Geometers of God: Mathematics and Reaction in the Kingdom of Naples,1998
BOCMIM,Mariana Bockarova and Marcel Danesi and Dragana Martinovic and Rafael N\'{u}~{n}ez,Mind in Mathematics: Essays on Mathematical Cognition and Mathematical Method,2015
LEETMO-4,Harold N. Lee,The Meaning of the Notation of Mathematics and Logic,1931
PANZRS-2,M. I. Panov,Zakonomernosti Razvitii?a? Sovremennoi? Matematiki: Metodologicheskie Aspekty,1987
DOLRSS,Alf Dolich and Julia F. Knight and Karen Lange and David Marker,Representing Scott Sets in Algebraic Settings,2015
KEDMPR,Oleg Ivanovich Kedrovskii?,Metodologicheskie Problemy Prazvitii?a? Matematicheskogo Poznanii?A?,1977
MOSMPM,A. T. Moskalenko,Metodologicheskie Problemy Matematiki: [Sb. Statei?{]},1979
CARMAD-4,Paul Carus,Mathematics a Description of Operations with Pure Forms,1892
GRACW-2,Robin J. Grayson,Constructive Well-Orderings,1982
LUHDPD-2,Niklas Luhmann,Die Paradoxie der Form,1993
HARNSD-3,Dirk Hartmann,Neues System der Philosophischen Wissenschaften Im Grundriss. Band Ii: Mathematik Und Naturwissenschaft,2021
MCCACR,Charles McCarty,"Arithmetic, Convention, Reality",2014
BORMUW,Armand Borel,"Mathematik--Kunst Und Wissenschaft: Vortrag, Gehalten an Dem Mentorenabend der Carl Friedrich von Siemens Stiftung in Mu?Nchen-Nymphenburg Am 7. Mai 1981",1982
BAKMPA-2,Alan Baker,Maximizing Principles and Mathematical Methodology,2002
IOAASM,Petru Ioan,Axiomatica: Studiu Morfo-Logic,1980
Garsow2014-CASMMA-2,C. W. Castillo{-}Garsow,Mathematical Modeling and the Nature of Problem Solving,2014
ROBITM-6,Charles E. Roberts,Introduction to Mathematical Proof: A Transition to Advanced Mathematics,2015
VANBHT,B. Van Kerkhove,Bettina Heintz. The Inner World of Mathematics. On the Culture and Practice of a Proof-Based Discipline,2004
KUSUDV,Paul Edwin Kustaanheimo,U?Ber Die Vollsta?Ndigkeit der Axiomensysteme MIT Einem Endlichen Individuenbereich,1949
BENLFE-5,Jocelyn Benoist and Thierry Paul and C. Bardos,Le Formalisme En Action: Aspects Mathe?Matiques Et Philosophiques,2013
WASSRO,Anita Wasilewska,Some Remarks on Theorem Proving Systems and Mazurkiewicz Algorithms Associated with Them,1985
SEWNIA,Kip Sewell,Nothing Infinite: A Summary of Forever Finite,2023
GONLME-3,E. N.,Les Math\'{e}matiques Et la R\'{e}alit\'e. Essai Sur la M\'{e}thode Axiomatique,1936
TAREID,E. N.,"Einf\""{u}hrung in Die Mathematische Logik Und in Die Methodologie der Mathematik",1938
IURBEA,Giuseppe Iurato,"Bachelard, Enriques and Weyl: Comparing Some of Their Ideas",2012
IUROTR,Giuseppe Iurato,"On the Role Played by the Work of Ulisse Dini on Implicit Function Theory in the Modern Differential Geometry Foundations: The Case of the Structure of a Differentiable Manifold, 1",manuscript
CHRTUO,Jean Christianidis,The Use of Letters to Represent Numbers and the Algebraic Symbolism,1996
HANRPI-2,Gila Hanna,Rigorous Proof in Mathematics Education,1983
SCITRO,Edward Griffith Conference Board of the Mathematical Sciences and Begle and United States Commission on Mathematical Instruction and International Commission on Mathematical Instruction and Moscow International Congress of Mathematicians,The Role of Axiomatics and Problem Solving in Mathematics,1966
RNYAMR,Alfr\'{e}d R\'{e}nyi,Ars Mathematica R\'{e}nyi Alfr\'{e}d. --,1973
ZenithForthcoming-ERIEEI,Steven Ericsson{-}Zenith,Explaining Experience in Nature: The Foundations of Logic and Apprehension,forthcoming
KRIWEF,Nico Krijn and Manuel Nepveu,Wiskunde En Filosofie,2009
MUIHMW,Allan Muir,How Mathematicians Work,1996
POLRHE,Stephen Pollard,"Reuben Hersh. Experiencing Mathematics: What Do We Do, When We Do Mathematics?. Providence, Rhode Island: American Mathematical Society, 2014. Isbn 978-0-8218-9420-0. Pp. Xvii + 291",2014
EASJSM,Benedict Eastaugh,"Review of John Stillwell, Reverse Mathematics: Proofs From the Inside Out",2020
NUGMST-2,Rinat Nugayev,Mark Steiner: The Applicability of Mathematics as a Philosophical Problem,2003
SECAAD,Gisele Dalva Secco,Anota\c{c}~{o}es Acerca de Symbolic Knowledge From Leibniz to Husserl,2015
PERCT-3,Ray Scott Percival,Cold Turkey - Kicking the Habit of Justification (Review of Critical Rationalism: A Restatement and Defence),1994
PUTMMA-3,Tomberlin James E.,"Mathematics, Matter and Method, Vol. I. Mind, Language and Reality, Vol. Ii",1976
DUNNG,Katherine Dunlop,"Niccol\`o Guicciardini. Isaac Newton on Mathematical Certainty and Method. Cambridge, Ma: MIT Press, 2009. Pp. 422. \$55.00",2011
LAHAMF,Gil Lahav,A Method for Logic,1994
SHALAS-3,Lisa Shabel,"Lisa A. Shabel. Mathematics in Kant's Critical Philosophy: Reflections on Mathematical Practice. Studies in Philosophy Outstanding Dissertations, Robert Nozick, Ed. New York \& London: Routledge, 2003. Isbn 0-415-93955-0. Pp. 178",2007
KRETDM,G. Kreisel,The Diagonal Method in Formalized Arithmetic,1953
SHAACR-5,Dobson Shanna,A Comprehensive Review of Diamonds and Their Incarnations in the Langlands Program,manuscript
SERMSL,Michel Serfati,"Michel Serfati. La R\'{e}volution Symbolique: La Constitution de l'Ecriture Symbolique Math\'{e}matique. Preface by Jacques Bouverasse. Paris: \'{E}ditions Petra, 2005. Pp. Ix + 427. Isbn 2-84743-006-7",2007
