ID,Author,Title,Year
FIERM,Hartry H. Field,"Realism, Mathematics \& Modality",1989
MADRIM,Penelope Maddy,Realism in Mathematics,1990
HELMWN,Geoffrey Hellman,Mathematics Without Numbers: Towards a Modal-Structural Interpretation,1989
FIERMA-2,Hartry Field,"Realism, Mathematics, and Modality",1988
BURASW,John P. Burgess and Gideon Rosen,A Subject with No Object: Strategies for Nominalistic Interpretation of Mathematics,1997
AZZDEC-2,Jody Azzouni,Deflating Existential Consequence: A Case for Nominalism,2004
CHICAM,Charles S. Chihara,Constructibility and Mathematical Existence,1990
BOONP,George Boolos,Nominalist Platonism,1985
MOLRTN,Friederike Moltmann,Reference to Numbers in Natural Language,2013
BARHMC,Sam Baron and Mark Colyvan and David Ripley,How Mathematics Can Make a Difference,2017
DORTAN,Cian Dorr,There Are No Abstract Objects,2008
BARMEB-2,Sam Baron,Mathematical Explanation by Law,2019
AZZTAN-2,Jody Azzouni,"Talking About Nothing: Numbers, Hallucinations and Fictions",2010
ARNCAG,Frank Arntzenius and Cian Dorr,Calculus as Geometry,2012
YABEEA,Stephen Yablo,"Explanation, Extrapolation, and Existence",2012
CHIOAT,Charles S. Chihara,Ontology and the Vicious-Circle Principle,1973
BOONP-2,George Boolos,Nominalist Platonism,1998
PANOIM,Markus Pantsar,"Objectivity in Mathematics, Without Mathematical Objects?",2021
LIGAEA,David Liggins,Abstract Expressionism and the Communication Problem,2014
BANITT,Sorin Ioan Bangu,Inference to the Best Explanation and Mathematical Realism,2008
AZZMMM-3,Jody Azzouni,"Metaphysical Myths, Mathematical Practice: The Ontology and Epistemology of the Exact Sciences",1994
BUIWCT,David Builes,Why Can?T There Be Numbers?,forthcoming
BARCS-10,Sam Baron,Counterfactual Scheming,2020
LYCENN,William G. Lycan and Penelope Maddy and Gideon Rosen and Nathan Salmon,"Nominalism, Naturalism, Epistemic Relativism",2001
DECNCA-3,Helen De Cruz,Numerical Cognition and Mathematical Realism,2016
DORONA-2,Cian Dorr,Of Numbers and Electrons,2010
AZZTDV,Jody Azzouni,The Derivation-Indicator View of Mathematical Practice,2004
HELDCT,Geoffrey Hellman,Does Category Theory Provide a Framework for Mathematical Structuralism?,2003
BAROAM,Sam Baron,Optimisation and Mathematical Explanation: Doing the L\'{e}vy Walk,2014
CHEAIT-7,Eddy Keming Chen,"An Intrinsic Theory of Quantum Mechanics: Progress in Field's Nominalistic Program, Part I",manuscript
VERBNB,Sander Verhaegh,Boarding Neurath's Boat: The Early Development of Quine's Naturalism,2017
HIMALA,Jack Himelright,"A Lewisian Argument Against Platonism, or Why Theses About Abstract Objects Are Unintelligible",2023
FIETCC,Hartry Field,The Conceptual Contingency of Mathematical Objects,1993
BROPNA-2,James Robert Brown,"Platonism, Naturalism, and Mathematical Knowledge",2011
SHAMAO,Stewart Shapiro,Modality and Ontology,1993
LIGWAT,David Liggins,Weaseling and the Content of Science,2012
COLSRA,Mark Colyvan,Scientific Realism and Mathematical Nominalism: A Marriage Made in Hell,2006
CAMHTB-3,Ross P. Cameron,How to Be a Nominalist and a Fictional Realist,2013
PINANP,Christopher Pincock,A New Perspective on the Problem of Applying Mathematics,2004
MOLNWA-2,Friederike Moltmann,Number Words as Number Names,2017
MILMC,Kristie Miller,Mathematical Contingentism,2012
LENWWW,Mary Leng,What's Wrong with Indispensability?,2002
LIGTRO,David Liggins,The Reality of Field?s Epistemological Challenge to Platonism,2018
WRINAT,Crispin Wright and Bob Hale,Nominalism and the Contingency of Abstract Objects,1992
LENRFA-4,Mary Leng,Revolutionary Fictionalism: A Call to Arms,2005
ROSTRO-8,Gideon Rosen,The Refutation of Nominalism (?),1993
RAYNTL,Agust\'{i}n Rayo,"Nominalism, Trivialism, Logicism",2015
GEOSWS,Hellman Geoffrey,Structuralism Without Structures,1996
LENTIE,Mary Leng,Taking It Easy: A Response to Colyvan,2012
KATABC,Karin Usadi Katz and Mikhail G. Katz,A Burgessian Critique of Nominalistic Tendencies in Contemporary Mathematics and its Historiography,2012
BARORA-9,Manuel Barrantes,Optimal Representations and the Enhanced Indispensability Argument,2019
URBLSO-2,Rafal Urbaniak,Le\'{s}niewski's Systems of Logic and Foundations of Mathematics,2013
PARCMO-4,Seungbae Park,Can Mathematical Objects Be Causally Efficacious?,2018
BARPAI-19,Sam Baron,Platonism and Intra-Mathematical Explanation,forthcoming
AZZTTE,J. Azzouni,Taking the Easy Road Out of Dodge,2012
RALDEA,Yvonne Raley,Deflating Existence Away? A Critique of Azzouni's Nominalism,2009
BARATI,Sam Baron,A Truthmaker Indispensability Argument,2013
ZACHPT,Richard Zach,Hilbert's Program Then and Now,2002
HALARA,Bob Hale and Crispin Wright,A Reductio Ad Surdum? Field on the Contingency of Mathematical Objects,1994
PEAANA-2,Gareth Rhys Pearce,A Nominalist Alternative to Reference by Abstraction,2022
MADNAO,Penelope Maddy,Naturalism and Ontology,1995
SLOSOA,Edward Slowik,"Spacetime, Ontology, and Structural Realism",2005
BAKDTE,A. Baker,Does the Existence of Mathematical Objects Make a Difference?,2003
BUEAER-2,O. Bueno,An Easy Road to Nominalism,2012
RICSR,Richard Heck,Syntactic Reductionism,2000
PETAOT-2,Richard Pettigrew,Aristotle on the Subject Matter of Geometry,2009
LENMSA-4,Mary Leng,"Models, Structures, and the Explanatory Role of Mathematics in Empirical Science",2021
CHIOTP,Charles S. Chihara,On the Possibility of Completing an Infinite Process,1965
PSISRB,Stathis Psillos,Scientific Realism: Between Platonism and Nominalism,2010
JUBNS,Michael Jubien,Nominalistic Systems,1973
TALOPP,Jonathan Tallant,Optimus Prime: Paraphrasing Prime Number Talk,2013
CHEEOT-9,Eddy Keming Chen,Essays on the Metaphysics of Quantum Mechanics,2019
ZACNAF,Richard Zach,Numbers and Functions in Hilbert's Finitism,1998
BUEAND-2,Ot\'{a}vio Bueno and Edward N. Zalta,A Nominalist's Dilemma and its Solution,2005
HEYTEI,Jan Heylen and Lars Arthur Tump,"The Enhanced Indispensability Argument, the Circularity Problem, and the Interpretability Strategy",2019
SIMNIP,Peter Simons,Nominalism in Poland,1993
BURDEC,John P. Burgess,Deflating Existential Consequence: A Case for Nominalism,2004
WOLPSP,Jan Wolenski and Roberto Poli and Francesco Coniglione,Polish Scientific Philosophy: The Lvov-Warsaw School,1993
CARRRK,Sean M. Carroll,Reality Realism,manuscript
BURMMA-4,John P. Burgess,"Mathematics, Models, and Modality: Selected Philosophical Essays",2008
JANTAE-4,Jan Heylen and Leon Horsten,Truth and Existence,2017
SMIQIW,James Andrew Smith,Quine?s Intuition: Why Quine?s Early Nominalism is Naturalistic,2020
